Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock,
JB4,BUSH,5967.75,Studied,14,1,Recalled,NA,5,Identical,WRONG,NA,NA,unrelated,,,,
JB4,BLEACHERS,4932.955,Not Studied,NA,NA,Recalled,NA,5,Identical,STEAL,NA,NA,unrelated,,,,
JB4,GRASS,2249.41,Not Studied,NA,NA,Recalled,NA,41,Unrelated,BEACH,NA,NA,unrelated,,,,
JB4,MILK,4369.695,Studied,7,2,Recalled,NA,6,Unrelated,WORK,NA,NA,unrelated,,,,
JB4,BREAD,3006.68,Studied,21,2,Recalled,NA,7,Identical,SHEEP,NA,NA,unrelated,,,,
JB4,MOVE,1716.855,Studied,37,2,Recalled,NA,"36,25",Identical,PIECE,NA,NA,unrelated,,,,
JB4,MATH,1882.2,Studied,6,2,Recalled,NA,4,Unrelated,STAIRS,NA,NA,unrelated,,,,
JB4,CLASS,1183.635,Studied,4,2,Recalled,NA,3,Identical,ROSE,NA,NA,unrelated,,,,
JB4,SILVER,6719.55,Studied,3,1,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,,
JB4,RAIN,1299.35,Studied,4,1,Recalled,NA,2,Unrelated,GIRLS,NA,NA,unrelated,,,,
JB4,SHERRIF,6306.725,Studied,NA,NA,Recalled,NA,NA,NA,NA,NA,NA,unrelated,,,,
JB4,DANGER,5334.265,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,EXACT,3450.205,Studied,12,1,Recalled,Identical,21,Identical,EXACT,NA,NA,identical,exact,21,1,
JB4,PLAN,1300.475,Studied,4,3,Recalled,NA,6,Related,SERVANT,MAID,NA,unrelated,,,,
JB4,MONKEY,4801.5,Studied,39,3,Recalled,NA,35,Unrelated,FROG,NA,GORILLA,related,related,gorilla,30,3
JB4,CASTLE,2999.68,Studied,2,3,Recalled,NA,2,Unrelated,BLACK,NA,NA,unrelated,,,,
JB4,BED,6034.91,Not Studied,NA,NA,Recalled,NA,26,Related,HERB,SPICE,NA,unrelated,,,,
JB4,GLASSES,6650.455,Studied,7,3,Recalled,NA,3,Unrelated,KILL,NA,NA,unrelated,,,,
JB4,ITCH,2498.52,Studied,9,3,Recalled,NA,"5,42",Related,GREET,HELLO,NA,unrelated,,,,
JB4,SNEEZE,1967.38,Studied,8,3,Recalled,NA,4,Related,BOUNCE,BALL ,NA,unrelated,,,,
JB4,JEANS,1888.875,Studied,11,3,Recalled,NA,12,Unrelated,POUND,NA,NA,unrelated,,,,
JB4,FRONT,1217.175,Studied,10,3,Recalled,NA,11,Identical,NINE,NA,NA,unrelated,,,,
JB4,DREAM,5237.75,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,BOSS,2149.795,Studied,38,3,Recalled,NA,29,Identical,OVEN,NA,MANAGER,related,manager,24,4,
JB4,CAKE,1636.22,Studied,18,3,Recalled,NA,19,Unrelated,GEEK,NA,NA,unrelated,,,,
JB4,BEAUTIFUL,2318.33,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,HELP,3332.505,Not Studied,NA,NA,Recalled,NA,38,Unrelated,NEWS,NA,NA,unrelated,,,,
JB4,TOOL,2350.77,Studied,13,1,Recalled,Identical,NA,NA,NA,NA,NA,identical,tool,10,1,
JB4,BAG,3051.075,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,SKILL,1383.14,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,MEADOW,3966.525,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,BABY,3215.72,Studied,23,2,Recalled,NA,16,Identical,KNIT,NA,NA,unrelated,,,,
JB4,DIE,1583.755,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,DOCTOR,1199.855,Studied,34,2,Recalled,NA,21,Related,CANYON,GRAND,NA,unrelated,,,,
JB4,NEWS,5617.075,Not Studied,NA,NA,NotRecalled,Unrelated,NA,NA,NA,NA,NA,identical,news,38,4,
JB4,GUILT,1785.905,Studied,41,2,Recalled,NA,23,Related,MIND,BRAIN,NA,unrelated,,,,
JB4,ANGER,1067.315,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,mad,14,3,
JB4,MUSIC,2108.525,Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,band,27,4,
JB4,WATER,8001.155,Studied,14,3,Recalled,NA,15,Related,MAXIMUM,MINIMUM,NA,unrelated,,,,
JB4,HELP,4235.2,Not Studied,NA,NA,Recalled,NA,38,Unrelated,NEWS,NA,NA,unrelated,,,,
JB4,CHANGE,1400,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,WORK,4167.765,Not Studied,NA,NA,NotRecalled,Unrelated,NA,NA,NA,NA,NA,identical,work,6,2,
JB4,TRUMPET,1884.835,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,HUGE,4099.85,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
JB4,PLANE,8000.975,Studied,NA,NA,Recalled,NA,11,Identical,THANKS,NA,NA,unrelated,,,,
JB4,LCOMMAND,8003.8,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,,
