Participant,Prime,Prime_Duration,rt,Response
AM2,DAMAGE,119.995,7157.445,DAMAGE
AM2,SUIT,120.155,3244.735,XXXXX
AM2,SPUN,120.1299999,2069.7,SPUN
AM2,FOREST,120.195,1308.62,FOREST
AM2,PIAZZA,120.075,3164.61,PIZZA
AM2,SPAN,120.165,1749.265,SPAN
AM2,MORAL,120.21,1375.3,MORAL
AM2,CORNER,120.1749999,1562.285,CORNER
AM2,MIDLAND,120.165,1495.38,MIDLAND
AM2,VODKA,120.14,7811.685,VOICE
AM2,VOID,120.11,1402.15,VOID
AM2,TOTALLY,120.2400001,1655.885,TOTALLY
AM2,CHEAT,120.17,1032.73,CHEAT
AM2,LEND,120.24,1201.825,LEND
AM2,CHEER,120.1650001,1046.255,CHEER
AM2,SHAVE,120.17,1749.285,SHAVE
AM2,FAUNA,120.16,1273.17,FAUNA
AM2,TRIVIA,120.18,1532.64,TRIVIA
AM2,CLAW,120.19,1054.81,CLAW
AM2,MEET,120.23,1046.535,MEET
AM2,SNAP,120.19,961.47,SNAP
AM2,WIND,120.2149999,900.2050001,WIND
AM2,MUZZLE,120.2799999,1348.665,MUZZLE
AM2,CEASE,120.165,2710.645,CLEAN
AM2,UNEASY,120.185,1860.77,UNEASY
AM2,TRAITOR,120.27,1888.51,TRAITORS
AM2,EFFIGY,120.1150001,667.535,XXXXX
AM2,ERUPT,120.1500001,1068.14,ERUPT
AM2,STARK,120.14,619.4,XXXXX
AM2,PEEP,120.2,1323.25,PEEP
AM2,SPUNK,120.095,2587.205,SPUNK
AM2,PULL,120.25,1348.59,PULL
AM2,RESUME,120.1000001,2590.47,RESUME
AM2,OPTION,120.15,320.45,XXXXX
AM2,LYNX,140.07,455.2549999,XXXXX
AM2,FREAK,120.3300001,1251.815,FREAK
AM2,KEEP,120.205,1025.46,KEEP
AM2,REACTOR,120.2,1281.895,REACTOR
AM2,FLAK,120.165,906.245,FLAKE
AM2,HOSTEL,120.1849999,1442.09,HOSTEL
