"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"ONCE","z",1.779065,"AM",1,"2021-03-06_10h39.53.013","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"HOTEL","slash",1.29247,"AM",1,"2021-03-06_10h39.53.014","DelayedExp","2020.1.3",60,"Studied",2,4,NA,"Unrelated","BANK",NA,NA,"17",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"BABY","z",1.23105,"AM",1,"2021-03-06_10h39.53.015","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"KILL","slash",0.760465,"AM",1,"2021-03-06_10h39.53.016","DelayedExp","2020.1.3",60,"Studied",40,4,NA,"Unrelated","TIRED",NA,NA,"12",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SHORT","slash",1.163025,"AM",1,"2021-03-06_10h39.53.017","DelayedExp","2020.1.3",60,"Studied",27,2,NA,"Identical","OFFICE",NA,NA,"9",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"WORST","slash",0.96972,"AM",1,"2021-03-06_10h39.53.018","DelayedExp","2020.1.3",60,"Studied",33,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"WEIGHT","z",1.39904,"AM",1,"2021-03-06_10h39.53.019","DelayedExp","2020.1.3",60,"Studied",29,3,"Identical","Identical","WEIGHT",NA,NA,"40",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"WHERE","slash",0.827585,"AM",1,"2021-03-06_10h39.53.020","DelayedExp","2020.1.3",60,"Studied",35,2,NA,"Related","PLUS","MINUS",NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"CHAIN","z",1.31329,"AM",1,"2021-03-06_10h39.53.021","DelayedExp","2020.1.3",60,"Studied",22,1,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"ARMS","z",1.07704,"AM",1,"2021-03-06_10h39.53.022","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
