"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"FLOWER",8000,"Studied",24,2,"Identical","20","Identical","SPOON",NA,NA
"TREE",7999.63,NA,NA,NA,NA,"41,33","Identical","WEIGHT",NA,NA
"YELLOW",7998.75,"Studied",25,2,"Identical","6,9","Unrelated","STRESS",NA,NA
"RED",8001.505,NA,NA,NA,NA,"5","Related","DIME","NICKEL",NA
"MOTHER",7999.605,"Studied",3,4,"Identical","41","Related","ARMY","NAVY",NA
"BALLET",8001.565,"Studied",2,4,NA,"2","Related","CENTER","MIDDLE",NA
"TOES",8000.815,"Studied",1,4,NA,"1","firstword","firstword",NA,NA
"BOTTLE",8000.965,NA,NA,NA,NA,"30,26","Related","PARROT","BIRD",NA
"PAPER",7999.73,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA
"EGGS",8000.03,"Studied",1,2,NA,NA,NA,NA,NA,"BACON"
"S",7999.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAR",8000.425,NA,NA,NA,NA,"28","Identical","LEARN",NA,NA
"MOON",8000.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUN",8000.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TREE",8002.325,NA,NA,NA,NA,"41,33","Identical","WEIGHT",NA,NA
"FLOWER",7999.81,"Studied",24,2,"Identical","20","Identical","SPOON",NA,NA
"BIRD",8000.405,"Studied",27,2,NA,NA,NA,NA,NA,"PARROT"
"FLY",8000.145,NA,NA,NA,NA,"15","Unrelated","FIRE",NA,NA
