RecalledWord,StudyPosition,Block
CLOSE,1,1
SPOON,2,1
CANCER,3,1
EARLY,4,1
TEETH,5,1
MEAN,6,1
QUEEN,7,1
GIRLS,8,1
FENCE,9,1
LEMON,10,1
YOURS,11,1
PEPPER,12,1
ANIMAL,13,1
BEFORE,14,1
UNCLE,15,1
THERE,16,1
WORST,17,1
LEAVES,18,1
FOUND,19,1
MINUS,20,1
CLOCK,21,1
SHORT,22,1
SHARK,23,1
WHERE,24,1
DOLLAR,25,1
MUSCLE,26,1
OFFICE,27,1
QUART,28,1
TIGER,29,1
THROW,30,1
SHOVE,31,1
GRASS,32,1
PLANT,33,1
WHOLE,34,1
ENTER,35,1
HORSE,36,1
FINGER,37,1
MINUTE,38,1
ROCK,39,1
BEHIND,40,1
PHONE,41,1
CORAL,42,1
EGGS,1,2
STAIRS,2,2
GUITAR,3,2
CHANGE,4,2
WORK,5,2
CLAM,6,2
STOP,7,2
CHEESE,8,2
MONEY,9,2
LAWYER,10,2
BEACH,11,2
FRIGHT,12,2
BOMB,13,2
STREAM,14,2
JAIL,15,2
NICKEL,16,2
SHEETS,17,2
ORANGE,18,2
GLORY,19,2
WEST,20,2
FISH,21,2
DAGGER,22,2
CHAIR,23,2
FLOWER,24,2
YELLOW,25,2
PICKLE,26,2
BIRD,27,2
HORN,28,2
NEPHEW,29,2
LENGTH,30,2
OUTTAKE,31,2
STORY,32,2
CRACKER,33,2
GROSS,34,2
RIGHT,35,2
SONG,36,2
WEIGHT,37,2
SELLER,38,2
DREAM,39,2
SMOOTH,40,2
TWELVE,41,2
NUMBER,42,2
SMOKE,1,3
TRASH,2,3
SMILE,3,3
ROAD,4,3
LAKE,5,3
MINOR,6,3
SHOES,7,3
HOTEL,8,3
LAND,9,3
NOISE,10,3
DEAF,11,3
DEVIL,12,3
PICTURE,13,3
GEEK,14,3
DUSK,15,3
BRIDE,16,3
SWEET,17,3
CAMP,18,3
SOUTH,19,3
POUND,20,3
FROG,21,3
THIEF,22,3
SORRY,23,3
DIRT,24,3
STOMACH,25,3
BLACK,26,3
TRAIN,27,3
SWAMP,28,3
KISS,29,3
TIGHT,30,3
LEARN,31,3
HOOP,32,3
WHEAT,33,3
STARS,34,3
DOOR,35,3
JUMP,36,3
GHOST,37,3
FIVE,38,3
KILL,39,3
BELOW,40,3
WORLD,41,3
PRESENT,42,3
TOES,1,4
BALLET,2,4
MOTHER,3,4
TENNIS,4,4
READ,5,4
TEST,6,4
WINTER,7,4
FIRST,8,4
WILD,9,4
ALIVE,10,4
SOAP,11,4
HUNGER,12,4
BUTTER,13,4
BORROW,14,4
CHAIN,15,4
CANDLE,16,4
PAIN,17,4
KIDNAP,18,4
MOST,19,4
SLOW,20,4
WAITER,21,4
ARGUE,22,4
THREAD,23,4
CLUE,24,4
SQUARE,25,4
BUCKET,26,4
PURPLE,27,4
SPIDER,28,4
SUPPER,29,4
VERB,30,4
INHALE,31,4
LESS,32,4
BRANCH,33,4
NAVY,34,4
NOSE,35,4
STATES,36,4
LOOK,37,4
SEEK,38,4
NEWS,39,4
TOUR,40,4
THIRST,41,4
MIDDLE,42,4
