"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"CLASS","slash",1.20744,"AW",1,"2021-04-04_15h14.44.760","DelayedExp","2020.1.3",60,"Studied",21,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"QUIET","slash",0.966525,"AW",1,"2021-04-04_10h04.16.090","DelayedExp","2020.1.3",60,"Studied",12,2,"Identical","Identical","QUIET",NA,NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"THERE","z",0.781525,"AW",1,"2021-04-04_10h04.16.091","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"DISAGREE","z",0.91442,"AW",1,"2021-04-04_10h04.16.092","DelayedExp","2020.1.3",60,"Studied",20,2,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"YOURS","z",0.806835,"AW",1,"2021-04-04_10h04.16.093","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLIMB","slash",1.180955,"AW",1,"2021-04-04_10h04.16.094","DelayedExp","2020.1.3",60,"Studied",27,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"STING","slash",0.86782,"AW",1,"2021-04-04_10h04.16.095","DelayedExp","2020.1.3",60,"Studied",39,3,"Identical","Identical","STING",NA,NA,"36",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"BRIDE","z",0.81855,"AW",1,"2021-04-04_10h04.16.096","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CRACKER","slash",1.17355,"AW",1,"2021-04-04_10h04.16.097","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"NOISE","z",0.729815,"AW",1,"2021-04-04_10h04.16.098","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BEFORE","z",0.73313,"AW",1,"2021-04-04_10h04.16.099","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SMALL","z",0.797645,"AW",1,"2021-04-04_10h04.16.100","DelayedExp","2020.1.3",60,"Studied",23,4,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"TWELVE","z",0.81397,"AW",1,"2021-04-04_10h04.16.101","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CANCER","z",0.818375,"AW",1,"2021-04-04_10h04.16.102","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BALLET","z",0.83594,"AW",1,"2021-04-04_10h04.16.103","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLUE","z",0.9076,"AW",1,"2021-04-04_10h04.16.104","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"HOTEL","slash",0.907145,"AW",1,"2021-04-04_10h04.16.105","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"TOUR","z",1.031045,"AW",1,"2021-04-04_10h04.16.106","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SHARK","z",0.714985,"AW",1,"2021-04-04_10h04.16.107","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ITCH","slash",0.83111,"AW",1,"2021-04-04_10h04.16.108","DelayedExp","2020.1.3",60,"Studied",5,4,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"DOOR","z",0.816215,"AW",1,"2021-04-04_10h04.16.109","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"THREAD","slash",0.925925,"AW",1,"2021-04-04_10h04.16.110","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"LAND","z",0.70692,"AW",1,"2021-04-04_10h04.16.111","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"MAGIC","z",0.713815,"AW",1,"2021-04-04_10h04.16.112","DelayedExp","2020.1.3",60,"Studied",15,1,NA,NA,NA,NA,"WAND",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"ARMS","z",0.81228,"AW",1,"2021-04-04_10h04.16.113","DelayedExp","2020.1.3",60,"Studied",13,3,NA,NA,NA,NA,"LEGS",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"ALIVE","z",0.851255,"AW",1,"2021-04-04_10h04.16.114","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PROPER","z",0.94831,"AW",1,"2021-04-04_10h04.16.115","DelayedExp","2020.1.3",60,"Studied",4,3,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"MATH","z",0.815875,"AW",1,"2021-04-04_10h04.16.116","DelayedExp","2020.1.3",60,"Studied",2,3,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"LEAVES","z",0.899715,"AW",1,"2021-04-04_10h04.16.117","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BIRD","z",0.916055,"AW",1,"2021-04-04_10h04.16.118","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SELF","slash",0.83613,"AW",1,"2021-04-04_10h04.16.119","DelayedExp","2020.1.3",60,"Studied",10,3,NA,"Unrelated","WEST",NA,NA,"6",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"GROSS","z",0.80215,"AW",1,"2021-04-04_10h04.16.120","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"YELLOW","slash",0.84058,"AW",1,"2021-04-04_10h04.16.121","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TEETH","slash",0.71448,"AW",1,"2021-04-04_10h04.16.122","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ENTER","z",0.88141,"AW",1,"2021-04-04_10h04.16.123","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WILD","z",0.781655,"AW",1,"2021-04-04_10h04.16.124","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SHIP","z",0.93215,"AW",1,"2021-04-04_10h04.16.125","DelayedExp","2020.1.3",60,"Studied",25,1,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"UNDER","slash",0.96251,"AW",1,"2021-04-04_10h04.16.126","DelayedExp","2020.1.3",60,"Studied",26,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ROCK","z",0.76292,"AW",1,"2021-04-04_10h04.16.127","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SMOOTH","z",0.732635,"AW",1,"2021-04-04_10h04.16.128","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SING","slash",1.02035,"AW",1,"2021-04-04_10h04.16.129","DelayedExp","2020.1.3",60,"Studied",17,1,NA,"Unrelated","CLUE",NA,NA,"13",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"HELLO","z",0.78244,"AW",1,"2021-04-04_10h04.16.130","DelayedExp","2020.1.3",60,"Studied",40,4,NA,NA,NA,NA,"GREET",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SONG","slash",1.02928,"AW",1,"2021-04-04_10h04.16.131","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"SMOKE","z",0.518865,"AW",1,"2021-04-04_10h04.16.132","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GIRLS","z",0.81552,"AW",1,"2021-04-04_10h04.16.133","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WORK","z",0.702145,"AW",1,"2021-04-04_10h04.16.134","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"FOOD","slash",0.675955,"AW",1,"2021-04-04_10h04.16.135","DelayedExp","2020.1.3",60,"Studied",10,1,NA,"Identical","MUSIC",NA,NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"MOTHER","z",0.816875,"AW",1,"2021-04-04_10h04.16.136","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MONKEY","slash",0.782345,"AW",1,"2021-04-04_10h04.16.137","DelayedExp","2020.1.3",60,"Studied",27,4,NA,"Related","SATIN","SILK",NA,"2",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"OVEN","z",0.858705,"AW",1,"2021-04-04_10h04.16.138","DelayedExp","2020.1.3",60,"Studied",7,4,NA,NA,NA,NA,"TOASTER",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"STOMACH","z",0.83441,"AW",1,"2021-04-04_10h04.16.139","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"VERB","z",0.63581,"AW",1,"2021-04-04_10h04.16.140","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PHONE","z",0.78736,"AW",1,"2021-04-04_10h04.16.141","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"JEANS","slash",0.74843,"AW",1,"2021-04-04_10h04.16.142","DelayedExp","2020.1.3",60,"Studied",41,4,"Identical",NA,NA,NA,NA,NA,"9","Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"KNIT","slash",1.268285,"AW",1,"2021-04-04_10h04.16.143","DelayedExp","2020.1.3",60,"Studied",17,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ALLOW","z",0.630115,"AW",1,"2021-04-04_10h04.16.144","DelayedExp","2020.1.3",60,"Studied",25,4,NA,NA,NA,NA,"PERMIT",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"FIND","slash",0.76824,"AW",1,"2021-04-04_10h04.16.145","DelayedExp","2020.1.3",60,"Studied",28,1,NA,NA,NA,NA,"SEARCH",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
