RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
BREAK,slash,1.881615,BM,1,2021-04-02_19h33.00.927,DelayedExp,2020.1.3,60
NECK,slash,1.761005,BM,1,2021-04-02_19h33.00.928,DelayedExp,2020.1.3,60
WORST,slash,1.752325,BM,1,2021-04-02_19h33.00.929,DelayedExp,2020.1.3,60
FROG,slash,1.579195,BM,1,2021-04-02_19h33.00.930,DelayedExp,2020.1.3,60
SORRY,slash,1.540115,BM,1,2021-04-02_19h33.00.931,DelayedExp,2020.1.3,60
RIGHT,z,1.83034,BM,1,2021-04-02_19h33.00.932,DelayedExp,2020.1.3,60
SICK,z,0.978465,BM,1,2021-04-02_19h33.00.933,DelayedExp,2020.1.3,60
LAND,slash,2.16172,BM,1,2021-04-02_19h33.00.934,DelayedExp,2020.1.3,60
LOSE,z,2.04881,BM,1,2021-04-02_19h33.00.935,DelayedExp,2020.1.3,60
MINUTE,slash,1.48141,BM,1,2021-04-02_19h33.00.936,DelayedExp,2020.1.3,60
PENNY,z,0.96513,BM,1,2021-04-02_19h33.00.937,DelayedExp,2020.1.3,60
TIRED,z,1.465295,BM,1,2021-04-02_19h33.00.938,DelayedExp,2020.1.3,60
LETTUCE,slash,3.39939,BM,1,2021-04-02_19h33.00.939,DelayedExp,2020.1.3,60
TOOL,slash,2.16517,BM,1,2021-04-02_19h33.00.940,DelayedExp,2020.1.3,60
QUART,slash,1.215855,BM,1,2021-04-02_19h33.00.941,DelayedExp,2020.1.3,60
BELL,z,0.749325,BM,1,2021-04-02_19h33.00.942,DelayedExp,2020.1.3,60
CARRY,slash,1.48207,BM,1,2021-04-02_19h33.00.943,DelayedExp,2020.1.3,60
LENGTH,z,1.48226,BM,1,2021-04-02_19h33.00.944,DelayedExp,2020.1.3,60
LEAVES,slash,1.532285,BM,1,2021-04-02_19h33.00.945,DelayedExp,2020.1.3,60
SMILE,slash,1.481355,BM,1,2021-04-02_19h33.00.946,DelayedExp,2020.1.3,60
EARLY,slash,1.68402,BM,1,2021-04-02_19h33.00.947,DelayedExp,2020.1.3,60
KISS,slash,0.666555,BM,1,2021-04-02_19h33.00.948,DelayedExp,2020.1.3,60
JAIL,slash,0.948445,BM,1,2021-04-02_19h33.00.949,DelayedExp,2020.1.3,60
COPY,z,2.331495,BM,1,2021-04-02_19h33.00.950,DelayedExp,2020.1.3,60
MAYBE,z,1.99848,BM,1,2021-04-02_19h33.00.951,DelayedExp,2020.1.3,60
HEAR,z,0.716315,BM,1,2021-04-02_19h33.00.952,DelayedExp,2020.1.3,60
CHEESE,slash,1.88123,BM,1,2021-04-02_19h33.00.953,DelayedExp,2020.1.3,60
LOOK,z,1.581565,BM,1,2021-04-02_19h33.00.954,DelayedExp,2020.1.3,60
LOVE,z,1.082075,BM,1,2021-04-02_19h33.00.955,DelayedExp,2020.1.3,60
BANK,slash,1.18201,BM,1,2021-04-02_19h33.00.956,DelayedExp,2020.1.3,60
EXPLODE,slash,1.33192,BM,1,2021-04-02_19h33.00.957,DelayedExp,2020.1.3,60
WARM,z,1.965445,BM,1,2021-04-02_19h33.00.958,DelayedExp,2020.1.3,60
BALLET,slash,0.698405,BM,1,2021-04-02_19h33.00.959,DelayedExp,2020.1.3,60
EXACT,z,0.732345,BM,1,2021-04-02_19h33.00.960,DelayedExp,2020.1.3,60
GUITAR,slash,2.300205,BM,1,2021-04-02_19h33.00.961,DelayedExp,2020.1.3,60
YOUNG,slash,2.615345,BM,1,2021-04-02_19h33.00.962,DelayedExp,2020.1.3,60
DIRT,slash,0.815305,BM,1,2021-04-02_19h33.00.963,DelayedExp,2020.1.3,60
STRESS,z,0.866315,BM,1,2021-04-02_19h33.00.964,DelayedExp,2020.1.3,60
BRAIN,z,0.68162,BM,1,2021-04-02_19h33.00.965,DelayedExp,2020.1.3,60
FIVE,slash,1.73185,BM,1,2021-04-02_19h33.00.966,DelayedExp,2020.1.3,60
PURPLE,z,0.781265,BM,1,2021-04-02_19h33.00.967,DelayedExp,2020.1.3,60
PAPER,z,2.465935,BM,1,2021-04-02_19h33.00.968,DelayedExp,2020.1.3,60
SHALLOW,z,3.131805,BM,1,2021-04-02_19h33.00.969,DelayedExp,2020.1.3,60
LIGHT,z,1.34883,BM,1,2021-04-02_19h33.00.970,DelayedExp,2020.1.3,60
PAIN,z,0.731625,BM,1,2021-04-02_19h33.00.971,DelayedExp,2020.1.3,60
WILD,slash,0.64949,BM,1,2021-04-02_19h33.00.972,DelayedExp,2020.1.3,60
MINUS,z,0.632115,BM,1,2021-04-02_19h33.00.973,DelayedExp,2020.1.3,60
WHEAT,slash,2.9645,BM,1,2021-04-02_19h33.00.974,DelayedExp,2020.1.3,60
CLIMB,z,0.83368,BM,1,2021-04-02_19h33.00.975,DelayedExp,2020.1.3,60
ROCK,z,0.783705,BM,1,2021-04-02_19h33.00.976,DelayedExp,2020.1.3,60
PLANT,slash,2.03159,BM,1,2021-04-02_19h33.00.977,DelayedExp,2020.1.3,60
BUTTER,z,0.965125,BM,1,2021-04-02_19h33.00.978,DelayedExp,2020.1.3,60
LETTER,slash,1.232335,BM,1,2021-04-02_19h33.00.979,DelayedExp,2020.1.3,60
NOSE,slash,0.86578,BM,1,2021-04-02_19h33.00.980,DelayedExp,2020.1.3,60
BIRD,slash,1.19897,BM,1,2021-04-02_19h33.00.981,DelayedExp,2020.1.3,60
NEWS,slash,1.16511,BM,1,2021-04-02_19h33.00.982,DelayedExp,2020.1.3,60
BEHIND,z,1.032045,BM,1,2021-04-02_19h33.00.983,DelayedExp,2020.1.3,60
CHILD,z,1.38219,BM,1,2021-04-02_19h33.00.984,DelayedExp,2020.1.3,60
CHAIR,slash,0.6988,BM,1,2021-04-02_19h33.00.985,DelayedExp,2020.1.3,60
GRASS,slash,0.698925,BM,1,2021-04-02_19h33.00.986,DelayedExp,2020.1.3,60
STATES,z,0.782925,BM,1,2021-04-02_19h33.00.987,DelayedExp,2020.1.3,60
TRASH,z,0.81564,BM,1,2021-04-02_19h33.00.988,DelayedExp,2020.1.3,60
DISAGREE,z,1.982375,BM,1,2021-04-02_19h33.00.989,DelayedExp,2020.1.3,60
WOOD,slash,1.41651,BM,1,2021-04-02_19h33.00.990,DelayedExp,2020.1.3,60
BUSH,z,0.84895,BM,1,2021-04-02_19h33.00.991,DelayedExp,2020.1.3,60
FLOWER,z,1.265195,BM,1,2021-04-02_19h33.00.992,DelayedExp,2020.1.3,60
OFFICE,slash,2.73202,BM,1,2021-04-02_19h33.00.993,DelayedExp,2020.1.3,60
TEETH,slash,1.13172,BM,1,2021-04-02_19h33.00.994,DelayedExp,2020.1.3,60
FIRE,z,0.815505,BM,1,2021-04-02_19h33.00.995,DelayedExp,2020.1.3,60
SMART,z,3.26553,BM,1,2021-04-02_19h33.00.996,DelayedExp,2020.1.3,60
SWORD,slash,1.465135,BM,1,2021-04-02_19h33.00.997,DelayedExp,2020.1.3,60
STOMACH,slash,0.632535,BM,1,2021-04-02_19h33.00.998,DelayedExp,2020.1.3,60
THROW,slash,0.91577,BM,1,2021-04-02_19h33.00.999,DelayedExp,2020.1.3,60
PROPER,z,0.716065,BM,1,2021-04-02_19h33.00.1000,DelayedExp,2020.1.3,60
FISH,slash,0.63211,BM,1,2021-04-02_19h33.00.1001,DelayedExp,2020.1.3,60
SHEEP,,,BM,1,2021-04-02_19h33.00.1002,DelayedExp,2020.1.3,60
FIND,z,2.01635,BM,1,2021-04-02_19h33.00.1003,DelayedExp,2020.1.3,60
TOCK,z,1.83343,BM,1,2021-04-02_19h33.00.1004,DelayedExp,2020.1.3,60
STORE,slash,0.851245,BM,1,2021-04-02_19h33.00.1005,DelayedExp,2020.1.3,60
PACKAGE,z,0.685975,BM,1,2021-04-02_19h33.00.1006,DelayedExp,2020.1.3,60
PENCIL,z,0.667255,BM,1,2021-04-02_19h33.00.1007,DelayedExp,2020.1.3,60
GIRLS,z,0.682615,BM,1,2021-04-02_19h33.00.1008,DelayedExp,2020.1.3,60
MONEY,slash,0.616925,BM,1,2021-04-02_19h33.00.1009,DelayedExp,2020.1.3,60
STRANGE,slash,0.93472,BM,1,2021-04-02_19h33.00.1010,DelayedExp,2020.1.3,60
VOLCANO,z,0.817235,BM,1,2021-04-02_19h33.00.1011,DelayedExp,2020.1.3,60
KILL,slash,0.81729,BM,1,2021-04-02_19h33.00.1012,DelayedExp,2020.1.3,60
SLEEP,slash,0.80183,BM,1,2021-04-02_19h33.00.1013,DelayedExp,2020.1.3,60
BOSS,z,0.78343,BM,1,2021-04-02_19h33.00.1014,DelayedExp,2020.1.3,60
DREAM,z,0.916815,BM,1,2021-04-02_19h33.00.1015,DelayedExp,2020.1.3,60
SONG,z,1.600945,BM,1,2021-04-02_19h33.00.1016,DelayedExp,2020.1.3,60
MATH,z,0.6514,BM,1,2021-04-02_19h33.00.1017,DelayedExp,2020.1.3,60
