RecalledWord,StudyPosition,Block
STOP,1,1
GUITAR,2,1
CLAM,3,1
NUMBER,4,1
DREAM,5,1
LAWYER,6,1
OUTTAKE,7,1
YELLOW,8,1
TWELVE,9,1
JAIL,10,1
SONG,11,1
MONEY,12,1
EGGS,13,1
STORY,14,1
WEIGHT,15,1
CRACKER,16,1
HORN,17,1
NICKEL,18,1
WEST,19,1
GROSS,20,1
FISH,21,1
SMOOTH,22,1
STAIRS,23,1
BIRD,24,1
STREAM,25,1
LENGTH,26,1
RIGHT,27,1
GLORY,28,1
SELLER,29,1
FLOWER,30,1
ORANGE,31,1
FRIGHT,32,1
BEACH,33,1
NEPHEW,34,1
SHEETS,35,1
BOMB,36,1
CHAIR,37,1
WORK,38,1
DAGGER,39,1
CHANGE,40,1
PICKLE,41,1
CHEESE,42,1
STARS,1,2
SOUTH,2,2
HOTEL,3,2
NOISE,4,2
FIVE,5,2
WHEAT,6,2
SMOKE,7,2
CAMP,8,2
KISS,9,2
LAKE,10,2
BRIDE,11,2
BELOW,12,2
STOMACH,13,2
TRAIN,14,2
SHOES,15,2
HOOP,16,2
KILL,17,2
POUND,18,2
DEVIL,19,2
GHOST,20,2
TRASH,21,2
FROG,22,2
DEAF,23,2
DUSK,24,2
SWAMP,25,2
DIRT,26,2
GEEK,27,2
TIGHT,28,2
BLACK,29,2
SWEET,30,2
JUMP,31,2
LAND,32,2
DOOR,33,2
ROAD,34,2
LEARN,35,2
WORLD,36,2
PRESENT,37,2
THIEF,38,2
PICTURE,39,2
SORRY,40,2
MINOR,41,2
SMILE,42,2
WAITER,1,3
BALLET,2,3
MOST,3,3
TOES,4,3
INHALE,5,3
VERB,6,3
BUCKET,7,3
ALIVE,8,3
FIRST,9,3
LOOK,10,3
WILD,11,3
PURPLE,12,3
CHAIN,13,3
TOUR,14,3
NOSE,15,3
SOAP,16,3
READ,17,3
BORROW,18,3
SUPPER,19,3
HUNGER,20,3
BRANCH,21,3
NEWS,22,3
MIDDLE,23,3
PAIN,24,3
SPIDER,25,3
STATES,26,3
TENNIS,27,3
WINTER,28,3
KIDNAP,29,3
CLUE,30,3
NAVY,31,3
THREAD,32,3
LESS,33,3
THIRST,34,3
CANDLE,35,3
TEST,36,3
SQUARE,37,3
ARGUE,38,3
SEEK,39,3
MOTHER,40,3
BUTTER,41,3
SLOW,42,3
DOLLAR,1,4
QUEEN,2,4
FOUND,3,4
THROW,4,4
WHOLE,5,4
TIGER,6,4
ROCK,7,4
EARLY,8,4
CLOSE,9,4
CANCER,10,4
CLOCK,11,4
MINUTE,12,4
PLANT,13,4
BEFORE,14,4
ENTER,15,4
MINUS,16,4
CORAL,17,4
SHORT,18,4
WORST,19,4
SHOVE,20,4
FINGER,21,4
THERE,22,4
ANIMAL,23,4
MUSCLE,24,4
BEHIND,25,4
LEMON,26,4
PHONE,27,4
SPOON,28,4
OFFICE,29,4
WHERE,30,4
QUART,31,4
TEETH,32,4
FENCE,33,4
GIRLS,34,4
SHARK,35,4
UNCLE,36,4
PEPPER,37,4
YOURS,38,4
GRASS,39,4
MEAN,40,4
HORSE,41,4
LEAVES,42,4
