Participant,Prime,Prime_Duration,rt,Response
BM,LYNX,116.81,1287.515,XXXXX
BM,VOID,116.77,1083.46,VOID
BM,FAUNA,116.6150001,1636.54,XXXXX
BM,FREAK,116.7949999,2061.475,FREAK
BM,CEASE,117.105,2350.01,XXXXX
BM,FLAK,116.38,73.37,XXXXX
BM,ERUPT,117.235,1433.775,ERUPT
BM,SHAVE,116.785,1134.815,SHAVE
BM,DAMAGE,123.74,1386.78,DAMAGE
BM,FOREST,116.62,2401.04,FOREST
BM,CORNER,116.205,1353.635,CORNER
BM,KEEP,116.21,1828.24,KEEP
BM,TOTALLY,116.9,1435.8,TOTALLY
BM,CLAW,116.9200001,1011.47,CLAW
BM,PIAZZA,116.455,547.11,XXXXX
BM,RESUME,116.67,1701.635,RESUME
BM,LEND,116.715,933.755,LEND
BM,PEEP,118.1,1417.23,PEEP
BM,MEET,116.3649999,1319.32,MEET
BM,MIDLAND,116.135,5617.95,MIDLAND
BM,PULL,116.35,1785.115,XXXXX
BM,TRIVIA,117.2849999,2301.185,TRIVIA
BM,TRAITOR,116.425,2216,TRAITOR
BM,WIND,119.7449999,855.945,WIND
BM,REACTOR,116.88,1805.495,REACTOR
BM,UNEASY,116.4149999,1966.63,UNEASY
BM,HOSTEL,115.935,572.33,XXXXX
BM,SPUN,116.54,1317.5,SPUN
BM,CHEER,116.01,935.44,CHEER
BM,SPAN,116.16,967.04,SPAN
BM,CHEAT,117.27,1056.6,CHEAT
BM,MORAL,117.26,1034.155,MORAL
BM,VODKA,116.78,1383.93,VODKA
BM,SPUNK,116.87,1738.54,SPUNK
BM,SNAP,116.1949999,1200.655,SNAP
BM,OPTION,116.295,3436.28,OPTIONS
BM,EFFIGY,117.1149999,1801.875,EFFIGY
BM,SUIT,116.535,879.375,SUIT
BM,STARK,117.27,1316.9,STARK
BM,MUZZLE,116.7400001,1401.7,MUZZLE
