RecalledWord,StudyPosition,Block
LETTER,1,1
ENGLISH,2,1
CAKE,3,1
ITCH,4,1
OVEN,5,1
LARGE,6,1
FRONT,7,1
SPICE,8,1
WATER,9,1
CARRY,10,1
JEANS,11,1
ONCE,12,1
GLASSES,13,1
SNEEZE,14,1
FIRE,15,1
TIRED,16,1
SMART,17,1
SLEEP,18,1
SOFT,19,1
PLAN,20,1
COPY,21,1
PENCIL,22,1
MAID,23,1
ALLOW,24,1
SURE,25,1
MINIMUM,26,1
SMALL,27,1
EFFECT,28,1
CASTLE,29,1
WANT,30,1
BANK,31,1
MONKEY,32,1
HELLO,33,1
PAPER,34,1
FINISH,35,1
UNCLEAR,36,1
MAD,37,1
SILK,38,1
BALL ,39,1
PRIDE,40,1
BOSS,41,1
NINE,42,1
VOLCANO,1,2
JACKET,2,2
NONE,3,2
LETTUCE,4,2
CHOOSE,5,2
CLEAR,6,2
MUSIC ,7,2
SING,8,2
MAGIC,9,2
CHURCH,10,2
HAIR,11,2
HEAR,12,2
SWORD,13,2
LAUGH,14,2
DESERT,15,2
BOARD,16,2
STORE,17,2
STICKY,18,2
TAKE,19,2
SMELL,20,2
HAPPY,21,2
SOUR,22,2
DRESS,23,2
SHIP,24,2
LOVE,25,2
MAYBE,26,2
GAME,27,2
COLLECT,28,2
TALK,29,2
PROBLEM,30,2
FOOD,31,2
WARM,32,2
YEAR,33,2
SICK,34,2
BREAK,35,2
FIND,36,2
LOSE,37,2
TREE,38,2
STRANGE,39,2
ROOF,40,2
STREET,41,2
BELL,42,2
DEATH,1,3
PACKAGE,2,3
DRUGS,3,3
KNIFE,4,3
REAL,5,3
RAIN,6,3
PURPOSE,7,3
WRONG,8,3
VOTE,9,3
TOOL,10,3
SILVER,11,3
TOCK,12,3
RENT,13,3
STRIPE,14,3
ANNOY,15,3
DRAW,16,3
PIECE,17,3
SAME,18,3
TRAILER,19,3
DISAGREE,20,3
SLIDE,21,3
THANKS,22,3
SHERIFF,23,3
CLOWN,24,3
PLANE ,25,3
NECK,26,3
POTATO,27,3
SCISSORS,28,3
YOUNG,29,3
EXCUSE,30,3
HATE,31,3
EXACT,32,3
BUSH,33,3
SHALLOW,34,3
CHILD,35,3
CARD,36,3
MANY,37,3
QUIET,38,3
THIN,39,3
MARRY,40,3
SPIT,41,3
STAMP,42,3
PENNY,1,4
LIGHT,2,4
STING,3,4
RULE,4,4
BRAIN,5,4
DOCTOR,6,4
BREAD,7,4
SELF,8,4
MATH,9,4
WOOD,10,4
BIKE,11,4
STRESS,12,4
UNDER,13,4
PROPER,14,4
MILK,15,4
CLASS,16,4
SPOTS,17,4
FAKE,18,4
NIGHTS,19,4
CELL,20,4
KNIT,21,4
ROSE,22,4
CLIMB,23,4
GRAND,24,4
GUILT,25,4
TOUCH,26,4
TOOTH,27,4
REPEAT,28,4
WRITE,29,4
SUBJECT,30,4
HEAD,31,4
STEAL,32,4
GRAVE,33,4
BABY,34,4
SHIRT,35,4
EXPLODE,36,4
TOWN,37,4
MOVE,38,4
SHEEP,39,4
ARMS,40,4
STUPID,41,4
SKIN,42,4
