"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"FIRST","slash",2.48421,"CT",1,"2021-04-06_15h55.08.119","DelayedExp","2020.1.3",60,"Studied",41,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"CHILD","slash",1.74283,"CT",1,"2021-04-06_11h17.50.993","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","CHILD",NA,NA,"41",NA,"Old","New",0,0,1,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
"CLOSE","z",0.92904,"CT",1,"2021-04-06_11h17.50.994","DelayedExp","2020.1.3",60,"Studied",23,3,"Identical","Identical","CLOSE",NA,NA,"38",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"PURPLE","z",1.28354,"CT",1,"2021-04-06_11h17.50.995","DelayedExp","2020.1.3",60,"Studied",23,2,NA,"Related","NOUN","VERB",NA,"7",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"SELLER","slash",1.515375,"CT",1,"2021-04-06_11h17.50.996","DelayedExp","2020.1.3",60,"Studied",26,4,NA,"Related","BUYER","SELLER","BUYER","28",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"CLOWN","slash",1.1805,"CT",1,"2021-04-06_11h17.50.997","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BORROW","z",1.36421,"CT",1,"2021-04-06_11h17.50.998","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"PLAN","slash",1.068835,"CT",1,"2021-04-06_11h17.50.999","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"CANDLE","slash",0.950165,"CT",1,"2021-04-06_11h17.50.1000","DelayedExp","2020.1.3",60,"Studied",27,2,"Identical","Identical","CANDLE",NA,NA,"37",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"YOUNG","z",2.06196,"CT",1,"2021-04-06_11h17.50.1001","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"LOSE","z",0.80942,"CT",1,"2021-04-06_11h17.50.1002","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ANIMAL","z",0.866955,"CT",1,"2021-04-06_11h17.50.1003","DelayedExp","2020.1.3",60,"Studied",22,3,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"MOVE","slash",1.193545,"CT",1,"2021-04-06_11h17.50.1004","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","EXCUSE",NA,NA,"9",NA,"Old","New",0,0,1,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
