RecalledWord,StudyPosition,Block
SWAMP,1,1
TIGHT,2,1
PRESENT,3,1
MINOR,4,1
KILL,5,1
POUND,6,1
SMILE,7,1
STARS,8,1
BLACK,9,1
ROAD,10,1
STOMACH,11,1
BELOW,12,1
DEVIL,13,1
GEEK,14,1
JUMP,15,1
DEAF,16,1
TRASH,17,1
DUSK,18,1
KISS,19,1
LEARN,20,1
NOISE,21,1
BRIDE,22,1
SOUTH,23,1
WHEAT,24,1
THIEF,25,1
WORLD,26,1
SORRY,27,1
HOTEL,28,1
SHOES,29,1
FROG,30,1
DOOR,31,1
LAND,32,1
PICTURE,33,1
HOOP,34,1
SMOKE,35,1
GHOST,36,1
FIVE,37,1
TRAIN,38,1
LAKE,39,1
CAMP,40,1
DIRT,41,1
SWEET,42,1
BALLET,1,2
ARGUE,2,2
SUPPER,3,2
WINTER,4,2
TENNIS,5,2
TOUR,6,2
SQUARE,7,2
TOES,8,2
HUNGER,9,2
BUCKET,10,2
SPIDER,11,2
MOTHER,12,2
TEST,13,2
SEEK,14,2
SLOW,15,2
THREAD,16,2
NAVY,17,2
NEWS,18,2
ALIVE,19,2
LESS,20,2
BORROW,21,2
LOOK,22,2
PURPLE,23,2
CLUE,24,2
MIDDLE,25,2
WILD,26,2
CANDLE,27,2
VERB,28,2
PAIN,29,2
MOST,30,2
BRANCH,31,2
STATES,32,2
BUTTER,33,2
CHAIN,34,2
KIDNAP,35,2
NOSE,36,2
READ,37,2
SOAP,38,2
INHALE,39,2
THIRST,40,2
FIRST,41,2
WAITER,42,2
HORSE,1,3
BEFORE,2,3
OFFICE,3,3
GIRLS,4,3
CANCER,5,3
MINUS,6,3
LEAVES,7,3
YOURS,8,3
BEHIND,9,3
MINUTE,10,3
SHARK,11,3
TIGER,12,3
WHERE,13,3
THERE,14,3
EARLY,15,3
WHOLE,16,3
ENTER,17,3
GRASS,18,3
THROW,19,3
MUSCLE,20,3
QUEEN,21,3
ANIMAL,22,3
CLOSE,23,3
PHONE,24,3
CORAL,25,3
PLANT,26,3
UNCLE,27,3
QUART,28,3
LEMON,29,3
TEETH,30,3
MEAN,31,3
SPOON,32,3
WORST,33,3
CLOCK,34,3
SHORT,35,3
FINGER,36,3
FOUND,37,3
PEPPER,38,3
DOLLAR,39,3
SHOVE,40,3
FENCE,41,3
ROCK,42,3
HORN,1,4
NEPHEW,2,4
SMOOTH,3,4
WEIGHT,4,4
SONG,5,4
CLAM,6,4
WORK,7,4
BIRD,8,4
WEST,9,4
STOP,10,4
TWELVE,11,4
DREAM,12,4
STREAM,13,4
NUMBER,14,4
FLOWER,15,4
GROSS,16,4
YELLOW,17,4
MONEY,18,4
NICKEL,19,4
FRIGHT,20,4
DAGGER,21,4
CHAIR,22,4
EGGS,23,4
RIGHT,24,4
BOMB,25,4
SELLER,26,4
LENGTH,27,4
LAWYER,28,4
BEACH,29,4
PICKLE,30,4
GLORY,31,4
JAIL,32,4
SHEETS,33,4
CHANGE,34,4
GUITAR,35,4
ORANGE,36,4
STORY,37,4
CRACKER,38,4
STAIRS,39,4
OUTTAKE,40,4
CHEESE,41,4
FISH,42,4
