DelayedWord,DelayedRT
FISH,6353.63
ORANGE,1483.045
FLOWER,1766.52
LAWYER,1304.195
CHEESE,5883.515
BIRD,3581.165
NUMBERS,1966.11
WORK,1050.16
CLAM,2884.44
BOMB,852.6
KNIFE,784.56
CRACKERS,1788.805
STOP,1005.39
HORSE,2233.62
TIGER,1483.22
CORAL,3482.86
FINGER,1942.365
XXXXX,7989.975
XXXXX,8000.38
XXXXX,7997.82
CAMP,4847.48
WORLD,1803.43
SONG,4366.8
XXXXX,8000.595
XXXXX,7993.65
XXXXX,8006.17
XXXXX,7998.065
XXXXX,8000.64
STRONG,1882.56
XXXXX,8000.99
XXXXX,8002.495
XXXXX,8005.67
XXXXX,7989.74
XXXXX,8000.02
WAITER,4600.2
KIDNAP,6366.86
NEWS,3983.075
XXXXX,7989.72
XXXXX,7990.095
ODDBALL,1433.54
XXXXX,8005.505
STICK,3434.465
NOSE,1336.42
EXHALE,3723.115
XXXXX,8005.03
XXXXX,8004.68
XXXXX,8001.535
XXXXX,8004.58
XXXXX,8005.615
XXXXX,7999.24
XXXXX,8000.32
XXXXX,7997.835
XXXXX,7988.75
XXXXX,7998.59
XXXXX,7999.105
XXXXX,7999.99
XXXXX,7998.285
XXXXX,7989.425
XXXXX,8002.795
XXXXX,8016.55
XXXXX,8001.525
XXXXX,8002.43
XXXXX,8000.625
XXXXX,8005.975
XXXXX,8009.59
XXXXX,7989.375
XXXXX,7996.845
XXXXX,7997.58
XXXXX,8000.11
XXXXX,8000.655
XXXXX,8000.765
XXXXX,8002.06
XXXXX,7997.515
XXXXX,8002.17
XXXXX,8003.875
XXXXX,7998.09
XXXXX,8001.69
XXXXX,8005.44
XXXXX,7999.075
XXXXX,7989.83
XXXXX,8003.54
XXXXX,8001.885
XXXXX,8004.715
XXXXX,8000.845
XXXXX,8001.11
XXXXX,8000.57
XXXXX,6872.755
