RecalledWord,StudyPosition,Block
CAMP,1,1
NOISE,2,1
PICTURE,3,1
WORLD,4,1
SWAMP,5,1
LAKE,6,1
LEARN,7,1
ROAD,8,1
SOUTH,9,1
LAND,10,1
TRAIN,11,1
TRASH,12,1
TIGHT,13,1
HOOP,14,1
SMILE,15,1
DOOR,16,1
SORRY,17,1
KILL,18,1
SHOES,19,1
GHOST,20,1
FROG,21,1
DIRT,22,1
HOTEL,23,1
STOMACH,24,1
PRESENT,25,1
BLACK,26,1
POUND,27,1
DUSK,28,1
WHEAT,29,1
BRIDE,30,1
BELOW,31,1
JUMP,32,1
KISS,33,1
SWEET,34,1
DEAF,35,1
DEVIL,36,1
FIVE,37,1
GEEK,38,1
MINOR,39,1
STARS,40,1
THIEF,41,1
SMOKE,42,1
WAITER,1,2
THIRST,2,2
KIDNAP,3,2
SOAP,4,2
WILD,5,2
FIRST,6,2
MOTHER,7,2
CLUE,8,2
NEWS,9,2
VERB,10,2
PURPLE,11,2
THREAD,12,2
BALLET,13,2
NOSE,14,2
HUNGER,15,2
ARGUE,16,2
PAIN,17,2
TEST,18,2
TENNIS,19,2
CHAIN,20,2
BORROW,21,2
SQUARE,22,2
TOUR,23,2
TOES,24,2
WINTER,25,2
INHALE,26,2
BUTTER,27,2
SLOW,28,2
LOOK,29,2
STATES,30,2
MIDDLE,31,2
CANDLE,32,2
BUCKET,33,2
NAVY,34,2
READ,35,2
MOST,36,2
SEEK,37,2
BRANCH,38,2
SUPPER,39,2
ALIVE,40,2
LESS,41,2
SPIDER,42,2
MUSCLE,1,3
WHERE,2,3
FINGER,3,3
WHOLE,4,3
DOLLAR,5,3
CORAL,6,3
PLANT,7,3
MINUTE,8,3
CANCER,9,3
HORSE,10,3
TIGER,11,3
YOURS,12,3
TEETH,13,3
UNCLE,14,3
SPOON,15,3
BEHIND,16,3
CLOCK,17,3
BEFORE,18,3
FOUND,19,3
CLOSE,20,3
SHOVE,21,3
THERE,22,3
QUART,23,3
FENCE,24,3
ANIMAL,25,3
QUEEN,26,3
THROW,27,3
SHORT,28,3
LEAVES,29,3
ENTER,30,3
LEMON,31,3
MINUS,32,3
GRASS,33,3
EARLY,34,3
PHONE,35,3
GIRLS,36,3
SHARK,37,3
ROCK,38,3
OFFICE,39,3
WORST,40,3
MEAN,41,3
PEPPER,42,3
GLORY,1,4
SONG,2,4
BIRD,3,4
NUMBER,4,4
CRACKER,5,4
SELLER,6,4
WORK,7,4
STOP,8,4
CLAM,9,4
DAGGER,10,4
BOMB,11,4
CHEESE,12,4
FISH,13,4
STREAM,14,4
STAIRS,15,4
GROSS,16,4
FRIGHT,17,4
ORANGE,18,4
HORN,19,4
LENGTH,20,4
FLOWER,21,4
RIGHT,22,4
OUTTAKE,23,4
WEIGHT,24,4
CHAIR,25,4
DREAM,26,4
YELLOW,27,4
LAWYER,28,4
PICKLE,29,4
EGGS,30,4
GUITAR,31,4
SMOOTH,32,4
NEPHEW,33,4
TWELVE,34,4
WEST,35,4
NICKEL,36,4
CHANGE,37,4
JAIL,38,4
STORY,39,4
BEACH,40,4
MONEY,41,4
SHEETS,42,4
