Participant,Prime,Prime_Duration,rt,Response
DC2,UNEASY,120.0849999,1764.94,UNEASY
DC2,CHEAT,117.055,1549.825,XXXXX
DC2,FOREST,125.48,1555.25,FOREST
DC2,FREAK,119.085,1519.795,FREAK
DC2,PEEP,116.26,420.82,XXXXX
DC2,WIND,118.53,835.205,WIND
DC2,DAMAGE,116.455,1391.51,DAMAGE
DC2,CEASE,116.625,233.95,XXXXX
DC2,SHAVE,116.235,3454.495,SHOVE
DC2,MIDLAND,121.4,2071.375,MIDLAND
DC2,OPTION,116.635,2017.185,OPTION
DC2,TRIVIA,116.155,1054.74,TRIVIA
DC2,ERUPT,116.475,216.095,XXXXX
DC2,SUIT,116.41,819.07,SUI
DC2,SNAP,117.115,799.65,NAP
DC2,KEEP,116.655,916.925,KEEP
DC2,FAUNA,114.065,294.5050001,XXXXX
DC2,MEET,116.57,2682.55,MEET
DC2,TOTALLY,116.75,1565.615,TOTALLY
DC2,CLAW,116.41,368.99,XXXXX
DC2,CHEER,116.68,1118.58,CHEESE
DC2,PIAZZA,116.425,1318.875,PIZZA
DC2,HOSTEL,116.635,1786.09,HOTEL
DC2,VODKA,116.87,1216.42,VODKA
DC2,MUZZLE,117.955,314.18,XXXXX
DC2,SPUNK,115.735,968.18,PUNK
DC2,SPAN,117.975,1317.95,SPAIN
DC2,LEND,119.025,184.975,XXXXX
DC2,RESUME,116.785,304.755,XXXXX
DC2,LYNX,118.99,907.84,LYNX
DC2,SPUN,116.65,1217.7,SPUN
DC2,EFFIGY,128.2949999,1502.85,EFFIGY
DC2,STARK,116.255,933.51,STAR
DC2,CORNER,116.665,1134.52,CORNER
DC2,MORAL,116.615,319.085,XXXXX
DC2,PULL,116.775,1217.425,PULL
DC2,FLAK,117.01,786.31,FLAKE
DC2,VOID,113.195,1886.14,AVOID
DC2,TRAITOR,116.845,1233.96,TRAIL
DC2,REACTOR,116.69,186.355,XXXXX
