participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
EX2,1,2021-04-03_10h07.48.336,L1.2ConstantTotalFinal,2020.1.3,60,MOST,1749.375,firstword,firstword,,1,1
EX2,1,2021-04-03_09h08.42.496,L1.2ConstantTotalFinal,2020.1.3,60,SUPPER,1433.745,PAIN,Identical,115.915,2,1
EX2,1,2021-04-03_09h08.42.497,L1.2ConstantTotalFinal,2020.1.3,60,VERB,1183.71,INHALE,Identical,116.33,3,1
EX2,1,2021-04-03_09h08.42.498,L1.2ConstantTotalFinal,2020.1.3,60,LOOK,1132.67,NEWS,Identical,117.54,4,1
EX2,1,2021-04-03_09h08.42.499,L1.2ConstantTotalFinal,2020.1.3,60,PURPLE,6486.125,SERVER,Related,115.25,5,1
EX2,1,2021-04-03_09h08.42.500,L1.2ConstantTotalFinal,2020.1.3,60,LINE,1066.295,ARMY,Related,116.085,6,1
EX2,1,2021-04-03_09h08.42.501,L1.2ConstantTotalFinal,2020.1.3,60,LESS,1416.5,COBWEB,Related,116.495,7,1
EX2,1,2021-04-03_09h08.42.502,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8002.415,DRESS,Unrelated,116.25,8,1
EX2,1,2021-04-03_09h08.42.503,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.875,TAME,Related,115.5,9,1
EX2,1,2021-04-03_09h08.42.504,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.5,DEBATE,Related,115.88,10,1
EX2,1,2021-04-03_09h08.42.505,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.29,SMELL,Unrelated,116.455,11,1
EX2,1,2021-04-03_09h08.42.506,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.13,MAYBE,Unrelated,117.585,12,1
EX2,1,2021-04-03_09h08.42.507,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.415,STICKY,Unrelated,116.42,13,1
EX2,1,2021-04-03_09h08.42.508,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8002.165,HAIR,Unrelated,116.21,14,1
EX2,1,2021-04-03_09h08.42.509,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7999.87,TOUR,Identical,116.705,15,1
EX2,1,2021-04-03_09h08.42.510,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.375,SICK,Unrelated,114.665,16,1
EX2,1,2021-04-03_09h08.42.511,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.29,SUMMER,Related,116.415,17,1
EX2,1,2021-04-03_09h08.42.512,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.165,NOSE,Identical,115.705,18,1
EX2,1,2021-04-03_09h08.42.513,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.335,YEAR,Unrelated,115.29,19,1
EX2,1,2021-04-03_09h08.42.514,L1.2ConstantTotalFinal,2020.1.3,60,TENNIS,8000.375,TENNIS,Identical,116.375,20,1
EX2,1,2021-04-03_09h08.42.515,L1.2ConstantTotalFinal,2020.1.3,60,HELLO,7517.585,HAPPY,Unrelated,115.835,21,1
EX2,1,2021-04-03_09h08.42.516,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8001.705,BELL,Unrelated,116.005,22,1
EX2,1,2021-04-03_09h08.42.517,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8003.79,COLLECT,Unrelated,116.125,23,1
EX2,1,2021-04-03_09h08.42.518,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.33,QUENCH,Related,116.42,24,1
EX2,1,2021-04-03_09h08.42.519,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.83,HIDE,Related,116.33,25,1
EX2,1,2021-04-03_09h08.42.520,L1.2ConstantTotalFinal,2020.1.3,60,BUCKET,2781.835,BUCKET,Identical,115.46,26,1
EX2,1,2021-04-03_09h08.42.521,L1.2ConstantTotalFinal,2020.1.3,60,TWIG,3066.46,TWIG,Related,116.33,27,1
EX2,1,2021-04-03_09h08.42.522,L1.2ConstantTotalFinal,2020.1.3,60,CHAIN,1249.625,CHAIN,Identical,117.375,28,1
EX2,1,2021-04-03_09h08.42.523,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.665,SLOW,Identical,116.415,29,1
EX2,1,2021-04-03_09h08.42.524,L1.2ConstantTotalFinal,2020.1.3,60,BOOK,1215.785,BOOK,Related,116.835,30,1
EX2,1,2021-04-03_09h08.42.525,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8002.33,BREAK,Unrelated,116.96,31,1
