RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
MINOR,z,1.13559,GC,1,2021-04-02_10h34.34.510,DelayedExp,2020.1.3,60
PLANE ,slash,1.366375,GC,1,2021-04-02_10h34.34.511,DelayedExp,2020.1.3,60
CORAL,z,1.148545,GC,1,2021-04-02_10h34.34.512,DelayedExp,2020.1.3,60
SKIN,z,1.21528,GC,1,2021-04-02_10h34.34.513,DelayedExp,2020.1.3,60
INHALE,z,0.8468,GC,1,2021-04-02_10h34.34.514,DelayedExp,2020.1.3,60
WILD,z,1.91366,GC,1,2021-04-02_10h34.34.515,DelayedExp,2020.1.3,60
POUND,slash,1.698735,GC,1,2021-04-02_10h34.34.516,DelayedExp,2020.1.3,60
LENGTH,z,0.981485,GC,1,2021-04-02_10h34.34.517,DelayedExp,2020.1.3,60
MONKEY,slash,0.882105,GC,1,2021-04-02_10h34.34.518,DelayedExp,2020.1.3,60
TWELVE,z,2.548455,GC,1,2021-04-02_10h34.34.519,DelayedExp,2020.1.3,60
HAPPY,slash,0.815655,GC,1,2021-04-02_10h34.34.520,DelayedExp,2020.1.3,60
CARD,slash,1.3855,GC,1,2021-04-02_10h34.34.521,DelayedExp,2020.1.3,60
PLAN,slash,1.01689,GC,1,2021-04-02_10h34.34.522,DelayedExp,2020.1.3,60
DOOR,slash,1.298605,GC,1,2021-04-02_10h34.34.523,DelayedExp,2020.1.3,60
SOUR,slash,1.11274,GC,1,2021-04-02_10h34.34.524,DelayedExp,2020.1.3,60
OVEN,z,1.2629,GC,1,2021-04-02_10h34.34.525,DelayedExp,2020.1.3,60
GAME,slash,1.798975,GC,1,2021-04-02_10h34.34.526,DelayedExp,2020.1.3,60
MAID,z,0.85026,GC,1,2021-04-02_10h34.34.527,DelayedExp,2020.1.3,60
GRAND,z,1.246955,GC,1,2021-04-02_10h34.34.528,DelayedExp,2020.1.3,60
NEWS,z,1.63278,GC,1,2021-04-02_10h34.34.529,DelayedExp,2020.1.3,60
ROAD,z,1.40431,GC,1,2021-04-02_10h34.34.530,DelayedExp,2020.1.3,60
FISH,slash,2.235365,GC,1,2021-04-02_10h34.34.531,DelayedExp,2020.1.3,60
LAWYER,z,1.497015,GC,1,2021-04-02_10h34.34.532,DelayedExp,2020.1.3,60
WORK,slash,0.7523,GC,1,2021-04-02_10h34.34.533,DelayedExp,2020.1.3,60
THERE,slash,1.766575,GC,1,2021-04-02_10h34.34.534,DelayedExp,2020.1.3,60
SUBJECT,slash,0.765385,GC,1,2021-04-02_10h34.34.535,DelayedExp,2020.1.3,60
VERB,slash,1.248625,GC,1,2021-04-02_10h34.34.536,DelayedExp,2020.1.3,60
EXPLODE,z,1.083615,GC,1,2021-04-02_10h34.34.537,DelayedExp,2020.1.3,60
OUTTAKE,z,2.50049,GC,1,2021-04-02_10h34.34.538,DelayedExp,2020.1.3,60
GROSS,slash,0.913475,GC,1,2021-04-02_10h34.34.539,DelayedExp,2020.1.3,60
FRIGHT,slash,1.43261,GC,1,2021-04-02_10h34.34.540,DelayedExp,2020.1.3,60
DISAGREE,z,1.56792,GC,1,2021-04-02_10h34.34.541,DelayedExp,2020.1.3,60
PROBLEM,z,1.295485,GC,1,2021-04-02_10h34.34.542,DelayedExp,2020.1.3,60
WORST,z,0.69923,GC,1,2021-04-02_10h34.34.543,DelayedExp,2020.1.3,60
TRAILER,z,1.214915,GC,1,2021-04-02_10h34.34.544,DelayedExp,2020.1.3,60
TOES,z,0.959925,GC,1,2021-04-02_10h34.34.545,DelayedExp,2020.1.3,60
FOOD,z,1.19674,GC,1,2021-04-02_10h34.34.546,DelayedExp,2020.1.3,60
PENNY,slash,1.047115,GC,1,2021-04-02_10h34.34.547,DelayedExp,2020.1.3,60
SHERIFF,slash,1.051175,GC,1,2021-04-02_10h34.34.548,DelayedExp,2020.1.3,60
ITCH,z,0.850185,GC,1,2021-04-02_10h34.34.549,DelayedExp,2020.1.3,60
FENCE,slash,0.698405,GC,1,2021-04-02_10h34.34.550,DelayedExp,2020.1.3,60
PRIDE,slash,1.23267,GC,1,2021-04-02_10h34.34.551,DelayedExp,2020.1.3,60
REPEAT,z,0.79843,GC,1,2021-04-02_10h34.34.552,DelayedExp,2020.1.3,60
PURPLE,slash,0.96957,GC,1,2021-04-02_10h34.34.553,DelayedExp,2020.1.3,60
ROCK,z,0.8305,GC,1,2021-04-02_10h34.34.554,DelayedExp,2020.1.3,60
TEST,z,0.8307,GC,1,2021-04-02_10h34.34.555,DelayedExp,2020.1.3,60
NOISE,z,0.73327,GC,1,2021-04-02_10h34.34.556,DelayedExp,2020.1.3,60
PAPER,slash,0.85314,GC,1,2021-04-02_10h34.34.557,DelayedExp,2020.1.3,60
CHAIR,slash,0.731415,GC,1,2021-04-02_10h34.34.558,DelayedExp,2020.1.3,60
SILK,slash,0.649485,GC,1,2021-04-02_10h34.34.559,DelayedExp,2020.1.3,60
KNIFE,slash,0.64046,GC,1,2021-04-02_10h34.34.560,DelayedExp,2020.1.3,60
UNCLE,slash,1.417685,GC,1,2021-04-02_10h34.34.561,DelayedExp,2020.1.3,60
KILL,z,0.766925,GC,1,2021-04-02_10h34.34.562,DelayedExp,2020.1.3,60
MANY,z,1.3829,GC,1,2021-04-02_10h34.34.563,DelayedExp,2020.1.3,60
ENGLISH,slash,0.88098,GC,1,2021-04-02_10h34.34.564,DelayedExp,2020.1.3,60
TRASH,z,1.0532,GC,1,2021-04-02_10h34.34.565,DelayedExp,2020.1.3,60
DREAM,z,1.579145,GC,1,2021-04-02_10h34.34.566,DelayedExp,2020.1.3,60
RENT,z,1.379995,GC,1,2021-04-02_10h34.34.567,DelayedExp,2020.1.3,60
THANKS,z,0.79825,GC,1,2021-04-02_10h34.34.568,DelayedExp,2020.1.3,60
MARRY,z,1.43414,GC,1,2021-04-02_10h34.34.569,DelayedExp,2020.1.3,60
UNCLEAR,slash,1.251995,GC,1,2021-04-02_10h34.34.570,DelayedExp,2020.1.3,60
GIRLS,z,1.300005,GC,1,2021-04-02_10h34.34.571,DelayedExp,2020.1.3,60
SPIT,slash,0.714165,GC,1,2021-04-02_10h34.34.572,DelayedExp,2020.1.3,60
GRASS,slash,1.0676,GC,1,2021-04-02_10h34.34.573,DelayedExp,2020.1.3,60
