DelayedWord,DelayedRT
XXXXX,8001.13
JAIL,1801.445
GHOST,6751.525
N,7998.85
DEVIL,3336.35
DEAF,6683
XXXXX,8000.25
EGG,8000.21
PICKLE,7990.875
FOOD,8000.16
LEMON,8001.01
DOLLAR,3901.27
MONEY,2516.78
ROCKS,7833.38
XXXXX,8000.38
XXXXX,8004.97
WHEAT,2967.38
FISH,7826.865
XXXXX,7998.995
XXXXX,8000.105
JAIL,5683.64
LAWYER,3500.41
XXXXX,7997.72
XXXXX,8000.465
OFFICE,6350.005
XXXXX,8000.945
QUEEN,5318.57
XXXXX,8013.045
GUITAR,3700.585
YELLOW,3450.56
ORANGE,1667.16
PURPLE,1286.065
XXXXX,7999.54
XXXXX,8000
DARK,3918.45
DUSK,2216.43
STAR,3733.33
SHOE,1284.035
XXXXX,8000.04
DEVIL,5067.7
XXXXX,8001.04
XXXXX,8003.06
FROG,7999.945
LIZARD,3235.175
XXXXX,10282.835
XXXXX,7999.93
XXXXX,8000.085
XXXXX,7999.995
SUN,2182.795
BEACH,5100.81
SWAMP,4767.485
LAKE,1916.09
OCEAN,3449.21
XXXXX,7999.93
PEPPER,4632.28
XXXXX,8000.04
XXXXX,8000.49
XXXXX,7999.68
XXXXX,8000.065
SMOKE,8000.155
FIRE,2884.84
XXXXX,8001.135
XXXXX,8000.935
XXXXX,8000.34
XXXXX,8001.175
XXXXX,8000.24
XXXXX,7998.03
PLANT,1900.13
GRASS,2233.72
TREE,1367.125
LAND,1150.48
ROAD,2332.985
STREET,2800.495
XXXXX,8001.615
ANIMALS,5900.91
NORTH,3931.54
EAST,1967.64
SOUTTH,1296.655
WEST,1417.555
XXXXX,8000.78
XXXXX,8001.415
SHARK,1365.445
XXXXX,8001.22
XXXXX,7999.505
XXXXX,7999.79
TIGER,7317
XXXXX,7988.02
PHONE,1483.215
XXXXX,7995.015
XXXXX,7999.83
XXXXX,8000.04
XXXXX,8000.415
XXXXX,3143.13
