Participant,Prime,Prime_Duration,rt,Response
GJ,STARK,117.405,2084.645,SHARK
GJ,FAUNA,116.6900001,1735.54,XXXXX
GJ,EFFIGY,116.83,2125.795,FIRE
GJ,FLAK,116.485,1385.595,FLAKE
GJ,REACTOR,116.7299999,1290.375,XXXXX
GJ,SPUN,116.735,2041.445,SUN
GJ,VOID,116.7100001,2778.005,VOID
GJ,WIND,117.325,1199.615,WIND
GJ,UNEASY,118.61,1493.035,EASY
GJ,PULL,116.38,1285.195,XXXXX
GJ,HOSTEL,116.5049999,1468.925,HOTEL
GJ,MEET,116.815,1362.205,MEET
GJ,MORAL,115.9450001,1334.78,CORAL
GJ,CORNER,126.12,757.38,XXXXX
GJ,SPAN,117.66,1858.415,SPAN
GJ,CLAW,116.395,1217.88,CLAM
GJ,MIDLAND,116.79,1529.545,MIDLAND
GJ,SNAP,116.5250001,1926.16,SNAP
GJ,CEASE,116.6599999,1168.2,CEASE
GJ,SPUNK,116.65,572.775,XXXXX
GJ,CHEER,117.31,1820.92,CHEER
GJ,DAMAGE,116.19,2700.73,DAMAGE
GJ,SHAVE,117.22,1604.665,SHAVE
GJ,TRAITOR,117.04,3139.625,TRAITOR
GJ,OPTION,116.045,1727.645,OPTION
GJ,PIAZZA,116.775,545.62,XXXXX
GJ,CHEAT,116.58,2584.125,CHEAT
GJ,FREAK,117.78,1750.455,FREAK
GJ,LEND,117.77,1227.325,LAND
GJ,PEEP,117.54,1384.35,PEEP
GJ,FOREST,117.08,2901.99,FOREST
GJ,TOTALLY,116.225,1836.12,TOTALLY
GJ,RESUME,116.5850001,2935.31,PRESUME
GJ,ERUPT,115.935,388.03,XXXXX
GJ,LYNX,116.6149999,1251.255,XXXXX
GJ,VODKA,116.45,1996.605,AVOID
GJ,SUIT,116.97,1632.1,SUITT
GJ,KEEP,116.0850001,1317.48,XXXXX
GJ,TRIVIA,116.545,972.4,TRIVIA
GJ,MUZZLE,116.825,2791.905,MUZZLE
