Participant,Prime,Prime_Duration,rt,Response
GN,SNAP,119.315,7993.695,SNAP
GN,FOREST,116.395,8004.795,FOREST
GN,ERUPT,116.945,3522.54,XXXXX
GN,MORAL,116.59,7993.145,MORAL
GN,KEEP,116.4899999,7994.435,KEEP
GN,TRAITOR,116.805,7993.915,TRAILER
GN,PEEP,116.07,7992.5,PEEP
GN,FREAK,116.865,8003.98,FREAK
GN,UNEASY,116.955,8000.99,UNEASY
GN,CLAW,116.4749999,7991.485,CLAW
GN,MIDLAND,116.47,848.5699999,XXXXX
GN,REACTOR,116.975,7992.87,RELAX
GN,SPAN,115.795,7988.75,SPAN
GN,PIAZZA,116.635,7998.61,PIZZA
GN,MUZZLE,116.7,1031.815,XXXXX
GN,RESUME,116.1399999,7988.73,RESUME
GN,VOID,116.4950001,8003.415,AVOID
GN,SPUNK,122.875,7996.735,SPUNK
GN,FAUNA,117.1200001,8007.46,FAUNA
GN,OPTION,116.74,7988.955,OPTION
GN,LEND,116.26,8005.005,LEND
GN,MEET,116.375,8018.29,MEET
GN,STARK,116.925,8004.08,STAR
GN,FLAK,116.375,520.955,XXXXX
GN,CORNER,120.1150001,8008.785,CORNER
GN,DAMAGE,116.6849999,7988.27,DAMAGE
GN,PULL,116.2099999,8011.905,PULL
GN,WIND,116.51,8006.715,WIND
GN,SHAVE,112.68,7993.475,SHAVE
GN,CHEAT,117.205,7991.49,CHEAT
GN,SPUN,116.2650001,5774.945,XXXXX
GN,HOSTEL,116.3699999,7990.175,HOTEL
GN,VODKA,116.345,7994.19,VODKA
GN,TOTALLY,117.07,7996.665,TOTALLY
GN,EFFIGY,120.025,1749.67,XXXXX
GN,LYNX,116.405,482.22,XXXXX
GN,CEASE,116.58,8001.49,CEASE
GN,CHEER,116.7199999,7995.67,CHEER
GN,SUIT,117.175,7994.7,SUIT
GN,TRIVIA,119.62,7999.545,TRIVIA
