Participant,Prime,Prime_Duration,rt,Response
JB4,CORNER,115.235,1098.64,CORN
JB4,HOSTEL,115.85,2983.705,STEEL
JB4,UNEASY,116.68,2248.925,UNEASY
JB4,SUIT,116.805,999.805,NUTS
JB4,CLAW,116.81,1449.46,CLAWS
JB4,CHEER,116.86,1683.615,CHEER
JB4,MUZZLE,115.335,1586.62,NUZZLE
JB4,STARK,116.79,1483.21,STARK
JB4,FLAK,116.305,1169.735,FLEAK
JB4,SPUNK,116.65,1299.515,SPUNK
JB4,VOID,115.605,815.34,VOID
JB4,SPAN,142.64,899.6,SPAN
JB4,VODKA,116.78,1132.6,VODKA
JB4,KEEP,117.335,933.095,KEEP
JB4,EFFIGY,116.965,900.97,EDGY
JB4,DAMAGE,116.155,1149.415,DAMAGE
JB4,TRAITOR,116.53,2848.86,TRAITOR
JB4,CHEAT,116.11,883.25,CHEAT
JB4,FOREST,117.615,882.65,FOREST
JB4,MEET,116.465,882.935,MEET
JB4,FAUNA,116.165,921.605,FAUNA
JB4,TRIVIA,116,950.035,TRIVIA
JB4,TOTALLY,116.835,1666.25,TOTAL
JB4,FREAK,116.025,1067.045,FREAK
JB4,LEND,120.84,1149.89,END
JB4,RESUME,115.855,1150.08,RESUME
JB4,SNAP,116.13,816.81,SNAP
JB4,PEEP,127.635,899.93,PEEP
JB4,MORAL,118.16,950.245,MORAL
JB4,WIND,116.645,799.605,WIND
JB4,LYNX,115.89,1899.32,LYNX
JB4,PIAZZA,117.59,1200.78,PIAZZA
JB4,CEASE,115.855,1617.06,CEASE
JB4,SHAVE,116.735,916.215,SHAVE
JB4,OPTION,116.245,1034.95,OPTION
JB4,REACTOR,116.86,1250.73,REACTION
JB4,SPUN,115.91,849.1,SPUN
JB4,ERUPT,116.575,1300.07,XXXXX
JB4,PULL,116.375,833.33,PULL
JB4,MIDLAND,116.68,1249.995,MIDLANDS
