participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
JB,1,2021-02-24_17h18.45.907,L1.2ConstantTotalFinal,2020.1.3,60,NAVY,2467.96,firstword,firstword,,1,1
JB,1,2021-02-24_17h18.45.908,L1.2ConstantTotalFinal,2020.1.3,60,BUTTER,1982.4,DRESS,Unrelated,116.835,2,1
JB,1,2021-02-24_17h18.45.909,L1.2ConstantTotalFinal,2020.1.3,60,STATES,1433.46,FIND,Unrelated,115.9099999,3,1
JB,1,2021-02-24_17h18.45.910,L1.2ConstantTotalFinal,2020.1.3,60,BRANCH,1400.1,SERVER,Related,116.1099999,4,1
JB,1,2021-02-24_17h18.45.911,L1.2ConstantTotalFinal,2020.1.3,60,CLUE,3435.075,TOES,Identical,115.73,5,1
JB,1,2021-02-24_17h18.45.912,L1.2ConstantTotalFinal,2020.1.3,60,THREAD,1482.38,BELL,Unrelated,115.105,6,1
JB,1,2021-02-24_17h18.45.913,L1.2ConstantTotalFinal,2020.1.3,60,ARGUE,3849.395,GUIDE,Related,116.58,7,1
JB,1,2021-02-24_17h18.45.914,L1.2ConstantTotalFinal,2020.1.3,60,KI,8000.775,VERB,Identical,116.915,8,1
JB,1,2021-02-24_17h18.45.915,L1.2ConstantTotalFinal,2020.1.3,60,KIDNAP,1983.415,SOAP,Identical,116.74,9,1
JB,1,2021-02-24_17h18.45.916,L1.2ConstantTotalFinal,2020.1.3,60,FIRST,1016.925,MIDDLE,Identical,115.505,10,1
JB,1,2021-02-24_17h18.45.917,L1.2ConstantTotalFinal,2020.1.3,60,PURPLE,3849.755,LESS,Identical,116.2650001,11,1
JB,1,2021-02-24_17h18.45.918,L1.2ConstantTotalFinal,2020.1.3,60,HUNGRY,3383.36,DINNER,Related,115.8850001,12,1
JB,1,2021-02-24_17h18.45.919,L1.2ConstantTotalFinal,2020.1.3,60,WAITER,1583.45,MEDIA,Related,115.73,13,1
JB,1,2021-02-24_17h18.45.920,L1.2ConstantTotalFinal,2020.1.3,60,THIRST,1699.095,READ,Identical,115.5549999,14,1
JB,1,2021-02-24_17h18.45.921,L1.2ConstantTotalFinal,2020.1.3,60,CHAIN,1967.25,LEND,Related,116.425,15,1
JB,1,2021-02-24_17h18.45.922,L1.2ConstantTotalFinal,2020.1.3,60,NOSE,4918.02,HUNGER,Identical,116.18,16,1
JB,1,2021-02-24_17h18.45.923,L1.2ConstantTotalFinal,2020.1.3,60,LESS,1148.81,TREE,Unrelated,116.59,17,1
JB,1,2021-02-24_17h18.45.924,L1.2ConstantTotalFinal,2020.1.3,60,SOAP,3499.655,TAME,Related,117.46,18,1
JB,1,2021-02-24_17h18.45.925,L1.2ConstantTotalFinal,2020.1.3,60,ARGUE,4034.94,PAIL,Related,116.09,19,1
JB,1,2021-02-24_17h18.45.926,L1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8000.63,CANDLE,Identical,115.3099999,20,1
