RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
PURPOSE,z,2.45761,JB,1,2021-02-26_13h55.08.914,DelayedExp,2020.1.3,60
GHOST,slash,1.78237,JB,1,2021-02-26_13h55.08.915,DelayedExp,2020.1.3,60
PRESENT,slash,1.048935,JB,1,2021-02-26_13h55.08.916,DelayedExp,2020.1.3,60
STAMP,z,1.21516,JB,1,2021-02-26_13h55.08.917,DelayedExp,2020.1.3,60
CHILD,z,2.36516,JB,1,2021-02-26_13h55.08.918,DelayedExp,2020.1.3,60
STORE,slash,1.4816,JB,1,2021-02-26_13h55.08.919,DelayedExp,2020.1.3,60
BUSH,z,1.35182,JB,1,2021-02-26_13h55.08.920,DelayedExp,2020.1.3,60
TOES,slash,1.11571,JB,1,2021-02-26_13h55.08.921,DelayedExp,2020.1.3,60
WHERE,slash,0.88183,JB,1,2021-02-26_13h55.08.922,DelayedExp,2020.1.3,60
PROBLEM,z,2.10104,JB,1,2021-02-26_13h55.08.923,DelayedExp,2020.1.3,60
STUPID,z,1.91528,JB,1,2021-02-26_13h55.08.924,DelayedExp,2020.1.3,60
LAUGH,z,1.96556,JB,1,2021-02-26_13h55.08.925,DelayedExp,2020.1.3,60
TALK,z,1.94907,JB,1,2021-02-26_13h55.08.926,DelayedExp,2020.1.3,60
WILD,z,2.04865,JB,1,2021-02-26_13h55.08.927,DelayedExp,2020.1.3,60
SMOOTH,slash,1.61627,JB,1,2021-02-26_13h55.08.928,DelayedExp,2020.1.3,60
TOUR,z,1.09809,JB,1,2021-02-26_13h55.08.929,DelayedExp,2020.1.3,60
LENGTH,slash,2.265115,JB,1,2021-02-26_13h55.08.930,DelayedExp,2020.1.3,60
OUTTAKE,z,0.949025,JB,1,2021-02-26_13h55.08.931,DelayedExp,2020.1.3,60
PENCIL,slash,2.300215,JB,1,2021-02-26_13h55.08.932,DelayedExp,2020.1.3,60
TEST,z,2.515875,JB,1,2021-02-26_13h55.08.933,DelayedExp,2020.1.3,60
POUND,slash,2.615515,JB,1,2021-02-26_13h55.08.934,DelayedExp,2020.1.3,60
STRIPE,slash,2.048415,JB,1,2021-02-26_13h55.08.935,DelayedExp,2020.1.3,60
GUILT,z,1.049185,JB,1,2021-02-26_13h55.08.936,DelayedExp,2020.1.3,60
HAIR,slash,2.1984,JB,1,2021-02-26_13h55.08.937,DelayedExp,2020.1.3,60
SING,z,0.965915,JB,1,2021-02-26_13h55.08.938,DelayedExp,2020.1.3,60
LETTER,z,2.815755,JB,1,2021-02-26_13h55.08.939,DelayedExp,2020.1.3,60
THIEF,slash,0.79777,JB,1,2021-02-26_13h55.08.940,DelayedExp,2020.1.3,60
YOURS,,,JB,1,2021-02-26_13h55.08.941,DelayedExp,2020.1.3,60
EFFECT,z,2.264885,JB,1,2021-02-26_13h55.08.942,DelayedExp,2020.1.3,60
PLANT,slash,1.18224,JB,1,2021-02-26_13h55.08.943,DelayedExp,2020.1.3,60
CAMP,slash,0.7149,JB,1,2021-02-26_13h55.08.944,DelayedExp,2020.1.3,60
OFFICE,slash,0.715765,JB,1,2021-02-26_13h55.08.945,DelayedExp,2020.1.3,60
TOOTH,slash,2.032475,JB,1,2021-02-26_13h55.08.946,DelayedExp,2020.1.3,60
NONE,z,0.79864,JB,1,2021-02-26_13h55.08.947,DelayedExp,2020.1.3,60
MAGIC,z,1.28207,JB,1,2021-02-26_13h55.08.948,DelayedExp,2020.1.3,60
MUSIC ,slash,1.23495,JB,1,2021-02-26_13h55.08.949,DelayedExp,2020.1.3,60
SHALLOW,z,2.1351,JB,1,2021-02-26_13h55.08.950,DelayedExp,2020.1.3,60
LARGE,z,2.364895,JB,1,2021-02-26_13h55.08.951,DelayedExp,2020.1.3,60
DEAF,slash,3.015765,JB,1,2021-02-26_13h55.08.952,DelayedExp,2020.1.3,60
QUEEN,slash,0.831865,JB,1,2021-02-26_13h55.08.953,DelayedExp,2020.1.3,60
HELLO,z,0.94888,JB,1,2021-02-26_13h55.08.954,DelayedExp,2020.1.3,60
SMOKE,slash,0.81737,JB,1,2021-02-26_13h55.08.955,DelayedExp,2020.1.3,60
FENCE,slash,0.699075,JB,1,2021-02-26_13h55.08.956,DelayedExp,2020.1.3,60
SILK,z,0.832565,JB,1,2021-02-26_13h55.08.957,DelayedExp,2020.1.3,60
DEVIL,slash,0.68254,JB,1,2021-02-26_13h55.08.958,DelayedExp,2020.1.3,60
KNIFE,z,3.386095,JB,1,2021-02-26_13h55.08.959,DelayedExp,2020.1.3,60
TEETH,slash,1.115535,JB,1,2021-02-26_13h55.08.960,DelayedExp,2020.1.3,60
CRACKER,slash,1.16829,JB,1,2021-02-26_13h55.08.961,DelayedExp,2020.1.3,60
PICKLE,slash,0.617855,JB,1,2021-02-26_13h55.08.962,DelayedExp,2020.1.3,60
LOVE,slash,2.11519,JB,1,2021-02-26_13h55.08.963,DelayedExp,2020.1.3,60
SICK,slash,1.898405,JB,1,2021-02-26_13h55.08.964,DelayedExp,2020.1.3,60
STAIRS,slash,1.065545,JB,1,2021-02-26_13h55.08.965,DelayedExp,2020.1.3,60
CORAL,slash,1.148575,JB,1,2021-02-26_13h55.08.966,DelayedExp,2020.1.3,60
CLOSE,slash,0.84958,JB,1,2021-02-26_13h55.08.967,DelayedExp,2020.1.3,60
THERE,slash,0.96563,JB,1,2021-02-26_13h55.08.968,DelayedExp,2020.1.3,60
BALL ,slash,1.351515,JB,1,2021-02-26_13h55.08.969,DelayedExp,2020.1.3,60
JAIL,slash,2.331635,JB,1,2021-02-26_13h55.08.970,DelayedExp,2020.1.3,60
HATE,z,1.03279,JB,1,2021-02-26_13h55.08.971,DelayedExp,2020.1.3,60
YELLOW,slash,1.398465,JB,1,2021-02-26_13h55.08.972,DelayedExp,2020.1.3,60
ROSE,slash,2.38468,JB,1,2021-02-26_13h55.08.973,DelayedExp,2020.1.3,60
PIECE,slash,2.732375,JB,1,2021-02-26_13h55.08.974,DelayedExp,2020.1.3,60
WARM,z,1.48195,JB,1,2021-02-26_13h55.08.975,DelayedExp,2020.1.3,60
KILL,z,1.265645,JB,1,2021-02-26_13h55.08.976,DelayedExp,2020.1.3,60
READ,z,1.71542,JB,1,2021-02-26_13h55.08.977,DelayedExp,2020.1.3,60
RULE,z,3.565765,JB,1,2021-02-26_13h55.08.978,DelayedExp,2020.1.3,60
STREET,z,2.466565,JB,1,2021-02-26_13h55.08.979,DelayedExp,2020.1.3,60
VOTE,,,JB,1,2021-02-26_13h55.08.980,DelayedExp,2020.1.3,60
NUMBER,slash,2.817405,JB,1,2021-02-26_13h55.08.981,DelayedExp,2020.1.3,60
UNCLEAR,z,0.86519,JB,1,2021-02-26_13h55.08.982,DelayedExp,2020.1.3,60
BREAD,slash,1.348955,JB,1,2021-02-26_13h55.08.983,DelayedExp,2020.1.3,60
ALLOW,z,1.782205,JB,1,2021-02-26_13h55.08.984,DelayedExp,2020.1.3,60
LESS,z,2.765885,JB,1,2021-02-26_13h55.08.985,DelayedExp,2020.1.3,60
LEAVES,slash,1.21531,JB,1,2021-02-26_13h55.08.986,DelayedExp,2020.1.3,60
TRAILER,z,0.91553,JB,1,2021-02-26_13h55.08.987,DelayedExp,2020.1.3,60
MAID,z,1.28245,JB,1,2021-02-26_13h55.08.988,DelayedExp,2020.1.3,60
BUCKET,slash,2.11428,JB,1,2021-02-26_13h55.08.989,DelayedExp,2020.1.3,60
COPY,z,1.600625,JB,1,2021-02-26_13h55.08.990,DelayedExp,2020.1.3,60
DOCTOR,z,2.299955,JB,1,2021-02-26_13h55.08.991,DelayedExp,2020.1.3,60
TAKE,z,2.066415,JB,1,2021-02-26_13h55.08.992,DelayedExp,2020.1.3,60
GLORY,z,1.68181,JB,1,2021-02-26_13h55.08.993,DelayedExp,2020.1.3,60
PRIDE,slash,0.748425,JB,1,2021-02-26_13h55.08.994,DelayedExp,2020.1.3,60
CLIMB,slash,1.4488,JB,1,2021-02-26_13h55.08.995,DelayedExp,2020.1.3,60
MOST,z,2.96507,JB,1,2021-02-26_13h55.08.996,DelayedExp,2020.1.3,60
ARGUE,slash,0.882015,JB,1,2021-02-26_13h55.08.997,DelayedExp,2020.1.3,60
FLOWER,slash,2.265575,JB,1,2021-02-26_13h55.08.998,DelayedExp,2020.1.3,60
FINGER,slash,1.28435,JB,1,2021-02-26_13h55.08.999,DelayedExp,2020.1.3,60
