"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"JC2",1,"2021-04-04_14h40.54.642","L1.1ConstantTotalFinal","2020.1.3",60,"STARS",5653.63,"firstword","firstword",NA,1,1,21,"Studied",NA,NA
"JC2",1,"2021-04-04_11h35.04.411","L1.1ConstantTotalFinal","2020.1.3",60,"FROG",1305.545,"FROG","Identical",116.42,2,1,31,"Studied","Identical",NA
"JC2",1,"2021-04-04_11h35.04.412","L1.1ConstantTotalFinal","2020.1.3",60,"LAND",1317.025,"KISS","Identical",118.1300001,3,1,42,"Studied",NA,NA
"JC2",1,"2021-04-04_11h35.04.413","L1.1ConstantTotalFinal","2020.1.3",60,"CAMP",3420.6,"TENT","Related",117.32,4,1,5,"Studied",NA,"CAMP"
"JC2",1,"2021-04-04_11h35.04.414","L1.1ConstantTotalFinal","2020.1.3",60,"LEARN",1275.21,"WATER","Unrelated",115.9549999,5,1,20,"Studied",NA,NA
"JC2",1,"2021-04-04_11h35.04.415","L1.1ConstantTotalFinal","2020.1.3",60,"TRAIN",1486.125,"KILL","Identical",116.9,6,1,1,"Studied",NA,NA
"JC2",1,"2021-04-04_11h35.04.416","L1.1ConstantTotalFinal","2020.1.3",60,"DEVIL",1242.475,"SOIL","Related",116.8699999,7,1,2,"Studied",NA,"DIRT"
"JC2",1,"2021-04-04_11h35.04.417","L1.1ConstantTotalFinal","2020.1.3",60,"SHOES",1804.52,"GARBAGE","Related",117.025,8,1,6,"Studied",NA,"TRASH"
"JC2",1,"2021-04-04_11h35.04.418","L1.1ConstantTotalFinal","2020.1.3",60,"DIRT",985.5,"SLEEP","Unrelated",115.355,9,1,19,"Studied",NA,NA
"JC2",1,"2021-04-04_11h35.04.419","L1.1ConstantTotalFinal","2020.1.3",60,"KILL",7989.59,"GIFT","Related",115.955,10,1,24,"Studied","Identical","PRESENT"
"JC2",1,"2021-04-04_11h35.04.420","L1.1ConstantTotalFinal","2020.1.3",60,"SWAMP",1433.775,"SMALL","Unrelated",117.1499999,11,1,18,"Studied",NA,NA
