"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"FOUND","slash",2.058975,"KB",1,"2021-03-06_16h02.59.566","DelayedExp","2020.1.3",60,"Studied",33,3,NA,"Unrelated","POTATO",NA,NA,"9,15","4","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"DOOR","slash",1.525215,"KB",1,"2021-03-06_14h34.40.553","DelayedExp","2020.1.3",60,"Studied",1,1,NA,"Unrelated","WATER",NA,NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"WANT","z",1.10692,"KB",1,"2021-03-06_14h34.40.554","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MEAN","z",1.35451,"KB",1,"2021-03-06_14h34.40.555","DelayedExp","2020.1.3",60,"Studied",42,3,NA,"Unrelated","SLIDE",NA,NA,"2",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"ALIVE","slash",1.4101,"KB",1,"2021-03-06_14h34.40.556","DelayedExp","2020.1.3",60,"Studied",6,2,"Identical","Identical","ALIVE",NA,NA,"38",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"BELL","z",1.4021,"KB",1,"2021-03-06_14h34.40.557","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TRASH","slash",1.387865,"KB",1,"2021-03-06_14h34.40.558","DelayedExp","2020.1.3",60,"Studied",37,1,NA,"Related","NORTH","SOUTH",NA,"7",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"WATER","z",1.258035,"KB",1,"2021-03-06_14h34.40.559","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BALLET","z",1.20494,"KB",1,"2021-03-06_14h34.40.560","DelayedExp","2020.1.3",60,"Studied",27,2,NA,NA,NA,NA,"TUTU",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"STRIPE","z",1.036995,"KB",1,"2021-03-06_14h34.40.561","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
