Participant,Prime,Prime_Duration,rt,Response
KM,WIND,106.1199999,2070.315,HANDS
KM,RESUME,117.145,1728.945,RESUME
KM,FLAK,124.875,1552.7,FLASK
KM,CORNER,116.81,1744.04,CORNER
KM,PULL,122.6950001,1275.515,PULL
KM,PIAZZA,203.1,1384.14,PIZZA
KM,LEND,125.825,1029.455,LEND
KM,TRIVIA,124.7050001,1376.695,TRIVIA
KM,ERUPT,125.64,1551.385,ERUPT
KM,FAUNA,116.4199999,1011.15,TUNA
KM,FREAK,116.9750001,1507.72,FREAK
KM,TOTALLY,126.465,1917.83,TOTALLY
KM,VODKA,118.3499999,1508.18,VODKA
KM,SPUN,116.9499999,1524.83,SPUN
KM,REACTOR,116.1549999,1490.24,REACT
KM,UNEASY,117.35,1968.625,UNEASY
KM,STARK,116.9750001,2969.98,STRAK
KM,MIDLAND,127.905,1852.965,OMIT
KM,CHEER,117.2150001,1485.65,CHEER
KM,CLAW,117.1899999,1020.81,LAW
KM,KEEP,123.2299998,1626.89,KEEP
KM,SUIT,118.1399999,1491.27,SUIT
KM,CEASE,117.7050001,1635.555,CEASE
KM,MORAL,117.2150001,1876.82,MORAL
KM,PEEP,124.23,1392.265,BEEP
KM,SPAN,116.56,383.6649999,XXXXX
KM,MEET,119.5499999,1172.125,MEET
KM,FOREST,117.1800001,1914.235,FOREST
KM,MUZZLE,117.78,1755.26,MUZZLE
KM,SNAP,117.5500001,1402.25,SNAP
KM,DAMAGE,118.0799999,2201.81,DAMAGE
KM,VOID,124.8949999,997.25,VOID
KM,CHEAT,116.345,1812.07,CHEAT
KM,EFFIGY,124.6249999,372.8149999,XXXXX
KM,SHAVE,116.9650001,1226.83,SHAVE
KM,OPTION,119.4450001,2109.755,OPINION
KM,TRAITOR,124.78,1874.37,TRAITOR
KM,SPUNK,129.53,1601.855,SPUNK
KM,LYNX,116.3699999,1113.895,LYNX
KM,HOSTEL,116.19,2052.865,HOSTEL
