RecalledWord,StudyPosition,Block
ENTER,1,1
TIGER,2,1
OFFICE,3,1
DOLLAR,4,1
ROCK,5,1
CLOCK,6,1
EARLY,7,1
LEAVES,8,1
GIRLS,9,1
LEMON,10,1
WHERE,11,1
FENCE,12,1
QUART,13,1
THROW,14,1
BEHIND,15,1
SHARK,16,1
CANCER,17,1
MINUTE,18,1
FOUND,19,1
MINUS,20,1
SHOVE,21,1
WORST,22,1
CORAL,23,1
BEFORE,24,1
PHONE,25,1
CLOSE,26,1
YOURS,27,1
TEETH,28,1
SPOON,29,1
GRASS,30,1
MUSCLE,31,1
HORSE,32,1
THERE,33,1
SHORT,34,1
FINGER,35,1
WHOLE,36,1
QUEEN,37,1
ANIMAL,38,1
PEPPER,39,1
UNCLE,40,1
MEAN,41,1
PLANT,42,1
WEIGHT,1,2
SHEETS,2,2
WEST,3,2
DAGGER,4,2
JAIL,5,2
EGGS,6,2
LAWYER,7,2
SONG,8,2
GROSS,9,2
RIGHT,10,2
ORANGE,11,2
STOP,12,2
SELLER,13,2
WORK,14,2
STORY,15,2
GLORY,16,2
MONEY,17,2
NICKEL,18,2
BOMB,19,2
LENGTH,20,2
GUITAR,21,2
FLOWER,22,2
BEACH,23,2
NEPHEW,24,2
CRACKER,25,2
STAIRS,26,2
STREAM,27,2
NUMBER,28,2
TWELVE,29,2
PICKLE,30,2
SMOOTH,31,2
DREAM,32,2
CHANGE,33,2
BIRD,34,2
FRIGHT,35,2
YELLOW,36,2
OUTTAKE,37,2
CHEESE,38,2
FISH,39,2
CLAM,40,2
HORN,41,2
CHAIR,42,2
BELOW,1,3
GHOST,2,3
CAMP,3,3
LAKE,4,3
KILL,5,3
SMOKE,6,3
TIGHT,7,3
HOOP,8,3
MINOR,9,3
ROAD,10,3
SOUTH,11,3
BRIDE,12,3
STARS,13,3
PICTURE,14,3
LAND,15,3
SORRY,16,3
HOTEL,17,3
WORLD,18,3
POUND,19,3
DOOR,20,3
JUMP,21,3
WHEAT,22,3
FIVE,23,3
LEARN,24,3
SHOES,25,3
SMILE,26,3
SWEET,27,3
GEEK,28,3
THIEF,29,3
DEVIL,30,3
TRAIN,31,3
FROG,32,3
DIRT,33,3
SWAMP,34,3
NOISE,35,3
BLACK,36,3
KISS,37,3
TRASH,38,3
DUSK,39,3
DEAF,40,3
STOMACH,41,3
PRESENT,42,3
MOST,1,4
SQUARE,2,4
NAVY,3,4
PURPLE,4,4
WILD,5,4
SUPPER,6,4
FIRST,7,4
LESS,8,4
CANDLE,9,4
WAITER,10,4
TEST,11,4
BUCKET,12,4
VERB,13,4
STATES,14,4
BUTTER,15,4
TOUR,16,4
MOTHER,17,4
TENNIS,18,4
READ,19,4
ARGUE,20,4
NEWS,21,4
MIDDLE,22,4
THREAD,23,4
KIDNAP,24,4
LOOK,25,4
TOES,26,4
THIRST,27,4
INHALE,28,4
CLUE,29,4
CHAIN,30,4
BRANCH,31,4
BORROW,32,4
BALLET,33,4
WINTER,34,4
PAIN,35,4
SEEK,36,4
SPIDER,37,4
SOAP,38,4
ALIVE,39,4
NOSE,40,4
SLOW,41,4
HUNGER,42,4
