"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"SWAMP",2783.79,"Studied",1,1,NA,"1","firstword","firstword",NA,NA
"SOIL",1665.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAND",3699.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FINGERS",1832.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOES",1433.14,"Studied",25,2,NA,"33","Unrelated","NONE",NA,NA
"SPACE",1283.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUARE",1850.45,"Studied",12,2,NA,"3","Unrelated","SING",NA,NA
"ROAD",3501.165,"Studied",8,1,"Identical","14","Identical","ROAD",NA,NA
"CAR",3270.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEVIL",3316.84,"Studied",24,1,NA,"19","Related","TENT","CAMP",NA
"KIDNAP",3683.855,"Studied",13,2,"Identical","35","Identical","KIDNAP",NA,NA
"NAVY",2032.695,"Studied",33,2,NA,"8","Identical","PAIN",NA,NA
"RUN",6273.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RING",5133.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATCH",3218.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMBRELLA",7650.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAS",2281.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAT",3185.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACK",7833.94,"Studied",2,1,NA,"3","Related","TEACH","LEARN",NA
"WHITE",1566.915,NA,NA,NA,NA,"12","Unrelated","GRAVE",NA,NA
"CRACKER",1483.455,"Studied",29,4,"Identical","11","Identical","CRACKER",NA,NA
"LAND",4451.665,"Studied",3,1,NA,"27","Unrelated","WANT",NA,"ACRE"
"THROUGH",3000.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNIFE",4969.855,NA,NA,NA,"Unrelated","23","Unrelated","KNIFE",NA,NA
"TOUCH",4367.09,NA,NA,NA,"Unrelated","21","Unrelated","TOUCH",NA,NA
"PICK",3582.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMOOTH",4533.035,"Studied",7,4,"Identical",NA,NA,NA,NA,NA
"PAVEMENT",6934.775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASH",5309.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHOST",3118.915,"Studied",23,1,"Identical","29","Related","SKIP","JUMP",NA
"SOUL",6667.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLASH",7900.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
