"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"SOAP","slash",2.50963,"NC",1,"2021-04-03_16h37.52.825","DelayedExp","2020.1.3",60,"Studied",42,3,NA,"firstword","firstword",NA,NA,"1",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
"MOTHER","slash",1.06114,"NC",1,"2021-04-03_12h19.02.063","DelayedExp","2020.1.3",60,"Studied",10,3,"Identical","Identical","MOTHER",NA,NA,"33",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"ROAD","z",0.91808,"NC",1,"2021-04-03_12h19.02.064","DelayedExp","2020.1.3",60,"Studied",22,2,NA,NA,NA,NA,"HIGHWAY",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"STAIRS","slash",0.667605,"NC",1,"2021-04-03_12h19.02.065","DelayedExp","2020.1.3",60,"Studied",20,1,"Identical","Identical","STAIRS",NA,NA,"41,22",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"VOTE","slash",1.3996,"NC",1,"2021-04-03_12h19.02.066","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"NOISE","z",0.199745,"NC",1,"2021-04-03_12h19.02.067","DelayedExp","2020.1.3",60,"Studied",37,2,"Identical","Identical","NOISE",NA,NA,"20",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"TIGHT","z",1.465425,"NC",1,"2021-04-03_12h19.02.068","DelayedExp","2020.1.3",60,"Studied",9,2,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"BREAD","z",1.3602,"NC",1,"2021-04-03_12h19.02.069","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PURPOSE","z",0.828735,"NC",1,"2021-04-03_12h19.02.070","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"LEARN","slash",1.247455,"NC",1,"2021-04-03_12h19.02.071","DelayedExp","2020.1.3",60,"Studied",30,2,NA,"Related","TEACH","LEARN","TEACH","38",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"TOES","slash",0.630795,"NC",1,"2021-04-03_12h19.02.072","DelayedExp","2020.1.3",60,"Studied",3,3,NA,NA,NA,NA,"FEET",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CELL","z",0.981855,"NC",1,"2021-04-03_12h19.02.073","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DEATH","z",0.89708,"NC",1,"2021-04-03_12h19.02.074","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ENTER","z",0.66452,"NC",1,"2021-04-03_12h19.02.075","DelayedExp","2020.1.3",60,"Studied",20,4,NA,NA,NA,NA,"EXIT",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"ORANGE","slash",1.598135,"NC",1,"2021-04-03_12h19.02.076","DelayedExp","2020.1.3",60,"Studied",23,1,NA,NA,NA,NA,"PEEL",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"FRONT","z",1.297265,"NC",1,"2021-04-03_12h19.02.077","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","FRONT",NA,NA,"29",NA,"New","New",0,0,0,1,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
"WANT","z",1.0635,"NC",1,"2021-04-03_12h19.02.078","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CARD","z",0.848295,"NC",1,"2021-04-03_12h19.02.079","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TENNIS","slash",0.58006,"NC",1,"2021-04-03_12h19.02.080","DelayedExp","2020.1.3",60,"Studied",27,3,NA,"Identical","PAIN",NA,NA,"3","3","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"CHURCH","z",1.015145,"NC",1,"2021-04-03_12h19.02.081","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"DIRT","slash",1.24787,"NC",1,"2021-04-03_12h19.02.082","DelayedExp","2020.1.3",60,"Studied",23,2,NA,NA,NA,NA,"SOIL",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"JEANS","z",0.81546,"NC",1,"2021-04-03_12h19.02.083","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
