RecalledWord,StudyPosition,Block
BIRD,1,1
BEACH,2,1
NUMBER,3,1
NEPHEW,4,1
CHEESE,5,1
WEST,6,1
STORY,7,1
FLOWER,8,1
FISH,9,1
JAIL,10,1
CHAIR,11,1
YELLOW,12,1
OUTTAKE,13,1
EGGS,14,1
SHEETS,15,1
PICKLE,16,1
RIGHT,17,1
HORN,18,1
STOP,19,1
WORK,20,1
WEIGHT,21,1
CRACKER,22,1
CLAM,23,1
GLORY,24,1
TWELVE,25,1
NICKEL,26,1
DREAM,27,1
SONG,28,1
GUITAR,29,1
SMOOTH,30,1
STREAM,31,1
MONEY,32,1
LAWYER,33,1
GROSS,34,1
LENGTH,35,1
ORANGE,36,1
DAGGER,37,1
FRIGHT,38,1
STAIRS,39,1
BOMB,40,1
CHANGE,41,1
SELLER,42,1
BELOW,1,2
LEARN,2,2
SORRY,3,2
PICTURE,4,2
FIVE,5,2
HOTEL,6,2
CAMP,7,2
DEVIL,8,2
FROG,9,2
STARS,10,2
BRIDE,11,2
SOUTH,12,2
SWAMP,13,2
MINOR,14,2
SMILE,15,2
KISS,16,2
HOOP,17,2
DEAF,18,2
KILL,19,2
SWEET,20,2
SHOES,21,2
DIRT,22,2
GHOST,23,2
DUSK,24,2
ROAD,25,2
THIEF,26,2
PRESENT,27,2
WORLD,28,2
LAND,29,2
TRASH,30,2
LAKE,31,2
JUMP,32,2
GEEK,33,2
WHEAT,34,2
POUND,35,2
TRAIN,36,2
STOMACH,37,2
SMOKE,38,2
NOISE,39,2
BLACK,40,2
TIGHT,41,2
DOOR,42,2
TENNIS,1,3
BUTTER,2,3
VERB,3,3
PURPLE,4,3
CHAIN,5,3
READ,6,3
BORROW,7,3
SQUARE,8,3
TOUR,9,3
SEEK,10,3
PAIN,11,3
SLOW,12,3
ALIVE,13,3
BRANCH,14,3
NEWS,15,3
SPIDER,16,3
MOTHER,17,3
WILD,18,3
MOST,19,3
SOAP,20,3
LOOK,21,3
THREAD,22,3
TEST,23,3
WAITER,24,3
NOSE,25,3
CANDLE,26,3
SUPPER,27,3
THIRST,28,3
LESS,29,3
KIDNAP,30,3
STATES,31,3
CLUE,32,3
NAVY,33,3
BALLET,34,3
MIDDLE,35,3
ARGUE,36,3
TOES,37,3
HUNGER,38,3
FIRST,39,3
BUCKET,40,3
WINTER,41,3
INHALE,42,3
CLOSE,1,4
GIRLS,2,4
HORSE,3,4
MINUS,4,4
WORST,5,4
THERE,6,4
PLANT,7,4
GRASS,8,4
ANIMAL,9,4
THROW,10,4
CORAL,11,4
CANCER,12,4
PHONE,13,4
BEHIND,14,4
SHORT,15,4
LEMON,16,4
MINUTE,17,4
TEETH,18,4
BEFORE,19,4
WHOLE,20,4
QUEEN,21,4
QUART,22,4
TIGER,23,4
UNCLE,24,4
SHARK,25,4
DOLLAR,26,4
EARLY,27,4
ENTER,28,4
FINGER,29,4
OFFICE,30,4
SHOVE,31,4
SPOON,32,4
MUSCLE,33,4
WHERE,34,4
CLOCK,35,4
FOUND,36,4
PEPPER,37,4
LEAVES,38,4
YOURS,39,4
ROCK,40,4
FENCE,41,4
MEAN,42,4
