RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
BORROW,z,2.27732,RK,1,2021-02-26_14h00.09.217,DelayedExp,2020.1.3,60
COPY,z,1.835325,RK,1,2021-02-26_14h00.09.218,DelayedExp,2020.1.3,60
BUCKET,z,0.842435,RK,1,2021-02-26_14h00.09.219,DelayedExp,2020.1.3,60
DESERT,slash,0.781965,RK,1,2021-02-26_14h00.09.220,DelayedExp,2020.1.3,60
SHERIFF,slash,0.950555,RK,1,2021-02-26_14h00.09.221,DelayedExp,2020.1.3,60
STAMP,z,0.741105,RK,1,2021-02-26_14h00.09.222,DelayedExp,2020.1.3,60
DRAW,z,0.63875,RK,1,2021-02-26_14h00.09.223,DelayedExp,2020.1.3,60
SWEET,slash,0.784975,RK,1,2021-02-26_14h00.09.224,DelayedExp,2020.1.3,60
BEACH,z,0.80348,RK,1,2021-02-26_14h00.09.225,DelayedExp,2020.1.3,60
MONEY,z,0.80122,RK,1,2021-02-26_14h00.09.226,DelayedExp,2020.1.3,60
BRIDE,z,0.655825,RK,1,2021-02-26_14h00.09.227,DelayedExp,2020.1.3,60
MOVE,z,0.65039,RK,1,2021-02-26_14h00.09.228,DelayedExp,2020.1.3,60
STEAL,z,0.749485,RK,1,2021-02-26_14h00.09.229,DelayedExp,2020.1.3,60
PRESENT,z,0.637685,RK,1,2021-02-26_14h00.09.230,DelayedExp,2020.1.3,60
JACKET,z,0.6863,RK,1,2021-02-26_14h00.09.231,DelayedExp,2020.1.3,60
YOUNG,z,0.616155,RK,1,2021-02-26_14h00.09.232,DelayedExp,2020.1.3,60
PACKAGE,z,0.907505,RK,1,2021-02-26_14h00.09.233,DelayedExp,2020.1.3,60
ROAD,z,0.76841,RK,1,2021-02-26_14h00.09.234,DelayedExp,2020.1.3,60
NEWS,z,0.703185,RK,1,2021-02-26_14h00.09.235,DelayedExp,2020.1.3,60
SPOTS,z,0.70024,RK,1,2021-02-26_14h00.09.236,DelayedExp,2020.1.3,60
QUEEN,z,1.11389,RK,1,2021-02-26_14h00.09.237,DelayedExp,2020.1.3,60
LOOK,z,0.550685,RK,1,2021-02-26_14h00.09.238,DelayedExp,2020.1.3,60
EXACT,z,0.848215,RK,1,2021-02-26_14h00.09.239,DelayedExp,2020.1.3,60
SHOES,z,0.654625,RK,1,2021-02-26_14h00.09.240,DelayedExp,2020.1.3,60
MIDDLE,slash,0.9351,RK,1,2021-02-26_14h00.09.241,DelayedExp,2020.1.3,60
THREAD,slash,0.73557,RK,1,2021-02-26_14h00.09.242,DelayedExp,2020.1.3,60
PEPPER,z,0.703875,RK,1,2021-02-26_14h00.09.243,DelayedExp,2020.1.3,60
FOOD,slash,0.76965,RK,1,2021-02-26_14h00.09.244,DelayedExp,2020.1.3,60
KIDNAP,z,0.68577,RK,1,2021-02-26_14h00.09.245,DelayedExp,2020.1.3,60
TOCK,z,0.644585,RK,1,2021-02-26_14h00.09.246,DelayedExp,2020.1.3,60
MINOR,slash,0.817005,RK,1,2021-02-26_14h00.09.247,DelayedExp,2020.1.3,60
HUNGER,slash,0.767325,RK,1,2021-02-26_14h00.09.248,DelayedExp,2020.1.3,60
SILK,z,0.68193,RK,1,2021-02-26_14h00.09.249,DelayedExp,2020.1.3,60
ANNOY,z,0.55635,RK,1,2021-02-26_14h00.09.250,DelayedExp,2020.1.3,60
YOURS,z,0.51631,RK,1,2021-02-26_14h00.09.251,DelayedExp,2020.1.3,60
BUTTER,slash,0.89179,RK,1,2021-02-26_14h00.09.252,DelayedExp,2020.1.3,60
FINGER,z,1.385235,RK,1,2021-02-26_14h00.09.253,DelayedExp,2020.1.3,60
CORAL,slash,0.804495,RK,1,2021-02-26_14h00.09.254,DelayedExp,2020.1.3,60
NOISE,slash,0.92076,RK,1,2021-02-26_14h00.09.255,DelayedExp,2020.1.3,60
SHARK,z,0.808605,RK,1,2021-02-26_14h00.09.256,DelayedExp,2020.1.3,60
QUIET,slash,1.188755,RK,1,2021-02-26_14h00.09.257,DelayedExp,2020.1.3,60
CRACKER,z,0.703355,RK,1,2021-02-26_14h00.09.258,DelayedExp,2020.1.3,60
SHOVE,slash,1.30714,RK,1,2021-02-26_14h00.09.259,DelayedExp,2020.1.3,60
PIECE,slash,0.85219,RK,1,2021-02-26_14h00.09.260,DelayedExp,2020.1.3,60
GLASSES,z,0.768915,RK,1,2021-02-26_14h00.09.261,DelayedExp,2020.1.3,60
BEHIND,z,0.55661,RK,1,2021-02-26_14h00.09.262,DelayedExp,2020.1.3,60
CHOOSE,z,0.725085,RK,1,2021-02-26_14h00.09.263,DelayedExp,2020.1.3,60
HORN,z,0.53338,RK,1,2021-02-26_14h00.09.264,DelayedExp,2020.1.3,60
EXCUSE,z,0.620495,RK,1,2021-02-26_14h00.09.265,DelayedExp,2020.1.3,60
GROSS,z,0.5046,RK,1,2021-02-26_14h00.09.266,DelayedExp,2020.1.3,60
NAVY,z,0.533365,RK,1,2021-02-26_14h00.09.267,DelayedExp,2020.1.3,60
CHANGE,z,0.568295,RK,1,2021-02-26_14h00.09.268,DelayedExp,2020.1.3,60
RENT,z,0.621475,RK,1,2021-02-26_14h00.09.269,DelayedExp,2020.1.3,60
MINUS,slash,1.04526,RK,1,2021-02-26_14h00.09.270,DelayedExp,2020.1.3,60
TREE,z,0.7672,RK,1,2021-02-26_14h00.09.271,DelayedExp,2020.1.3,60
ALLOW,z,0.55031,RK,1,2021-02-26_14h00.09.272,DelayedExp,2020.1.3,60
CLOSE,z,0.58784,RK,1,2021-02-26_14h00.09.273,DelayedExp,2020.1.3,60
STAIRS,z,0.818385,RK,1,2021-02-26_14h00.09.274,DelayedExp,2020.1.3,60
NOSE,z,1.069315,RK,1,2021-02-26_14h00.09.275,DelayedExp,2020.1.3,60
ENGLISH,z,1.285775,RK,1,2021-02-26_14h00.09.276,DelayedExp,2020.1.3,60
MOST,z,0.518165,RK,1,2021-02-26_14h00.09.277,DelayedExp,2020.1.3,60
STUPID,z,0.602415,RK,1,2021-02-26_14h00.09.278,DelayedExp,2020.1.3,60
ITCH,z,0.533145,RK,1,2021-02-26_14h00.09.279,DelayedExp,2020.1.3,60
HOTEL,z,0.50074,RK,1,2021-02-26_14h00.09.280,DelayedExp,2020.1.3,60
LENGTH,z,0.453405,RK,1,2021-02-26_14h00.09.281,DelayedExp,2020.1.3,60
UNCLEAR,z,0.56951,RK,1,2021-02-26_14h00.09.282,DelayedExp,2020.1.3,60
SMART,z,0.44263,RK,1,2021-02-26_14h00.09.283,DelayedExp,2020.1.3,60
LAWYER,slash,0.71469,RK,1,2021-02-26_14h00.09.284,DelayedExp,2020.1.3,60
SING,z,1.000685,RK,1,2021-02-26_14h00.09.285,DelayedExp,2020.1.3,60
THERE,slash,1.790635,RK,1,2021-02-26_14h00.09.286,DelayedExp,2020.1.3,60
WHEAT,z,0.800995,RK,1,2021-02-26_14h00.09.287,DelayedExp,2020.1.3,60
FROG,z,0.63283,RK,1,2021-02-26_14h00.09.288,DelayedExp,2020.1.3,60
STARS,z,1.020685,RK,1,2021-02-26_14h00.09.289,DelayedExp,2020.1.3,60
SNEEZE,,,RK,1,2021-02-26_14h00.09.290,DelayedExp,2020.1.3,60
BOSS,z,0.9675,RK,1,2021-02-26_14h00.09.291,DelayedExp,2020.1.3,60
STRIPE,z,0.68245,RK,1,2021-02-26_14h00.09.292,DelayedExp,2020.1.3,60
NICKEL,slash,0.77027,RK,1,2021-02-26_14h00.09.293,DelayedExp,2020.1.3,60
PENCIL,slash,0.78947,RK,1,2021-02-26_14h00.09.294,DelayedExp,2020.1.3,60
NECK,z,0.702265,RK,1,2021-02-26_14h00.09.295,DelayedExp,2020.1.3,60
PHONE,slash,0.670335,RK,1,2021-02-26_14h00.09.296,DelayedExp,2020.1.3,60
WANT,z,0.616105,RK,1,2021-02-26_14h00.09.297,DelayedExp,2020.1.3,60
STORY,z,0.63635,RK,1,2021-02-26_14h00.09.298,DelayedExp,2020.1.3,60
VERB,slash,0.954605,RK,1,2021-02-26_14h00.09.299,DelayedExp,2020.1.3,60
STRESS,slash,0.576765,RK,1,2021-02-26_14h00.09.300,DelayedExp,2020.1.3,60
JAIL,z,0.75109,RK,1,2021-02-26_14h00.09.301,DelayedExp,2020.1.3,60
LAUGH,z,2.143065,RK,1,2021-02-26_14h00.09.302,DelayedExp,2020.1.3,60
MUSIC ,slash,0.6667,RK,1,2021-02-26_14h00.09.303,DelayedExp,2020.1.3,60
CASTLE,slash,0.86694,RK,1,2021-02-26_14h00.09.304,DelayedExp,2020.1.3,60
