DelayedWord,DelayedRT
KILL,3921.865
ALIVE,1499.45
LEAVES,1766.36
GRASS,1633.61
BUCKET,1549.68
YELLOW,1699.645
SMOOTH,1583.455
BEACH,1415.99
TWELVE,1500.54
FIVE,1400.075
FROG,2066.48
JUMP,2785.62
HOOP,1534.76
QUART,4300.845
PEPPER,1483.355
SPOON,1633.985
SMILE,3167.35
HAPPY,2022.295
XXXXX,8000.345
RIVER,6951.1
BIRD,4083.26
SHORT,2982.175
UNCLE,1517.07
FINGER,1464.94
BEHIND,1450.965
OFFICE,1567.375
MINUTE,4401.025
TIME,1033.895
DOLLAR,1149.83
LENGTH,2333.555
XXXXX,8003.665
MONEY,6139.94
XXXXX,7999.405
BUILD,7086.385
FIND,7334.225
LOOK,1515.73
SEARCH,1566.185
NAVY,1449.64
XXXXX,8000.17
SHO,8001.125
SHOE,2332.85
XXXXX,8000.86
PAPER,5650.07
GROW,1891.86
PLANT,1349.695
CORAL,4216.15
CANCE,2283.905
CANCER,1402.355
EARLY,6985.04
TIGER,7999.31
ANIMAL,1635.69
SHARK,1298.755
XXXXX,8002.78
ADD,4425.675
HOME,6318.96
FLOWER,4253.45
MOTHER,1469.075
XXXXX,8000.335
MOTIVATE,6615.705
CAR,6466.64
XXXXX,7994.175
XXXXX,8000.025
XXXXX,7989.23
WORD,4629.175
XXXXX,8014.375
CHAIN,3484.735
BRANCH,2299.255
ROPE,7533.22
XXXXX,4199.99
TOE,5842.03
XXXXX,8000.69
RIGHT,2111.465
XXXXX,7999.43
WATER,1289.76
XXXXX,8001.73
BLUE,3865.935
DAGGER,4551.345
FUNERAL,7082.965
XXXXX,8000.53
SONG,4034.92
SOUL,8002.81
PILE,1801.495
BODY,6334.12
XXXXX,8000.265
XXXXX,8000.27
XXXXX,8000.22
SAD,3299.225
XXXXX,7999.97
COST,6532.965
XXXXX,8003.575
XXXXX,8001.09
XXXXX,7999.27
PAIN,1283.85
COUR,8001.86
LAND,3939.865
XXXXX,7999.255
XXXXX,8001.54
XXXXX,8000.95
CALL,7995.33
PHONE,4576.575
