Participant,Prime,Prime_Duration,rt,Response
VC,TRIVIA,115.9600001,3146.465,TRIVIA
VC,FLAK,122.735,4462.07,TRIVIA
VC,HOSTEL,116.0200001,1636.09,HOSTEL
VC,REACTOR,116.18,2183.235,REACTOR
VC,PULL,114.485,1546.255,PULL
VC,MEET,116.625,1350.6,MEET
VC,CORNER,117.17,1592.975,CORNER
VC,SPUN,118.96,963.2,SPUN
VC,WIND,116.35,774.3,WIND
VC,CHEER,122.37,1840.365,CHEER
VC,TOTALLY,116.24,1539.71,TOTALLY
VC,ERUPT,116.72,968.5,ERUPT
VC,UNEASY,117.05,1797.42,UNSEASY
VC,KEEP,117.7300001,1032.745,KEEP
VC,PIAZZA,115.495,1769.6,PIZZA
VC,CHEAT,121.26,1200.57,CHEAT
VC,MUZZLE,117.4549999,1238,MUZZLE
VC,EFFIGY,116.4099999,1500.625,EFFIGY
VC,LYNX,118.7250001,1134.12,LYNX
VC,SHAVE,122.17,1585.49,SHAVE
VC,FAUNA,116.3549999,1136.39,FAUNA
VC,SPUNK,116.5850001,774.615,XXXXX
VC,CEASE,116.24,1387.06,CEASE
VC,RESUME,114.7650001,1214.7,RESUME
VC,VOID,116.06,1013.26,VOID
VC,SUIT,115.11,756.7749999,SUIT
VC,VODKA,116.71,2565.005,VODKA
VC,OPTION,116.435,333.4,XXXXX
VC,STARK,116.79,1055,STARK
VC,MIDLAND,116.4450001,2167.995,MIDLAND
VC,MORAL,116.6900001,399.97,XXXXX
VC,CLAW,116.9700001,929.96,CLAW
VC,LEND,116.35,908.5550001,LEAF
VC,FREAK,116.455,966.7400001,FREAK
VC,PEEP,116.36,1137.2,DEEP
VC,SPAN,116.21,2029.08,SPAN
VC,FOREST,117.315,1612.34,FOREST
VC,DAMAGE,117.23,2737.51,DAMAGES
VC,SNAP,116.4950001,1182,SNAP
VC,TRAITOR,116.88,1562.105,TRAITOR
