"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"SLEEP","slash",1.642615,"WB",1,"2021-04-03_12h19.02.062","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"STRESS","z",1.26476,"WB",1,"2021-04-03_12h19.02.063","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ITCH","z",1.829965,"WB",1,"2021-04-03_12h19.02.064","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SUPPER","slash",1.312545,"WB",1,"2021-04-03_12h19.02.065","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,NA,NA,"DINNER",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"EXACT","slash",1.87823,"WB",1,"2021-04-03_12h19.02.066","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"HELLO","z",0.99489,"WB",1,"2021-04-03_12h19.02.067","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TREE","z",0.91579,"WB",1,"2021-04-03_12h19.02.068","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLASS","z",0.91616,"WB",1,"2021-04-03_12h19.02.069","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CHANGE","z",1.008465,"WB",1,"2021-04-03_12h19.02.070","DelayedExp","2020.1.3",60,"Studied",9,4,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SILVER","z",0.714555,"WB",1,"2021-04-03_12h19.02.071","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WINTER","slash",0.77899,"WB",1,"2021-04-03_12h19.02.072","DelayedExp","2020.1.3",60,"Studied",20,2,NA,"Related","SUMMER","WINTER","SUMMER","37",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"UNDER","z",0.982495,"WB",1,"2021-04-03_12h19.02.073","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ARMS","z",0.84831,"WB",1,"2021-04-03_12h19.02.074","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PICKLE","z",0.913295,"WB",1,"2021-04-03_12h19.02.075","DelayedExp","2020.1.3",60,"Studied",25,4,NA,NA,NA,NA,"DILL",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"THIEF","slash",0.71482,"WB",1,"2021-04-03_12h19.02.076","DelayedExp","2020.1.3",60,"Studied",30,1,NA,"Unrelated","WANT",NA,NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"MONEY","z",1.7977,"WB",1,"2021-04-03_12h19.02.077","DelayedExp","2020.1.3",60,"Studied",24,4,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"CLEAR","slash",0.832655,"WB",1,"2021-04-03_12h19.02.078","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"JEANS","z",1.064945,"WB",1,"2021-04-03_12h19.02.079","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PRIDE","z",0.732695,"WB",1,"2021-04-03_12h19.02.080","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DRUGS","slash",1.896855,"WB",1,"2021-04-03_12h19.02.081","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BALLET","z",0.91524,"WB",1,"2021-04-03_12h19.02.082","DelayedExp","2020.1.3",60,"Studied",23,2,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"PRESENT","slash",0.78158,"WB",1,"2021-04-03_12h19.02.083","DelayedExp","2020.1.3",60,"Studied",5,1,NA,"Unrelated","EFFECT",NA,"GIFT","11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Related"
"SMART","z",1.1643,"WB",1,"2021-04-03_12h19.02.084","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TRAILER","z",2.48173,"WB",1,"2021-04-03_12h19.02.085","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CORAL","slash",0.831305,"WB",1,"2021-04-03_12h19.02.086","DelayedExp","2020.1.3",60,"Studied",6,3,NA,"Unrelated","VOTE",NA,NA,"11","10","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"VOTE","z",0.80116,"WB",1,"2021-04-03_12h19.02.087","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CANDLE","z",0.89982,"WB",1,"2021-04-03_12h19.02.088","DelayedExp","2020.1.3",60,"Studied",25,2,NA,NA,NA,NA,"WICK",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"FAKE","z",0.931445,"WB",1,"2021-04-03_12h19.02.089","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"FOUND","z",0.86468,"WB",1,"2021-04-03_12h19.02.090","DelayedExp","2020.1.3",60,"Studied",9,3,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"WRITE","z",2.09911,"WB",1,"2021-04-03_12h19.02.091","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CHILD","z",1.367745,"WB",1,"2021-04-03_12h19.02.092","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ENTER","slash",0.99837,"WB",1,"2021-04-03_12h19.02.093","DelayedExp","2020.1.3",60,"Studied",11,3,"Identical","Identical","ENTER",NA,NA,"24",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"BANK","z",1.144675,"WB",1,"2021-04-03_12h19.02.094","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"THIN","z",0.799195,"WB",1,"2021-04-03_12h19.02.095","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TOES","slash",0.598845,"WB",1,"2021-04-03_12h19.02.096","DelayedExp","2020.1.3",60,"Studied",2,2,NA,"Unrelated","STREET",NA,NA,"2","1","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SHARK","slash",0.964935,"WB",1,"2021-04-03_12h19.02.097","DelayedExp","2020.1.3",60,"Studied",25,3,NA,"Unrelated","EXCUSE",NA,NA,"12",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SOAP","slash",1.063695,"WB",1,"2021-04-03_12h19.02.098","DelayedExp","2020.1.3",60,"Studied",40,2,NA,"Unrelated","FOOD",NA,NA,"8",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"EXPLODE","z",0.798225,"WB",1,"2021-04-03_12h19.02.099","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"HEAD","z",1.91502,"WB",1,"2021-04-03_12h19.02.100","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
