DelayedWord,DelayedRT
XXXXX,8005.66
STINK,8007.29
MATH,4952.44
CLASS,3318.12
XXXXX,8004.83
HATE,1466.675
SCISSORS,2265.775
STRIPE,2417.51
XXXXX,7991.56
XXXXX,7992.085
XXXXX,8006.3
XXXXX,8006.465
HARD,7020.285
SOFT,1533.68
LONG,2517.255
SHORT,1554.415
XXXXX,8004.505
XXXXX,7989.525
STICKY,4466.39
PANTS,5670.285
DRESS,4671.465
EXPLOSION,2773.9
EXPLODE,2784.965
XXXXX,7997.335
D,7993.755
DESTRUCTION,2301.11
CAR,903.3899999
DEATH,5155.925
XXXXX,8004.485
MORE,5809.32
FOOD,1116.92
XXXXX,7994.975
FRIENDS,6070.46
STREET,6070.13
BREAD,1600.155
XXXXX,7991.965
XXXXX,7991.935
XXXXX,8000.6
HEAD,2130.715
EAR,1056.28
HEAR,1468.155
XXXXX,7990.98
CAT,7990.215
XXXXX,7997.955
LONG,6910.44
BECAUSE,8004.245
XXXXX,7999.19
SORRY,1489.855
XXXXX,8008.71
U,8055.065
HUT,8003.835
XXXXX,7999.06
FAST,8005.37
WRONG,7991.385
XXXXX,8006.05
XXXXX,7990.665
XXXXX,8002.22
OVEN,7991.345
XXXXX,8006.08
XXXXX,8004.955
BEFORE,7990.245
AFTER,7989.665
XXXXX,8003.26
XXXXX,8000.21
COLD,8002.805
HOT,1096.385
WARM,1534.17
NINE,4551.82
XXXXX,8005.29
ME,5066.905
YOU,3771.155
XXXXX,8007.35
ARGUMENT,2300.01
FORGIVE,2500.55
XXXXX,8003.525
FRESH,8004.61
XXXXX,8005.865
XXXXX,7991.505
SPRINT,1915.505
RUN,985.41
JOG,2700.195
ARM,4178.035
LEG,2553.75
XXXXX,8000.59
XXXXX,8007.245
XXXXX,8003.58
XXXXX,8006.08
BORING,2582.88
SCISSORS,3839.6
XXXXX,8001.085
SHARP,5524.49
XXXXX,8005.285
LOG,4373.33
TR,5347.975
