DelayedWord,DelayedRT
DESERT,6269.96
JEANS,5866.915
VOLCANO,2601.22
GUILT,1966.815
BABY,1034.135
CRAWL,1266.54
DOCTOR,1667.675
CELL,1933.06
PLAN,1150.695
BLURRY,1167.165
HARRY,1149.495
HAPPY,1765.575
FIRE,1468.295
SPICE,935.685
SHIP,5233.96
ROOF,1667.02
,7988.64
TOCK,1151.22
THANKS,3401.25
RIGHT,2033.115
DEATH,2532.465
,8002.345
ENHANCE,2649.01
SMART,3550.515
GLASSES,2798.025
BANK,1566.38
MONEY,1184.61
PAPER,867.825
PENCIL,2916.97
MAID,902.81
WATER,877.03
MILK,867.38
CAKE,3068.495
CASTLE,1117.855
MONKEY,1933.425
BOSS,1316.025
ANGRY,1451.24
MAD,717.585
OVEN,1783.355
BALL,1168.245
,8000.56
TOWN,4033.365
GRAVE,1095.91
PENNY,1050.225
HEAD,2467.59
SPOT,733.675
SKIN,965.88
BRAIN,1051.165
UNDER,1382.18
,8002.455
,7999.89
,8000.08
EXCEPT,4617.285
MARRY,2588.75
SHERIFF,2204.935
TRAILER,1452.815
,8002.55
CONFUSED,5971.52
QUESTION,1432.06
THROUGH,8000.695
MAKE,6470.935
HATE,1369.17
LONELY,2201.075
ENTER,7088.415
,8000.785
LONE,1085.965
,8002.205
SHALLOW,5854.74
,8004.47
THIEF,985.41
,7989.97
CALM,5102.38
PAIL,5702.045
THROAT,2538.285
LARGE,4535.425
ITCH,1305.12
TAIL,1703.095
FURRY,2606.255
SCRATCH,2498.32
,8000.855
MAKE,801.85
,7996.215
TYPE,5434.835
WIRE,5187.285
CREATE,6933.585
THERE,4614.88
,8002.33
DEEP,4317.12
,7998.635
TOP,1152.125
TOWARD,1281.91
TUCK,951.035
,8002.19
CARRY,1250.24
REST,6352.835
TIRED,1150.41
,8002.15
BEACH,2082.48
TREE,2566.575
SHAKE,6285.46
