DelayedWord,DelayedRT
KILL,6436.655
,7999.655
WHEEL,1832.13
WEST,1202.29
,7999.755
,7989.685
LAND,6035.08
SWAMP,5187.07
KISS,6805.135
SMASH,2388.755
,8000.76
SMILE,2384.07
TRASH,8002.095
CRACKER,7999.875
,8001.63
SHOES,8000.37
SORRY,7991.225
,7988.115
BIKE,4452.92
,8001.355
ROAD,4233.18
,8001.8
,8000.445
BLACK,5634.19
,8002.755
TRASH,1550.145
DIRT,4232.885
,8000.48
,8000.855
,8029.235
,8001.365
GREE,8001.31
GREEN,1867.07
ROAD,8002.035
WHEEL,7468.24
,8000.395
FIV,8000.795
FIVE,1334.36
STARS,1168.94
MONEY,3269
,7999.9
,7999.59
,7999.1
ROAD,11337.145
ROAD,3001.785
,7989.275
TRASH,3839.43
,7998.895
,7999.045
,8000.25
,7993.655
DARK,4851.35
,8001.68
SMILE,2661.61
DEVIL,2536.69
,8001.525
,7995.19
,8036.2
,8001.87
,7999.935
,8002.59
WORLD,7992.15
GREEN,8005.765
GREEN,2482.055
,8010.17
,7990.95
,8000.215
,7994.04
ROAD,8000.83
,8000.62
,8000.875
,7998.84
GEEK,1619.555
TRAIN,3166.295
,8002.22
,7999.03
,8000.865
,8000.625
,8001.635
,7998.135
TIRE,8002.74
DIE,7662.495
,7987.855
,2.674999996
