"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"QUEEN",981.67,"Studied",6,3,NA,"1,6","firstword","firstword",NA,NA
"GHOST",1368.16,"Studied",18,1,NA,NA,NA,NA,NA,"GHOUL"
"BRIDE",1233.51,"Studied",33,1,NA,"11,4","Identical","BLACK",NA,NA
"HAPPY",7784.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3201.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",256.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KILLER",2666.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEATH",683.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",300.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",216.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",299.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",334.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",132.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",184.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",199.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",483.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",701.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",515.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",567.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",565.945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",500.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1415.695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",234.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",183.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",218.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",200.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",166.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",136.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",149.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",16.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",85.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",99.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",100.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",620.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",17.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",350.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",166.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",132.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",150.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",149.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",682.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",300.565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONARCH",4687.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3065.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",331.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",267.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",384.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",948.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",490.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",231.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",33.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",98.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",200.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",149.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",133.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",65.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",165.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",83.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",69.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",115.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",300.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",252.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",482.945,NA,NA,NA,NA,NA,NA,NA,NA,NA
