"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"UNCLEAR",2833.225,"firstword","firstword",NA,1,1,1,"Studied",NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"NINE",7017.925,"TELLER","Related",2.085000015,2,1,42,"Studied",NA,"BANK"
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"COPY",8000.37,"PLAN","Identical",2.104999992,3,1,16,"Studied",NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"PRIDE",8001.975,"BELOW","Unrelated",2.124999999,4,1,41,"Studied",NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"WATER",7999.98,"PENCIL","Identical",2.160000004,5,1,5,"Studied",NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"SPICES",7999.805,"TIRED","Identical",0.700000004,6,1,NA,NA,NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"PAPER",8006.585,"BOUNCE","Related",1.495000004,7,1,37,"Studied",NA,"BALL "
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"ANGRY",7999.825,"PERMIT","Related",1.404999988,8,1,NA,NA,NA,"ALLOW"
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"SURE",7992.325,"DUSK","Unrelated",1.890000014,9,1,13,"Studied",NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"ALLOW",8001.72,"SPICE","Identical",1.155000005,10,1,28,"Studied",NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.04,"HOOP","Unrelated",2.285000024,11,1,NA,NA,NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"CA",7990.545,"POUND","Unrelated",1.950000005,12,1,NA,NA,NA,NA
"EA",1,"2020-12-10_19h58.30.571","S2.1ConstantTotalFinal","2020.1.3",60,"CASTLE",8002.025,"SMART","Identical",2.019999985,13,1,25,"Studied",NA,NA
