RecalledWord,StudyPosition,Block
SMILE,1,1
DOOR,2,1
SWEET,3,1
WORLD,4,1
THIEF,5,1
LEARN,6,1
STOMACH,7,1
JUMP,8,1
DUSK,9,1
LAKE,10,1
TIGHT,11,1
DEAF,12,1
TRAIN,13,1
SWAMP,14,1
PICTURE,15,1
LAND,16,1
SMOKE,17,1
PRESENT,18,1
MINOR,19,1
ROAD,20,1
STARS,21,1
BLACK,22,1
DEVIL,23,1
HOTEL,24,1
BELOW,25,1
FIVE,26,1
KILL,27,1
BRIDE,28,1
CAMP,29,1
FROG,30,1
TRASH,31,1
WHEAT,32,1
GHOST,33,1
SOUTH,34,1
POUND,35,1
DIRT,36,1
KISS,37,1
SHOES,38,1
SORRY,39,1
NOISE,40,1
HOOP,41,1
GEEK,42,1
BUTTER,1,2
SUPPER,2,2
VERB,3,2
KIDNAP,4,2
PURPLE,5,2
HUNGER,6,2
MOTHER,7,2
CANDLE,8,2
TEST,9,2
BORROW,10,2
READ,11,2
MOST,12,2
LESS,13,2
CHAIN,14,2
WINTER,15,2
NOSE,16,2
SOAP,17,2
TOUR,18,2
THIRST,19,2
SLOW,20,2
SEEK,21,2
ARGUE,22,2
THREAD,23,2
ALIVE,24,2
TOES,25,2
PAIN,26,2
BALLET,27,2
NEWS,28,2
STATES,29,2
SQUARE,30,2
INHALE,31,2
NAVY,32,2
MIDDLE,33,2
TENNIS,34,2
LOOK,35,2
WAITER,36,2
CLUE,37,2
WILD,38,2
FIRST,39,2
BRANCH,40,2
BUCKET,41,2
SPIDER,42,2
QUEEN,1,3
THERE,2,3
MINUTE,3,3
MUSCLE,4,3
CLOCK,5,3
PLANT,6,3
UNCLE,7,3
ROCK,8,3
QUART,9,3
FINGER,10,3
SPOON,11,3
OFFICE,12,3
TIGER,13,3
PEPPER,14,3
CORAL,15,3
SHOVE,16,3
CANCER,17,3
PHONE,18,3
FENCE,19,3
MINUS,20,3
LEAVES,21,3
ANIMAL,22,3
ENTER,23,3
GRASS,24,3
EARLY,25,3
YOURS,26,3
WHERE,27,3
SHARK,28,3
HORSE,29,3
THROW,30,3
WORST,31,3
LEMON,32,3
FOUND,33,3
BEFORE,34,3
BEHIND,35,3
SHORT,36,3
GIRLS,37,3
MEAN,38,3
TEETH,39,3
DOLLAR,40,3
CLOSE,41,3
WHOLE,42,3
SELLER,1,4
EGGS,2,4
CRACKER,3,4
CHAIR,4,4
GLORY,5,4
WEIGHT,6,4
STAIRS,7,4
NUMBER,8,4
FRIGHT,9,4
FISH,10,4
LAWYER,11,4
STOP,12,4
BIRD,13,4
WEST,14,4
DREAM,15,4
SMOOTH,16,4
CHEESE,17,4
PICKLE,18,4
HORN,19,4
DAGGER,20,4
STREAM,21,4
ORANGE,22,4
YELLOW,23,4
STORY,24,4
GROSS,25,4
WORK,26,4
NEPHEW,27,4
TWELVE,28,4
BEACH,29,4
BOMB,30,4
CLAM,31,4
LENGTH,32,4
CHANGE,33,4
RIGHT,34,4
GUITAR,35,4
FLOWER,36,4
SHEETS,37,4
JAIL,38,4
MONEY,39,4
SONG,40,4
OUTTAKE,41,4
NICKEL,42,4
