"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"SMILE",1499.66,"firstword","firstword",NA,1,1,1,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"DOOR",915.895,"FIVE","Identical",1.680000103,2,1,2,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"LAKE",2066.695,"STOMACH","Identical",0.92999998,3,1,10,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"DEVIL",1717.385,"GROOM","Related",1.089999918,4,1,23,"Studied",NA,"BRIDE"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"HOTEL",1182.825,"SOUTH","Identical",0.724999933,5,1,24,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"MINOR",1150.075,"BELOW","Identical",0.859999913,6,1,19,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"BRIDE",2183.2,"ACRE","Related",0.9499999,7,1,28,"Studied",NA,"LAND"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"CAMP",1199.705,"LOOSE","Related",0.630000024,8,1,29,"Studied",NA,"TIGHT"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"GEEK",1767.505,"TRASH","Identical",0.899999985,9,1,42,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"STARS",1632.53,"HONEY","Related",1.11000007,10,1,21,"Studied",NA,"SWEET"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"KISS",1199.765,"SOIL","Related",0.999999931,11,1,37,"Studied",NA,"DIRT"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"TRAIN",1418.13,"KILL","Identical",0.925000058,12,1,13,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"FROG",1417.185,"NINE","Unrelated",0.870000105,13,1,30,"Studied",NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"GHOST",2766.95,"OUNCE","Related",0.789999962,14,1,33,"Studied",NA,"POUND"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",349.5550001,"MARSH","Related",0.609999988,15,1,NA,NA,NA,"SWAMP"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",467.7149999,"APOLOGY","Related",0.784999924,16,1,NA,NA,NA,"SORRY"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",484.63,"SOCKS","Related",0.654999982,17,1,NA,NA,NA,"SHOES"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",1082.695,"SMALL","Unrelated",0.769999926,18,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",399.355,"PRESENT","Identical",0.899999985,19,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",456.385,"BLACK","Identical",0.869999989,20,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",283.87,"WANT","Unrelated",0.744999968,21,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",150.58,"GRAIN","Related",0.93999994,22,1,NA,NA,NA,"WHEAT"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",2516.31,"CASTLE","Unrelated",0.925000058,23,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",751.11,"GLOBE","Related",0.679999939,24,1,NA,NA,NA,"WORLD"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",585.06,"PICTURE","Identical",0.960000092,25,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",133.35,"SPICE","Unrelated",0.814999919,26,1,NA,NA,NA,NA
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",483.37,"MUTE","Related",0.914999982,27,1,NA,NA,NA,"DEAF"
"HC",1,"2020-11-23_15h14.48.124","S1.1Nonprimes","2020.1.3",60,"XXXXX",8001.045,"HULA","Related",0.850000069,28,1,NA,NA,NA,"HOOP"
