DelayedWord,DelayedRT
FISH,4250.455
GROSS,1168.13
BEHIND,1200.885
ANIMAL,2036
CORAL,850.17
HORSE,1083.035
,8000.51
THIRST,1048.325
,7996.085
QUEEN,6249.705
SHORT,1001.245
DIRTY,2899.38
SMOKE,1183.115
,7998.24
,8000.285
WATER,4146.23
,8000.185
,7998.915
,7989.515
,8001.435
,8000.04
,7999.845
,7999.92
,8001.24
FRIGHT,1739.81
RIGHT,898.125
FINGER,4949.64
SPOON,5553.36
,7989.17
,8001.735
,8002.29
,8001.985
,8001.385
,8004.315
,7988.51
,8000.705
,8001.76
,8000.525
,8001.66
,7998.22
,8001.045
,8001.37
,8000.105
,8000.48
,8522.15
,7989.555
,7996.1
,7989.455
,8000.395
,8001.805
,8000.115
,8001.64
,8000.31
,7990.695
,8000.35
,8003.05
,8002.115
,7991.22
,8028.505
,8000.91
,8000.025
,8003.35
,8002.07
,8000.96
,8001.965
,7999.88
,8032.89
,7998.905
,7999.625
,7995.565
,8001.86
,8000.555
,7999.145
,8000.08
,8001.33
,8001.94
,8003.635
,8003.305
,8001.24
,8250.435
