"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"HAPPY",2220.765,"Studied",11,3,NA,"11","Related","CAPTAIN","SHIP",NA
"SAD",754.285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIRED",1087.725,"Studied",36,2,NA,"7","Identical","SOFT",NA,NA
"FIND",804.31,"Studied",36,3,NA,"4","Identical","MUSIC",NA,NA
"",7989.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUBJECT",6304.295,"Studied",22,1,NA,NA,NA,NA,NA,"TOPIC"
"BOSS",953.84,"Studied",4,2,NA,"5,20","Identical","MONKEY",NA,NA
"ARMS",820.085,"Studied",40,1,NA,"13","Unrelated","FLOWER",NA,NA
"GLASSES",1320.655,"Studied",5,2,NA,"6","Identical","MINIMUM",NA,NA
"PRIDE",2787.905,"Studied",3,2,NA,"36","Unrelated","SHOES",NA,"DIGNITY"
"EXCUSE",4201.5,"Studied",1,4,"Identical","16","Identical","QUIET",NA,NA
"DEATH",2037.16,"Studied",8,4,NA,"25","Unrelated","WORST",NA,"BIRTH"
"",7987.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOWN",7915.68,"Studied",5,1,NA,"9","Identical","STRESS",NA,NA
"JEANS",7215.465,"Studied",20,2,NA,"15","Related","BLAZE","FIRE",NA
"",7998.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COUNTY",1515.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUEEN",6399.13,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA
"",8004.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8004.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8004.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8004.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1038.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1532.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POND",1470.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOUNTAIN",3165.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",7999.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELL",948.81,"Studied",20,3,NA,NA,NA,NA,NA,"CHIME"
"",8000.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8017.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7987.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8050.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",384.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
