RecalledWord,StudyPosition,Block
SPOTS,1,1
STEAL,2,1
MILK,3,1
CELL,4,1
TOWN,5,1
MOVE,6,1
REPEAT,7,1
UNDER,8,1
GRAND,9,1
BREAD,10,1
WOOD,11,1
GUILT,12,1
GRAVE,13,1
BABY,14,1
SHEEP,15,1
NIGHTS,16,1
DOCTOR,17,1
MATH,18,1
BRAIN,19,1
STING,20,1
SHIRT,21,1
SUBJECT,22,1
PENNY,23,1
HEAD,24,1
SELF,25,1
WRITE,26,1
ROSE,27,1
RULE,28,1
STRESS,29,1
FAKE,30,1
PROPER,31,1
KNIT,32,1
TOOTH,33,1
STUPID,34,1
CLASS,35,1
EXPLODE,36,1
TOUCH,37,1
SKIN,38,1
CLIMB,39,1
ARMS,40,1
BIKE,41,1
LIGHT,42,1
ENGLISH,1,2
EFFECT,2,2
PRIDE,3,2
BOSS,4,2
GLASSES,5,2
ONCE,6,2
MONKEY,7,2
ALLOW,8,2
LARGE,9,2
WATER,10,2
UNCLEAR,11,2
PAPER,12,2
SPICE,13,2
NINE,14,2
FIRE,15,2
SNEEZE,16,2
SILK,17,2
HELLO,18,2
COPY,19,2
JEANS,20,2
CASTLE,21,2
PLAN,22,2
CAKE,23,2
SOFT,24,2
SLEEP,25,2
MINIMUM,26,2
SMART,27,2
FINISH,28,2
LETTER,29,2
SURE,30,2
BANK,31,2
BALL ,32,2
SMALL,33,2
WANT,34,2
PENCIL,35,2
TIRED,36,2
CARRY,37,2
MAD,38,2
MAID,39,2
ITCH,40,2
OVEN,41,2
FRONT,42,2
COLLECT,1,3
FOOD,2,3
CHOOSE,3,3
CHURCH,4,3
BOARD,5,3
MAGIC,6,3
JACKET,7,3
VOLCANO,8,3
ROOF,9,3
LAUGH,10,3
HAPPY,11,3
DESERT,12,3
YEAR,13,3
MAYBE,14,3
TREE,15,3
STREET,16,3
HAIR,17,3
LOVE,18,3
WARM,19,3
BELL,20,3
MUSIC ,21,3
SOUR,22,3
SING,23,3
TALK,24,3
STRANGE,25,3
GAME,26,3
STORE,27,3
SICK,28,3
LETTUCE,29,3
SMELL,30,3
SHIP,31,3
CLEAR,32,3
TAKE,33,3
STICKY,34,3
HEAR,35,3
FIND,36,3
PROBLEM,37,3
NONE,38,3
LOSE,39,3
DRESS,40,3
BREAK,41,3
SWORD,42,3
EXCUSE,1,4
SAME,2,4
ANNOY,3,4
POTATO,4,4
YOUNG,5,4
SLIDE,6,4
PLANE ,7,4
DEATH,8,4
SHERIFF,9,4
CLOWN,10,4
NECK,11,4
PACKAGE,12,4
RENT,13,4
HATE,14,4
STAMP,15,4
PURPOSE,16,4
THIN,17,4
PIECE,18,4
SPIT,19,4
CHILD,20,4
DISAGREE,21,4
RAIN,22,4
REAL,23,4
MANY,24,4
THANKS,25,4
SCISSORS,26,4
DRAW,27,4
STRIPE,28,4
SILVER,29,4
TOCK,30,4
DRUGS,31,4
KNIFE,32,4
CARD,33,4
QUIET,34,4
MARRY,35,4
VOTE,36,4
TRAILER,37,4
WRONG,38,4
BUSH,39,4
EXACT,40,4
SHALLOW,41,4
TOOL,42,4
