"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"SWEET",3900.085,"Studied",18,1,"Identical",NA,NA,NA,NA,NA
"SHOES",1365.52,"Studied",40,1,NA,"9","Related","SKIP","JUMP",NA
"",3250.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUARE",3149.465,"Studied",3,2,NA,"6","Identical","SEEK",NA,NA
"LAND",1917.005,"Studied",1,1,NA,"2","Identical","LAKE",NA,NA
"BELOW",1231.78,"Studied",2,1,NA,"3","Unrelated","WATER",NA,NA
"GHOST",2900.2,"Studied",37,1,NA,"10","Unrelated","PRIDE",NA,NA
"DEVIL",2416.375,"Studied",25,1,NA,"7","Unrelated","SMART",NA,NA
"KILL",1050.795,"Studied",26,1,NA,"8","Identical","TRAIN",NA,NA
"BLACK",3283.51,"Studied",27,1,NA,"6","Identical","SWEET",NA,NA
"MUSCLE",5705.95,"Studied",8,3,"Identical","11","Identical","BEHIND",NA,NA
"LOST",3382.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANGE",4733.075,"Studied",9,4,NA,"2","Unrelated","SPOTS",NA,NA
"",3283.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",6865.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1666.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4374.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIGHT",4116.785,"Studied",39,1,NA,"5","Unrelated","TIRED",NA,NA
"",1101.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",533.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",899.5450001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7993.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWEET",3133.085,"Studied",18,1,"Identical",NA,NA,NA,NA,NA
"",4634.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",2467.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",866.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",820.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",417.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",326.3600001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",394.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",350.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",251.605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",266.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",304.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",250.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",233.615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",165.295,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",117.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",240.8649999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",216.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",250.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",265.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",310.8900001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",266.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",251.4749999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",232.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",233.7400001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",233.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1166.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",316.4100001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",367.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",666.8499999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEBT",4584.615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3349.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",431.165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",282.5249999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",278.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",198.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",335.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",251.195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",467.0299999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",392.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",316.8050001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",367.4700001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",350.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",332.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",347.3200001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",498.945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",932.8800001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",519.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",366.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",294.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",327.565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",315.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",283.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",292.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",448.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",282.9699999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",400.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",299.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",350.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",318.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",284.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",250.1899999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",301.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",135.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",351.1349999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",399.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",100.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",316.4850001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",165.1600001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",183.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",209.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",366.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",266.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",283.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",434.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
