"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"MINUTE",1416.965,"Studied",1,2,NA,"1","firstword","firstword",NA,NA
"GROSS",2016.135,"Studied",15,3,NA,"6","Unrelated","BREAD",NA,NA
"GREEN",1266.355,NA,NA,NA,NA,"7,5","Identical","QUEEN",NA,NA
"PURPLE",3201.985,"Studied",20,1,"Identical",NA,NA,NA,NA,NA
"MINUTE",2332.485,"Studied",1,2,NA,"1","firstword","firstword",NA,NA
"SUPPER",2633.075,"Studied",40,1,NA,"14","Related","TAME","WILD","DINNER"
"BUCKET",6049.45,"Studied",9,1,NA,"3","Identical","BUTTER",NA,NA
"GUITAR",3882.985,"Studied",1,3,NA,"1","firstword","firstword",NA,NA
"MINOR",1065.925,"Studied",1,4,NA,"1","firstword","firstword",NA,NA
"",8000.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.785,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",25691.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7996.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7994.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7996.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7993.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",2715.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
