RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
ENGLISH,z,2.3043,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
LEMON,slash,1.743795,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BANK,z,1.51495,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BREAD,z,2.6789,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
FIRST,slash,1.159105,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
STORE,z,1.157585,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
WHOLE,slash,1.292525,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SOFT,z,1.09404,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
DOCTOR,slash,1.75982,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SAME,z,1.927725,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
MOST,slash,3.66207,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SMALL,slash,0.65751,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
CLIMB,z,1.230775,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
JAIL,z,0.81239,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
NUMBER,slash,1.244015,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SPIDER,slash,1.025325,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SWORD,z,0.848755,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
STRANGE,z,1.2761,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
ITCH,z,0.84746,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
NOISE,z,1.85905,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SHIRT,slash,0.82482,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BABY,z,1.676955,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
DOOR,slash,3.459445,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
NINE,z,3.776685,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
DEVIL,z,1.703515,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BREAK,slash,0.87853,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
STAIRS,slash,0.812225,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BLACK,slash,2.441655,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
TOUCH,slash,1.108705,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
INHALE,z,0.766835,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
LAKE,z,0.74712,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
JUMP,z,0.992115,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
GLASSES,z,0.929915,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
VOLCANO,z,0.61647,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
RAIN,z,0.696635,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
HOTEL,slash,1.044505,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
SWAMP,z,0.99114,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
HAIR,slash,0.96146,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
RIGHT,slash,0.80711,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BELOW,z,0.892475,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
GRASS,slash,2.56914,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
PACKAGE,z,2.55786,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
CLUE,slash,0.895025,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
BEACH,z,0.94629,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
LIGHT,z,1.10128,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
STING,z,1.42844,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
PAPER,z,0.875725,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
POUND,z,1.126595,JS2,1,2020-12-09_12h13.22.607,DelayedExpNT,2020.1.3,60
