RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
LEMON,z,1.77861,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
QUIET,slash,2.1116,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
BREAD,slash,1.662755,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
VOTE,slash,1.012155,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
STUPID,slash,1.09176,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
ARGUE,z,0.781845,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
REPEAT,z,1.81287,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
WORK,slash,1.31189,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
BALLET,z,0.727985,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
JAIL,z,0.764425,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
TOUR,slash,1.280375,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
TOOTH,slash,0.62289,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
LAUGH,z,0.793405,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
PENNY,z,1.09309,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
BELL,slash,1.012665,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
ALLOW,slash,1.095435,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
FRIGHT,z,0.84486,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
SQUARE,z,0.74668,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
CLIMB,slash,0.73852,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
GEEK,z,0.809255,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
ROSE,slash,0.886375,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
BLACK,z,0.77958,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
SWORD,z,0.775685,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
MAYBE,slash,1.27929,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
LOVE,z,1.018655,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
CAKE,slash,1.261885,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
PROBLEM,z,0.609545,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
FENCE,z,0.6279,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
WOOD,slash,1.56622,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
SELLER,z,0.611945,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
CHOOSE,slash,0.89624,JS,1,2020-12-05_16h01.34.004,DelayedExpNT,2020.1.3,60
