RecalledWord,StudyPosition,Block
KNIT,1,1
SELF,2,1
GRAND,3,1
WOOD,4,1
ROSE,5,1
HEAD,6,1
FAKE,7,1
STUPID,8,1
GUILT,9,1
LIGHT,10,1
CELL,11,1
BIKE,12,1
MILK,13,1
STRESS,14,1
DOCTOR,15,1
SUBJECT,16,1
PENNY,17,1
TOOTH,18,1
REPEAT,19,1
MOVE,20,1
WRITE,21,1
RULE,22,1
ARMS,23,1
BABY,24,1
SPOTS,25,1
STING,26,1
TOWN,27,1
BREAD,28,1
PROPER,29,1
UNDER,30,1
MATH,31,1
SKIN,32,1
EXPLODE,33,1
SHIRT,34,1
GRAVE,35,1
CLIMB,36,1
CLASS,37,1
BRAIN,38,1
SHEEP,39,1
STEAL,40,1
TOUCH,41,1
NIGHTS,42,1
OVEN,1,2
UNCLEAR,2,2
BOSS,3,2
NINE,4,2
WANT,5,2
LARGE,6,2
BANK,7,2
COPY,8,2
PLAN,9,2
PAPER,10,2
CAKE,11,2
MINIMUM,12,2
EFFECT,13,2
SLEEP,14,2
MAID,15,2
JEANS,16,2
WATER,17,2
ALLOW,18,2
ENGLISH,19,2
FINISH,20,2
TIRED,21,2
SPICE,22,2
HELLO,23,2
SILK,24,2
PRIDE,25,2
SMART,26,2
PENCIL,27,2
SOFT,28,2
SMALL,29,2
ITCH,30,2
ONCE,31,2
CARRY,32,2
GLASSES,33,2
LETTER,34,2
MONKEY,35,2
FIRE,36,2
FRONT,37,2
SURE,38,2
SNEEZE,39,2
CASTLE,40,2
BALL ,41,2
MAD,42,2
SOUR,1,3
CLEAR,2,3
SHIP,3,3
ROOF,4,3
HEAR,5,3
STREET,6,3
GAME,7,3
TREE,8,3
CHOOSE,9,3
JACKET,10,3
STRANGE,11,3
VOLCANO,12,3
STORE,13,3
FIND,14,3
SICK,15,3
MAGIC,16,3
LETTUCE,17,3
FOOD,18,3
WARM,19,3
TAKE,20,3
PROBLEM,21,3
HAIR,22,3
SWORD,23,3
MAYBE,24,3
DRESS,25,3
CHURCH,26,3
HAPPY,27,3
DESERT,28,3
SING,29,3
BOARD,30,3
MUSIC ,31,3
BREAK,32,3
SMELL,33,3
LOVE,34,3
COLLECT,35,3
BELL,36,3
YEAR,37,3
LOSE,38,3
STICKY,39,3
TALK,40,3
NONE,41,3
LAUGH,42,3
SAME,1,4
YOUNG,2,4
PIECE,3,4
QUIET,4,4
CLOWN,5,4
NECK,6,4
SLIDE,7,4
EXACT,8,4
RAIN,9,4
ANNOY,10,4
THANKS,11,4
SHALLOW,12,4
STAMP,13,4
WRONG,14,4
CHILD,15,4
PURPOSE,16,4
DEATH,17,4
MANY,18,4
MARRY,19,4
SPIT,20,4
PACKAGE,21,4
POTATO,22,4
BUSH,23,4
TOOL,24,4
DRUGS,25,4
STRIPE,26,4
TRAILER,27,4
SHERIFF,28,4
CARD,29,4
VOTE,30,4
DRAW,31,4
RENT,32,4
HATE,33,4
REAL,34,4
SCISSORS,35,4
EXCUSE,36,4
TOCK,37,4
THIN,38,4
DISAGREE,39,4
PLANE ,40,4
KNIFE,41,4
SILVER,42,4
