"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"SHIP",7990.21,"Studied",1,3,NA,"1","firstword","firstword",NA,NA
"DRESS",7989.035,"Studied",21,3,NA,"18","Unrelated","KIDNAP",NA,NA
"CHOOSE",7991.68,"Studied",2,3,NA,"2","Identical","HAPPY",NA,NA
"JACKET",7989.485,"Studied",3,3,NA,"3","Related","WAND","MAGIC",NA
"CABBAGE",2473.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAGIC",7990.855,"Studied",5,3,NA,"5","Related","GLUE","STICKY","WAND"
"BREAK",7990.125,"Studied",6,3,NA,"6","Unrelated","FIRST",NA,NA
"BELL",7990.16,"Studied",7,3,NA,"7","Identical","HAIR",NA,NA
"NONE",7990.63,"Studied",8,3,NA,"8","Related","MIGHT","MAYBE",NA
"PROBLEM",7990.475,"Studied",9,3,NA,"9","Related","CHESS","GAME",NA
"LAUGH",7989.6,"Studied",12,3,NA,"12","Unrelated","BORROW",NA,"GIGGLE"
"GAME",7990.275,"Studied",14,3,NA,"13","Identical","BOARD",NA,"CHESS"
"COLLECT",7990.81,"Studied",16,3,NA,"14","Unrelated","NOSE",NA,NA
"LOVE",7990.91,"Studied",10,3,NA,"10","Related","GIGGLE","LAUGH",NA
"SICK",7990.46,"Studied",11,3,NA,"11","Related","ERUPT","VOLCANO",NA
"DESERT",7989.395,"Studied",17,3,NA,"15","Unrelated","TEST",NA,NA
"STRANGE",7990.045,"Studied",18,3,NA,"16","Identical","MUSIC",NA,NA
"TREE",7990.12,"Studied",19,3,NA,"17","Unrelated","PAIN",NA,NA
"ROOF",1254.135,"Studied",23,3,NA,"21","Related","DECADE","YEAR",NA
"VOLCANO",2156.36,"Studied",24,3,NA,"20","Identical","STREET",NA,"ERUPT"
"FOOD",1571.355,"Studied",26,3,NA,"22","Unrelated","TENNIS",NA,NA
"BOARD",7990.37,"Studied",27,3,"Identical","23","Identical","TALK",NA,NA
"SING",3326.105,"Studied",29,3,NA,"24","Identical","TAKE",NA,NA
"YEAR",4045.03,"Studied",30,3,NA,"25","Identical","SMELL",NA,"DECADE"
"CHURCH",7990.745,"Studied",32,3,NA,"26","Identical","HEAR",NA,NA
"MUSIC",4763.915,NA,NA,NA,"Identical","27","Unrelated","LESS",NA,NA
"HAIR",7991.15,"Studied",35,3,"Identical","28","Identical","FIND",NA,NA
"SOUR",4362.65,"Studied",36,3,"Identical","29","Unrelated","WAITER",NA,NA
"WARMTH",4797.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYBE",1253.58,"Studied",38,3,NA,"33","Unrelated","SQUARE",NA,"MIGHT"
"HEAR",2389.23,"Studied",39,3,"Identical","34","Related","SHOP","STORE",NA
"STREET",1721.33,"Studied",40,3,"Identical","35","Unrelated","STATES",NA,NA
"STORE",1220.115,"Studied",41,3,NA,"36","Unrelated","SEEK",NA,"SHOP"
"TAKE",7992.01,"Studied",42,3,"Identical","37","Unrelated","INHALE",NA,NA
"FIRE",1756.04,"Studied",1,2,NA,"3","Unrelated","MINOR",NA,NA
"MONKEY",1720.66,"Studied",2,2,NA,"4","Identical","BALL",NA,NA
"ENGLISH",1855.425,"Studied",3,2,NA,"5","Unrelated","WHEAT",NA,NA
"COPY",2206.41,"Studied",4,2,NA,"6","Identical","WATER",NA,NA
"TIRED",2606.94,"Studied",5,2,NA,"7","Unrelated","ROAD",NA,NA
"CASTLE",1805.235,"Studied",6,2,NA,"8","Related","SERVANT","MAID",NA
"HELLO",2974.665,"Studied",7,2,NA,"9","Related","EIGHT","NINE",NA
"CARRY",3359.545,"Studied",8,2,NA,"10","Identical","JEANS",NA,NA
"BANK",6101.34,"Studied",9,2,NA,"11","Related","DIGNITY","PRIDE",NA
"OVEN",3243.935,"Studied",12,2,NA,"13","Unrelated","PICTURE",NA,NA
"PRIDE",1939.235,"Studied",13,2,NA,"14","Identical","GLASSES",NA,"DIGNITY"
"MINIMUM",2859.055,"Studied",14,2,NA,"12","Identical","ALLOW",NA,NA
"PENCIL",4563.44,"Studied",15,2,NA,"15","Unrelated","DEVIL",NA,NA
"SLEEP",7990.585,"Studied",17,2,NA,"16","Related","MANAGER","BOSS",NA
"NINE",7989.215,"Studied",37,2,NA,"30","Related","SCHEME","PLAN","EIGHT"
"ONCE",4060.43,"Studied",27,2,"Identical","21","Related","BACK","FRONT",NA
"MAID",920.64,"Studied",29,2,NA,"26","Unrelated","TRASH",NA,"SERVANT"
"BOSS",7991.455,"Studied",30,2,NA,"27","Related","DONE","FINISH","MANAGER"
"CAKE",7989.21,"Studied",36,2,NA,"31","Related","ALLERGY","SNEEZE",NA
"MAD",2139.33,"Studied",38,2,NA,"32","Related","MEDIUM","LARGE",NA
"SOFT",7990.885,"Studied",39,2,"Identical","33","Identical","SOFT",NA,NA
"CLOCK",7990.75,NA,NA,NA,NA,"33","Identical","SELF",NA,NA
"SMART",1655.14,"Studied",42,2,NA,"1","firstword","firstword",NA,NA
"SMALL",1019.54,"Studied",41,2,NA,"2","Unrelated","DEAF",NA,NA
