participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,WRITE,7991.115,firstword,firstword,,1,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,TOWN,7991.43,RIGHT,Unrelated,0.960000005,2,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,HEAD,7990.75,LEGS,Related,0.840000001,3,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,ARMS,7990.955,PATIENT,Related,0.919999999,4,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,FAKE,7989.42,CLAM,Unrelated,1.089999998,5,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,REPEAT,7990.69,STREAM,Unrelated,0.879999999,6,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,PROPER,7992.155,SHIRT,Identical,0.834999999,7,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SHIRT,7991.095,PICKLE,Unrelated,0.785000004,8,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BRAIN,7989.64,CARESS,Related,0.820000001,9,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,EXPLOSION,7989.745,BABY,Identical,0.894999998,10,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BIKE,7990.28,THEFT,Related,0.884999994,11,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SKIN,7990.46,BEACH,Unrelated,0.875000005,12,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,TOUCH,7990.13,WEIGHT,Unrelated,0.865000002,13,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BABY,7991.525,GROSS,Unrelated,0.980000004,14,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SUBJECT,7991.9,EGGS,Unrelated,0.88,15,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,ROSE,7991.955,SHIFT,Related,0.88,16,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,STING,7990.345,BEAM,Related,1.01,17,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,GRAVE,7992.255,GUITAR,Unrelated,1.219999998,18,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,DOCTOR,7991.855,PENNY,Identical,0.99,19,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CLIMB,7990.81,DUMB,Related,0.980000004,20,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BREAD,7686.01,TOOTH,Identical,0.970000001,21,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CELL,7992.04,CHEESE,Unrelated,0.780000002,22,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,WOOD,7991.535,MATH,Identical,1.000000004,23,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,PENNY,7990.82,DAYS,Related,0.749999999,24,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,LIGHT,7999.765,RULE,Identical,0.984999999,25,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SHEEP,7988.535,KNIT,Identical,0.994999995,26,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,MOVE,7989.355,FLOWER,Unrelated,0.919999999,27,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,TOOTH,7989.895,SHAME,Related,0.925,28,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SPOT,7990.48,STOP,Unrelated,0.809999998,29,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,MILK,7990.225,STAIRS,Unrelated,0.789999998,30,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CLASS,7990.24,LEOPARD,Related,0.885000002,31,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,MATH,7996.44,BENEATH,Related,0.979999997,32,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CLOCK,8001.145,SELF,Identical,0.739999996,33,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7993.33,CANYON,Related,1.044999997,34,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7987.92,DAGGER,Unrelated,0.99,35,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,TOWER,7990.37,EXPLODE,Identical,1.040000003,36,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7992.44,CRACKER,Unrelated,1.109999997,37,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,2858.62,TENSION,Related,1.170000003,38,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,835.52,YELLOW,Unrelated,1.195000004,39,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,569.06,SHEETS,Unrelated,0.994999995,40,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,634.695,MONEY,Unrelated,1.219999998,41,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,635,OUTTAKE,Unrelated,0.824999996,42,1
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SMART,7989.53,firstword,firstword,,1,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SMALL,7990.07,DEAF,Unrelated,1.405000002,2,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,FIRE,7989.21,MINOR,Unrelated,1.265000006,3,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,MONKEY,7990.565,BALL,Identical,1.315000001,4,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,ENGLISH,7990.385,WHEAT,Unrelated,1.14,5,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,COPY,7995.14,WATER,Identical,1.244999999,6,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,TIRED,7992.085,ROAD,Unrelated,1.555000003,7,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CASTLE,7992.7,SERVANT,Related,1.239999998,8,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,HELLO,7989.63,EIGHT,Related,1.030000007,9,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CARRY,7990.585,JEANS,Identical,1.165000002,10,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BANK,7990.145,DIGNITY,Related,1.004999998,11,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,MINIMUM,7995.59,ALLOW,Identical,1.049999999,12,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,OVEN,7992.925,PICTURE,Unrelated,1.800000005,13,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,PRIDE,7990.685,GLASSES,Identical,1.255000003,14,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,PENCIL,7991.36,DEVIL,Unrelated,0.990000001,15,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SLEEP,7990.43,MANAGER,Related,1.16,16,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,FINISHED,7771.24,ITCH,Identical,1.315000001,17,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,LETTER,7990.165,VAGUE,Related,1.379999994,18,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BALL,8090.165,ONCE,Identical,1.465000001,19,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SILK,7957.975,FIVE,Unrelated,0.919999999,20,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,ONCE,7989.675,BACK,Related,0.974999995,21,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SPICE,7990.54,WORLD,Unrelated,1.359999995,22,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,PAPER,7990.565,PAPER,Identical,1.149999996,23,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,ITCH,7992.025,LAND,Unrelated,1.335000001,24,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,WATER,7990.81,LAKE,Unrelated,1.539999998,25,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,MAID,7990.38,TRASH,Unrelated,1.31,26,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,BOSS,7990.745,DONE,Related,1.630000006,27,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,UNCLEAR,7989.63,SURE,Identical,1.225,28,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,SURE,7990.355,STOMACH,Unrelated,1.895000001,29,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,NINE,7990.105,SCHEME,Related,1.515000004,30,2
LG,1,2020-12-03_14h59.46.110,S2.4ConstantTotalFinal,2020.1.3,60,CAKE,7989.635,ALLERGY,Related,1.474999997,31,2
