DelayedWord,DelayedRT
HATE,3182.765
LETTER,1266.33
FOOD,1016.655
LETTUCE,1216.795
FIRE,999.78
BALL,866.23
RIGHTS,1332.665
SELF,1432.645
DISGUST,2300.685
LIGHT,1816.17
VOLCANO,3833.59
TALK,1334.375
MAGIC,1115.835
WARM,732.45
SCORE,3116.935
WEAK,901.52
SHEEP,5616.305
SOFT,3448.55
STOR,1483.345
,8001.025
WOOD,1066.245
BIKE,6118.1
UNDER,999.87
MONKEY,1134.24
MATH,866.485
MUSIC,967.025
SING,2482.2
STING,799.585
DOCTOR,2033.98
,8006.1
CASTLE,3750.915
HELLO,5966.49
,7999.795
SILK,3315.09
SPICE,2666.92
,7999.1
MORE,3267.225
GLASSES,7516.22
,8000.645
,8000.84
,7999.13
,8000.23
,7999.39
,7998.13
,8000.385
,8001.24
,8001.36
,8001.66
,7999.45
,7998.905
,7990.79
ITCH,4868.375
SNEEZE,1830.47
,8000.65
KNIT,6198.35
,8001.33
CHILD,5000.395
DEATH,1020.27
FUNERAL,4116.355
,8000.59
,8001.02
,8000.53
,8000.32
,8000.145
,7999.785
,7988.645
,8000.07
,8000.615
,7999.56
,8001.17
,7999.65
,7999.635
,7998.655
,7999.8
,8001.61
,7998.105
,8000.035
,8000.565
,7999.645
,7999.47
,7997.975
,7998.105
,8002.745
,8001.255
,7999.825
,7998.58
,7999.765
,7999.525
,7998.18
,8000.98
,7999.855
,7999.29
,8000.175
,7999.65
,7999.175
,66.165
