"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"JUMP","z",1.26842,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"YELLOW","z",1.411815,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BIRD","z",0.74555,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"KILL","z",0.814675,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MIDDLE","z",0.783545,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MONEY","z",1.083655,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MAYBE","slash",0.74916,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",15,4,NA,NA,NA,NA,"MIGHT",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SHORT","z",1.131305,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SOFT","slash",0.599155,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",25,3,"Identical","Unrelated","DUSK",NA,NA,"24","18","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"CARRY","z",0.782125,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",4,3,NA,NA,NA,NA,"HAUL",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"KNIT","slash",0.631475,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",8,2,"Identical","Related","LEOPARD","SPOTS",NA,"22","55","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Identical"
"FLOWER","slash",1.381605,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PICKLE","z",1.267335,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BREAK","slash",1.898925,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",23,4,NA,"Unrelated","TOES",NA,NA,"14",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"FAKE","z",0.73234,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",16,2,NA,NA,NA,NA,"PHONY",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"HEAD","z",0.783345,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",23,2,NA,"Related","THORN","ROSE","SKULL","32",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"DESERT","slash",0.98111,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,"Studied",17,4,NA,"Unrelated","PAIN",NA,NA,"17",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"ENTER","z",0.811655,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SOUTH","z",1.2296,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ROAD","z",1.00038,"MA",1,"2020-12-04_14h06.50.531","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
