DelayedWord,DelayedRT
,8004.185
HAPPY,2635.32
GIRAFFE,2585.93
GAME,2163.56
CHURCH,1218.44
HOUSE,1034.62
GREAT,1634.49
EIGHT,3531.8
SEVEN,1066.735
FIVE,1000.565
DOG,4788.665
CAT,1378.57
SHOES,3354.32
SAD,4898.205
DELETE,1268.335
AID,6657.85
TAX,2602.425
VOTE,869.01
GAME,6184.91
TREE,3535.595
WON,5083.065
VICTOR,1585.08
WHEAT,4855.92
BARN,2497.395
REMOTE,816.58
CAT,4522.455
SNOW,2629.795
ICE,1551.42
CHILLY,2101.89
,8003.235
RED,3602.825
GREEN,1747.35
POWER,4187.77
GRAND,1068.825
GRANDOISE,1584.1
CALCULATE,5105.135
WON,2634.945
PRETTY,5365.495
DOWN,4848.11
CRACKED,6039.86
LEARN,4799.07
USE,3669.1
REDO,2996.28
UNDER,1451.355
OVER,833.485
GRAND,3536.43
COOL,4564.93
DARK,1017.765
LIGHT,732.275
PRACTICE,4299.245
WOW,3103.555
FACTOR,2217.61
RETURN,1517.605
SING,611.14
QUILL,1952.43
LACK,3470.185
GRADUATE,3363.32
PRACTICE,3721.215
PRACTICAL,3869.44
YAWN,2351.8
TIRED,1068.085
SLEEP,984.01
MOVE,4048.115
RUN,1369.22
WALK,683.5
FAST,584.095
CHEESE,6184.08
WON,3170.505
HUT,4715.545
BUSHES,1784.79
SHAKE,4204.185
DEER,1729.005
LOUSE,3370.62
INTACT,6284.765
BELIEVE,3335.955
SHOWER,2636.455
PIT,962.565
BLINK,6723.025
EYES,1351.715
LEARN,3214.95
EARN,1434.755
BIG,2603.42
SMALL,1210.115
POWER,3738.07
LOWER,1967.89
HOW,6834.635
,8001.845
POG,2186.22
BLACK,2551.72
GREY,1046.185
HOUSE,968.295
MOUSE,3971.61
COWER,4214.37
VICTOR,2094.855
BRAIN,1567.64
SING,834.345
GAME,1846.1
CHURCH,1051.31
MACK,4253.5
ELABORATE,5683.145
