RecalledWord,StudyPosition,Block
SQUARE,1,1
WINTER,2,1
STATES,3,1
ARGUE,4,1
SEEK,5,1
CLUE,6,1
MOTHER,7,1
HUNGER,8,1
BALLET,9,1
ALIVE,10,1
TENNIS,11,1
WILD,12,1
TOES,13,1
THIRST,14,1
SPIDER,15,1
CANDLE,16,1
CHAIN,17,1
SUPPER,18,1
KIDNAP,19,1
FIRST,20,1
READ,21,1
NAVY,22,1
BRANCH,23,1
VERB,24,1
WAITER,25,1
MOST,26,1
MIDDLE,27,1
PAIN,28,1
SOAP,29,1
NEWS,30,1
LOOK,31,1
BUCKET,32,1
LESS,33,1
INHALE,34,1
BORROW,35,1
BUTTER,36,1
TEST,37,1
TOUR,38,1
PURPLE,39,1
THREAD,40,1
SLOW,41,1
NOSE,42,1
FINGER,1,2
CLOCK,2,2
QUART,3,2
MINUTE,4,2
WHOLE,5,2
YOURS,6,2
PEPPER,7,2
ROCK,8,2
CANCER,9,2
DOLLAR,10,2
BEHIND,11,2
BEFORE,12,2
LEMON,13,2
THROW,14,2
MINUS,15,2
WHERE,16,2
MUSCLE,17,2
TIGER,18,2
QUEEN,19,2
SHORT,20,2
WORST,21,2
GIRLS,22,2
HORSE,23,2
EARLY,24,2
FOUND,25,2
SPOON,26,2
THERE,27,2
GRASS,28,2
UNCLE,29,2
PLANT,30,2
MEAN,31,2
LEAVES,32,2
OFFICE,33,2
PHONE,34,2
SHOVE,35,2
CLOSE,36,2
ANIMAL,37,2
ENTER,38,2
CORAL,39,2
FENCE,40,2
SHARK,41,2
TEETH,42,2
DAGGER,1,3
GROSS,2,3
RIGHT,3,3
EGGS,4,3
FLOWER,5,3
YELLOW,6,3
SONG,7,3
BIRD,8,3
SELLER,9,3
HORN,10,3
CRACKER,11,3
STAIRS,12,3
JAIL,13,3
CLAM,14,3
NUMBER,15,3
WEST,16,3
WEIGHT,17,3
DREAM,18,3
MONEY,19,3
CHEESE,20,3
CHAIR,21,3
LENGTH,22,3
BEACH,23,3
FRIGHT,24,3
ORANGE,25,3
OUTTAKE,26,3
GLORY,27,3
LAWYER,28,3
TWELVE,29,3
NICKEL,30,3
STOP,31,3
BOMB,32,3
CHANGE,33,3
WORK,34,3
SHEETS,35,3
PICKLE,36,3
STREAM,37,3
SMOOTH,38,3
NEPHEW,39,3
STORY,40,3
FISH,41,3
GUITAR,42,3
GEEK,1,4
KISS,2,4
DIRT,3,4
SWAMP,4,4
SMOKE,5,4
TRASH,6,4
SMILE,7,4
HOOP,8,4
GHOST,9,4
DUSK,10,4
BRIDE,11,4
TIGHT,12,4
DEVIL,13,4
FIVE,14,4
TRAIN,15,4
BLACK,16,4
SWEET,17,4
NOISE,18,4
FROG,19,4
WHEAT,20,4
SHOES,21,4
BELOW,22,4
STARS,23,4
STOMACH,24,4
PICTURE,25,4
WORLD,26,4
MINOR,27,4
PRESENT,28,4
CAMP,29,4
SORRY,30,4
POUND,31,4
THIEF,32,4
LAKE,33,4
DEAF,34,4
LAND,35,4
KILL,36,4
DOOR,37,4
ROAD,38,4
HOTEL,39,4
LEARN,40,4
JUMP,41,4
SOUTH,42,4
