RecalledWord,StudyPosition,Block
FIRST,1,1
LESS,2,1
BORROW,3,1
SUPPER,4,1
NEWS,5,1
SOAP,6,1
LOOK,7,1
BRANCH,8,1
KIDNAP,9,1
WAITER,10,1
MOTHER,11,1
CANDLE,12,1
PAIN,13,1
SPIDER,14,1
ARGUE,15,1
CLUE,16,1
INHALE,17,1
TEST,18,1
READ,19,1
STATES,20,1
NOSE,21,1
TOES,22,1
PURPLE,23,1
ALIVE,24,1
WILD,25,1
TENNIS,26,1
THREAD,27,1
WINTER,28,1
CHAIN,29,1
SEEK,30,1
VERB,31,1
THIRST,32,1
MIDDLE,33,1
BUTTER,34,1
MOST,35,1
SQUARE,36,1
NAVY,37,1
SLOW,38,1
BUCKET,39,1
TOUR,40,1
HUNGER,41,1
BALLET,42,1
WHOLE,1,2
BEFORE,2,2
MINUS,3,2
DOLLAR,4,2
LEAVES,5,2
SHOVE,6,2
SHARK,7,2
TEETH,8,2
SHORT,9,2
TIGER,10,2
YOURS,11,2
HORSE,12,2
QUEEN,13,2
MEAN,14,2
BEHIND,15,2
CANCER,16,2
ANIMAL,17,2
CORAL,18,2
FENCE,19,2
FOUND,20,2
QUART,21,2
PLANT,22,2
PHONE,23,2
WHERE,24,2
GIRLS,25,2
FINGER,26,2
MUSCLE,27,2
PEPPER,28,2
ENTER,29,2
THERE,30,2
CLOCK,31,2
CLOSE,32,2
THROW,33,2
MINUTE,34,2
GRASS,35,2
EARLY,36,2
ROCK,37,2
UNCLE,38,2
SPOON,39,2
OFFICE,40,2
LEMON,41,2
WORST,42,2
STAIRS,1,3
ORANGE,2,3
EGGS,3,3
GUITAR,4,3
BOMB,5,3
DREAM,6,3
STORY,7,3
FRIGHT,8,3
CLAM,9,3
CRACKER,10,3
LAWYER,11,3
WEIGHT,12,3
MONEY,13,3
OUTTAKE,14,3
YELLOW,15,3
NEPHEW,16,3
TWELVE,17,3
GLORY,18,3
GROSS,19,3
CHAIR,20,3
JAIL,21,3
STOP,22,3
SELLER,23,3
BIRD,24,3
NICKEL,25,3
NUMBER,26,3
BEACH,27,3
FISH,28,3
WEST,29,3
WORK,30,3
SHEETS,31,3
FLOWER,32,3
SONG,33,3
HORN,34,3
DAGGER,35,3
CHANGE,36,3
SMOOTH,37,3
STREAM,38,3
RIGHT,39,3
LENGTH,40,3
PICKLE,41,3
CHEESE,42,3
TRAIN,1,4
STARS,2,4
BRIDE,3,4
PRESENT,4,4
WHEAT,5,4
STOMACH,6,4
LAND,7,4
SORRY,8,4
WORLD,9,4
NOISE,10,4
DUSK,11,4
SWAMP,12,4
MINOR,13,4
SMILE,14,4
JUMP,15,4
HOTEL,16,4
LEARN,17,4
LAKE,18,4
GHOST,19,4
SOUTH,20,4
DOOR,21,4
SHOES,22,4
THIEF,23,4
PICTURE,24,4
BELOW,25,4
DEVIL,26,4
DIRT,27,4
BLACK,28,4
SMOKE,29,4
DEAF,30,4
HOOP,31,4
POUND,32,4
KISS,33,4
KILL,34,4
TRASH,35,4
FIVE,36,4
FROG,37,4
ROAD,38,4
TIGHT,39,4
CAMP,40,4
SWEET,41,4
GEEK,42,4
