RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
TOWN,z,2.53163,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
THANKS,z,0.85025,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
VOLCANO,z,0.68184,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
NEWS,slash,0.73935,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
GUITAR,slash,1.021635,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CLUE,z,0.729125,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
GEEK,z,0.740615,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SWORD,slash,1.008895,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CAKE,z,0.79711,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
STAMP,z,0.699125,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
WARM,z,0.637315,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FOUND,z,0.573615,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BEFORE,slash,1.12386,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
STEAL,slash,1.23104,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CANDLE,slash,1.211985,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
ARGUE,slash,1.01209,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PURPOSE,z,0.789975,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TEST,slash,0.910415,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FLOWER,z,0.678925,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TAKE,z,0.73988,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
REPEAT,z,2.948955,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
NUMBER,slash,0.682775,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
OVEN,z,0.81448,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
MAGIC,z,0.779845,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FOOD,z,1.589075,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
MOTHER,z,0.643445,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
JUMP,z,0.675875,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
VERB,slash,1.43442,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
NOISE,slash,2.01087,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
ORANGE,slash,0.75514,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CANCER,slash,0.638815,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FIRST,z,1.279265,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SPOON,slash,1.68531,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PROBLEM,slash,1.14267,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
UNCLE,slash,0.627125,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TIRED,slash,1.562905,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
HOOP,slash,0.52895,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BRIDE,slash,0.59464,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
GROSS,slash,0.57832,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SPIDER,z,2.45832,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CLOSE,z,0.838275,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
DISAGREE,z,0.688955,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BIKE,slash,1.000485,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
MAD,z,2.228245,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
MARRY,slash,0.727395,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SHIP,z,1.89569,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CRACKER,slash,0.808295,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FINISH,slash,2.678195,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
LIGHT,z,0.95937,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FISH,z,0.93236,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PENCIL,z,0.787315,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
GRASS,slash,0.689225,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SHALLOW,z,0.840395,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TOUR,slash,0.81252,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BOARD,z,1.01,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
MILK,z,0.73452,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CHAIN,slash,0.781245,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BELL,z,3.13576,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
DRUGS,z,0.670935,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PAPER,z,0.98038,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
ANIMAL,z,0.86486,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CLOWN,slash,0.86114,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
FRIGHT,z,0.745415,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TOUCH,z,0.755305,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
WORST,z,0.67196,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
ROSE,z,0.961135,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
EXCUSE,z,0.79576,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
QUART,slash,0.696605,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
STRESS,z,0.800515,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
THIEF,slash,0.613735,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
YELLOW,slash,0.51121,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BEACH,z,2.44092,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CORAL,slash,0.65025,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SHOVE,slash,0.57718,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
LAUGH,z,0.633005,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
STORY,slash,0.844475,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
EXPLODE,z,0.573225,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
EFFECT,z,0.838195,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PENNY,z,0.775305,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CHOOSE,z,1.61189,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SILVER,z,0.739915,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
VOTE,z,0.78477,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SUPPER,slash,2.045145,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
JEANS,z,1.188305,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PROPER,z,0.777945,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
YOUNG,z,0.709695,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PICTURE,slash,1.81767,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
BANK,z,1.346525,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
NICKEL,slash,0.87018,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
DEVIL,z,1.305095,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
WANT,z,0.61054,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
COPY,z,1.81502,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CARD,z,0.884315,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
WILD,slash,0.7432,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
WHERE,slash,0.58755,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
OFFICE,slash,0.67379,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
STOMACH,slash,0.706845,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TOCK,z,0.69406,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SAME,z,0.63201,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
NAVY,slash,0.798655,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CHILD,z,0.680535,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
CARRY,z,0.72163,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
READ,slash,1.291115,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
LOVE,z,0.66243,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
DUSK,slash,0.67358,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
MUSIC ,slash,0.648635,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SILK,z,0.68437,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
LENGTH,slash,0.795375,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
STRIPE,z,0.608795,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
GLASSES,z,0.706895,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
TALK,z,0.57183,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
PICKLE,z,0.539345,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
SHARK,slash,0.810885,RB2,1,2020-11-25_11h56.39.016,DelayedExpNT,2020.1.3,60
