"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"WRONG",7999.465,"Studied",7,2,NA,"26","Related","PRECISE","EXACT",NA
"KNIFE",7999.335,"Studied",20,2,NA,"18","Related","THROAT","NECK",NA
"CLASS",8000.485,"Studied",9,3,NA,"6","Identical","SUBJECT",NA,NA
"SUBJECT",8000.435,"Studied",37,3,"Identical","35","Identical","SHEEP",NA,NA
"BRAIN",8000.22,"Studied",14,3,NA,"10","Related","PEDAL","BIKE",NA
"CHURCH",7999.24,"Studied",12,1,"Identical",NA,NA,NA,NA,NA
"MUSIC",8000.31,NA,NA,NA,NA,"8","Unrelated","WINTER",NA,NA
"SICK",8001.015,"Studied",14,1,NA,"7","Unrelated","SEEK",NA,NA
"STICKY",8001.69,"Studied",17,1,NA,"6","Identical","LAUGH",NA,NA
"BALL",8000.14,NA,NA,NA,NA,"14","Unrelated","KISS",NA,NA
"BUSH",8000.54,"Studied",6,2,NA,"17","Identical","PLANE",NA,"HEDGE"
"ANNOY",8000.9,"Studied",11,2,NA,"37","Unrelated","PICTURE",NA,"BOTHER"
"MAID",7997.39,"Studied",35,4,NA,"12","Unrelated","BELOW",NA,NA
"",8000.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIKE",8000.72,"Studied",36,3,NA,"17","Identical","SELF",NA,"PEDAL"
"CELL",7999.73,"Studied",4,3,"Identical","12","Identical","MATH",NA,NA
"STEAL",8001.45,"Studied",19,3,NA,"14","Identical","STUPID",NA,NA
"GUILT",8000.54,"Studied",5,3,NA,"13","Unrelated","NUMBER",NA,NA
"MILK",8000.42,"Studied",21,3,NA,"5","Related","PATIENT","DOCTOR","GALLON"
"WATER",8000.325,"Studied",13,4,NA,"9","Unrelated","WHEAT",NA,"BOAT"
"",7999.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWORD",8000.53,"Studied",36,1,NA,"16","Unrelated","FIRST",NA,NA
"",8000.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BABY",7999.42,"Studied",42,3,NA,"1,20","firstword","firstword",NA,NA
"",7988.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHAT",7999.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOK",8001.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APLE",7999.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLEAD",8000.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAVE",8001.19,"Studied",34,3,NA,"15","Related","POLICY","RULE",NA
"DEATH",8000.82,"Studied",1,2,NA,"14","Related","HEDGE","BUSH",NA
"",8000.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STRESS",8000.33,"Studied",40,3,NA,"3","Related","GALLON","MILK",NA
"",8013.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIN",8012.725,"Studied",2,2,NA,"15","Related","GRAVY","POTATO",NA
"",7999.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRAW",8016.32,"Studied",33,2,"Identical","9","Identical","DRAW",NA,NA
"",7999.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLATE",8000.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMS",7999.635,"Studied",3,3,NA,"11","Unrelated","MONEY",NA,NA
"SCISSOR",7999.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOFT",7999.625,"Studied",27,4,NA,NA,NA,NA,NA,"HARD"
"",8000.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TASTE",7999.73,NA,NA,NA,NA,"10","Identical","PROBLEM",NA,NA
"",7999.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOWARD",7999.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAKE",8004.265,"Studied",5,1,NA,"2","Unrelated","CHAIN",NA,NA
"",8000.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRICK",7999.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",6633.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
