"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"STRANGE","z",1.165355,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"THIEF","slash",1.014455,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",18,3,"Identical","Unrelated","CAKE",NA,NA,"17",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"EXCUSE","slash",1.03108,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"TIGHT","z",0.83063,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",29,3,NA,NA,NA,NA,"LOOSE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"WORLD","z",0.78027,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",39,3,NA,NA,NA,NA,"GLOBE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MAYBE","z",0.92979,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CHEESE","z",0.93007,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",35,2,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SICK","z",0.797785,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GAME","slash",0.66416,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"GHOST","slash",0.630845,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",28,3,NA,"Identical","WHEAT",NA,NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"WINTER","z",0.947065,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",31,4,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"PROBLEM","z",0.86372,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLOSE","slash",1.16415,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",7,1,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"FINGER","slash",0.8793,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",26,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SLOW","z",0.72748,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",14,4,NA,NA,NA,NA,"FAST",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CRACKER","slash",0.814255,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",26,2,NA,"Related","BANJO","GUITAR",NA,"2",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"CLAM","slash",0.61437,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",42,2,NA,"Related","ATOM","BOMB",NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"NOISE","slash",0.59668,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",10,3,NA,"Related","ZEST","SOAP","SOUND","13",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"GUILT","slash",0.547195,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"GEEK","z",0.71413,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,"Studied",31,3,NA,"Identical","SOUTH",NA,NA,"25",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"MUSIC ","slash",1.082775,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"STORE","z",1.133725,"RF",1,"2020-12-10_16h19.05.097","DelayedExpNT","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
