RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
ROCK,slash,2.358,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WOOD,,,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DRESS,z,3.126,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
JACKET,slash,2.536,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
STORY,z,2.462,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
KILL,z,1,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LAND,slash,1.163,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
NAVY,z,1.641,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TOOTH,slash,1.03,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WAITER,z,1.513,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TIRED,slash,1.005,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
PRESENT,z,1.386,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
POTATO,slash,1.418,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SLEEP,slash,2.898,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
RIGHT,z,2.087,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
JEANS,slash,0.756,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
FISH,slash,3.436,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SPIDER,z,1.434,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
OUTTAKE,z,1.121,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MARRY,z,1.428,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
VERB,slash,1.196,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CLASS,slash,2.003,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MOST,slash,1.71,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SURE,slash,1.348,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SOAP,slash,2.503,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
PROBLEM,slash,2.512,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CELL,z,1.388,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TOOL,slash,1.158,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BRIDE,slash,1.511,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
PAPER,z,1.183,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MUSIC ,z,1.416,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CLIMB,slash,1.535,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WORLD,slash,1.365,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MOVE,slash,1.19,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TREE,slash,1.84,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
FROG,z,1.068,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
ROSE,slash,1.813,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BORROW,z,1.951,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
GIRLS,z,1.012,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CLEAR,slash,2.849,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
QUEEN,slash,1.364,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SHOVE,z,1.462,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SKIN,z,0.852,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SCISSORS,z,1.284,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
YOUNG,slash,1.446,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
PROPER,slash,2.295,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TOES,slash,2.427,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
GEEK,,,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BUSH,slash,2.397,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SMOOTH,slash,3.961,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
HORSE,,,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
STICKY,slash,2.233,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SHEEP,slash,1.707,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SUBJECT,z,2.552,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
ALIVE,slash,2.399,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LOVE,slash,1.957,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MATH,slash,2.962,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SLOW,z,1.042,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BUTTER,slash,1.171,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CHAIR,z,1.559,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DRUGS,slash,2.248,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
HEAD,z,1.453,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SHARK,slash,1.535,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TEST,slash,3.935,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BALLET,z,2.237,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CLOWN,slash,0.878,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
QUART,z,1.159,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TIGER,z,3.46,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DISAGREE,slash,2.066,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SPICE,slash,1.892,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
KNIFE,z,2.063,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MANY,slash,1.227,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
OFFICE,z,3.506,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
ORANGE,z,1.04,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BOMB,z,0.812,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LEMON,slash,2.326,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
GRAND,z,2.261,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
RENT,slash,1.446,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
STREAM,slash,2.784,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
STAIRS,z,1.96,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
GRASS,slash,2.959,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
HAIR,slash,1.4,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
FIRE,slash,1.468,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LAWYER,z,2.88,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BALL ,slash,2.206,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
PEPPER,slash,1.783,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WATER,slash,1.849,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
KNIT,z,1.116,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MAYBE,slash,1.185,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
NOISE,z,2.889,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MEAN,z,0.997,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LESS,slash,1.137,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
FRONT,z,2.066,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CORAL,z,0.908,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LETTER,slash,1.713,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LAUGH,slash,1.613,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CHAIN,slash,3.061,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TOCK,slash,1.553,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
YELLOW,slash,1.719,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
ARGUE,z,2.789,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DIRT,slash,0.929,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SUPPER,z,3.136,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
NUMBER,slash,2.506,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MIDDLE,z,1.53,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BIKE,slash,0.716,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BRAIN,z,1.63,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
JUMP,slash,0.855,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
ENTER,,,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SHIP,slash,0.889,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WHOLE,slash,2.659,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SNEEZE,slash,2.564,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TEETH,slash,1.62,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DUSK,slash,3.332,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WORK,slash,1.98,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SMILE,slash,2.364,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DAGGER,slash,1.984,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
STEAL,slash,3.164,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
FIND,z,3.877,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DREAM,slash,1.76,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
GLASSES,slash,2.496,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TRAIN,slash,2.17,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
REAL,,,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
MONEY,slash,1.252,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
POUND,slash,1.942,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
LOOK,z,2.606,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
CANDLE,slash,1.144,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WHERE,slash,1.65,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
PURPOSE,slash,2.274,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
NEWS,slash,1.925,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
ANIMAL,z,1.135,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
TENNIS,z,1.062,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
WARM,slash,2.617,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DOLLAR,z,1.318,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DRAW,slash,2.112,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SORRY,z,1.818,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SICK,slash,0.943,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
VOLCANO,slash,1.252,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
BRANCH,slash,1.623,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
HOOP,z,1.823,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
SWAMP,z,1.164,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
DEAF,slash,1.203,RH,1,2020-12-02_16h45.49.392,DelayedExpNT,2020.1.3,60
