RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
STATES,slash,1.69712,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SHOES,slash,0.93261,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
MAD,z,1.363565,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SPICE,z,1.531175,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
LAND,slash,0.831515,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SHEEP,z,0.89916,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SHERIFF,z,1.333385,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
NEPHEW,slash,0.66383,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
DOOR,slash,0.64806,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
ARGUE,z,1.080875,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
PURPOSE,z,1.181615,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SPIT,z,0.94833,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
ALIVE,slash,1.23243,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
STREAM,slash,1.671595,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
NOISE,slash,0.665655,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
LARGE,z,1.617905,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
WRONG,z,1.113855,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
STORE,z,1.881415,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
STING,z,1.16348,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SMOKE,slash,0.66295,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SMILE,slash,0.76367,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
NEWS,slash,0.749665,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
WHERE,slash,0.68101,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
TEETH,slash,0.647185,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
DOCTOR,z,1.897675,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
SQUARE,slash,0.621785,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
LOSE,z,1.16343,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
MINOR,slash,0.647185,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
QUIET,z,1.079015,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
YELLOW,slash,0.64617,SC2,1,2020-11-27_11h14.55.875,DelayedExpNT,2020.1.3,60
