"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"GLORY",3137.48,"firstword","firstword",NA,1,1,32,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"CHAIR",1970.245,"CLAM","Identical",3.135000006,2,1,16,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"NEPHEW",2471.435,"SELF","Unrelated",2.865000017,3,1,1,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"STOP",4471.265,"EGGS","Identical",2.659999998,4,1,2,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"CHEESE",1835.135,"BROOK","Related",2.325000009,5,1,19,"Studied",NA,"STREAM"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"TWELVE",3677.29,"STING","Unrelated",2.555000014,6,1,8,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"WEST",2162.86,"SUBJECT","Unrelated",2.395000018,7,1,9,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"PICKLE",2286.715,"SALTINE","Related",2.38000002,8,1,7,"Studied",NA,"CRACKER"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"CLAM",1482.335,"DIME","Related",1.490000024,9,1,35,"Studied","Identical","NICKEL"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",7990.445,"TOUCH","Unrelated",2.585000009,10,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"OUTTAKE",7087.94,"SPOTS","Unrelated",3.704999981,11,1,18,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"CHAIR",6613.52,"TOWN","Unrelated",5.620000011,12,1,16,"Studied",NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",7568.315,"DIGIT","Related",2.069999988,13,1,NA,NA,NA,"NUMBER"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",464.415,"ORANGE","Identical",3.025000013,14,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",177.21,"DOCTOR","Unrelated",2.349999995,15,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",671.67,"SCARE","Related",4.244999989,16,1,NA,NA,NA,"FRIGHT"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",45.76499999,"INMATE","Related",5.539999984,17,1,NA,NA,NA,"JAIL"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",389.235,"SHEETS","Identical",2.134999988,18,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",310.065,"STAIRS","Identical",2.940000006,19,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",278.135,"WRITE","Unrelated",1.294999995,20,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",235.845,"SCALE","Related",1.305000013,21,1,NA,NA,NA,"WEIGHT"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",55.23,"YELLOW","Identical",2.524999989,22,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",233.99,"BRAIN","Unrelated",2.194999979,23,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",320.24,"SELLER","Identical",2.024999994,24,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",337.745,"RULE","Unrelated",2.364999993,25,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",45.22499998,"FAKE","Unrelated",1.634999993,26,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",135.315,"ATOM","Related",2.24999999,27,1,NA,NA,NA,"BOMB"
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",113.755,"FISH","Identical",2.185000019,28,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",426.075,"MATH","Unrelated",1.435000013,29,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",512.33,"BREAD","Unrelated",2.659999998,30,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",497.86,"DAGGER","Identical",2.435000002,31,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",47.19000001,"STEAL","Unrelated",1.974999992,32,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",367.955,"HORN","Identical",2.100000012,33,1,NA,NA,NA,NA
"SK2",1,"2020-12-09_17h12.52.437","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",371.765,"MILK","Unrelated",2.370000002,34,1,NA,NA,NA,NA
