RecalledWord,StudyPosition,Block
MINOR,1,1
TRASH,2,1
PICTURE,3,1
THIEF,4,1
DEAF,5,1
TRAIN,6,1
GEEK,7,1
FROG,8,1
SOUTH,9,1
JUMP,10,1
DUSK,11,1
LEARN,12,1
LAKE,13,1
BLACK,14,1
LAND,15,1
SMILE,16,1
BELOW,17,1
CAMP,18,1
WORLD,19,1
HOTEL,20,1
NOISE,21,1
DEVIL,22,1
FIVE,23,1
WHEAT,24,1
GHOST,25,1
ROAD,26,1
SHOES,27,1
BRIDE,28,1
SORRY,29,1
KILL,30,1
SWEET,31,1
TIGHT,32,1
DOOR,33,1
HOOP,34,1
KISS,35,1
POUND,36,1
PRESENT,37,1
STARS,38,1
SWAMP,39,1
SMOKE,40,1
STOMACH,41,1
DIRT,42,1
ALIVE,1,2
NEWS,2,2
BORROW,3,2
TOES,4,2
CLUE,5,2
READ,6,2
MOST,7,2
BALLET,8,2
SUPPER,9,2
NAVY,10,2
BUTTER,11,2
WILD,12,2
BUCKET,13,2
TENNIS,14,2
WINTER,15,2
TEST,16,2
BRANCH,17,2
WAITER,18,2
FIRST,19,2
TOUR,20,2
INHALE,21,2
SEEK,22,2
PURPLE,23,2
KIDNAP,24,2
THIRST,25,2
PAIN,26,2
MIDDLE,27,2
CANDLE,28,2
ARGUE,29,2
THREAD,30,2
VERB,31,2
SQUARE,32,2
SOAP,33,2
NOSE,34,2
HUNGER,35,2
LOOK,36,2
CHAIN,37,2
SLOW,38,2
STATES,39,2
LESS,40,2
SPIDER,41,2
MOTHER,42,2
GRASS,1,3
DOLLAR,2,3
TIGER,3,3
THERE,4,3
PEPPER,5,3
MUSCLE,6,3
SPOON,7,3
EARLY,8,3
CORAL,9,3
WORST,10,3
FINGER,11,3
WHERE,12,3
FOUND,13,3
FENCE,14,3
MINUTE,15,3
HORSE,16,3
CANCER,17,3
QUEEN,18,3
LEMON,19,3
UNCLE,20,3
MINUS,21,3
THROW,22,3
GIRLS,23,3
QUART,24,3
ENTER,25,3
PHONE,26,3
SHORT,27,3
PLANT,28,3
BEFORE,29,3
ANIMAL,30,3
BEHIND,31,3
CLOCK,32,3
SHOVE,33,3
MEAN,34,3
YOURS,35,3
ROCK,36,3
LEAVES,37,3
WHOLE,38,3
OFFICE,39,3
SHARK,40,3
TEETH,41,3
CLOSE,42,3
TWELVE,1,4
SELLER,2,4
CLAM,3,4
OUTTAKE,4,4
NICKEL,5,4
BEACH,6,4
NEPHEW,7,4
BIRD,8,4
CHEESE,9,4
SHEETS,10,4
FISH,11,4
DREAM,12,4
LENGTH,13,4
MONEY,14,4
ORANGE,15,4
EGGS,16,4
WORK,17,4
STOP,18,4
YELLOW,19,4
HORN,20,4
BOMB,21,4
STORY,22,4
GUITAR,23,4
FLOWER,24,4
PICKLE,25,4
STREAM,26,4
STAIRS,27,4
CHANGE,28,4
JAIL,29,4
SONG,30,4
CRACKER,31,4
WEIGHT,32,4
RIGHT,33,4
SMOOTH,34,4
GLORY,35,4
DAGGER,36,4
CHAIR,37,4
LAWYER,38,4
FRIGHT,39,4
NUMBER,40,4
GROSS,41,4
WEST,42,4
