DelayedWord,DelayedRT
MAD,2100.365
STRESS,1316.265
SHEEP,1902.57
TREASURE,4052
PILE,2823.2
STRESS,3156.85
,8002.435
EFFECT,3223.675
,8001.78
,8000.545
,7443.11
,367.22
,356.6350001
,336.7349999
,301.98
,286.405
,273.15
,221.895
,253.6000001
,150.155
,134.5449999
,200.77
,185.965
,116.475
,180.5199999
,156.1149999
,317.475
,152.045
,122.135
,171.155
,167.425
,168.05
,169.5749999
,68.08999996
,101.5
,188.9600001
,84.87999998
,33.76499994
,150.98
,563.25
,75.55499999
,289.2949999
,268.94
,300.6750001
,450.775
,291.4999999
,433.88
,2206.995
,1002.42
,593.095
,4334.82
,552.465
,390.3150001
,452.4900001
,283.485
,286.075
,318.415
,322.2150001
,352.4100001
,283.3949999
,353.805
,804.38
,384.5800001
,1718.42
,520.3849999
,257.735
,284.9549999
,249.955
,1221.345
,219.485
,1536.615
,1767.4
,237.535
,351.955
,522.8200001
,256.02
,683.98
,688.1899999
,300.59
,189.98
,2071.095
,2553.15
,750.235
,303.97
,693.11
,167.5550001
,567.955
,264.28
,523.4750001
,294.1200001
,287.9199999
,148.695
,201.9450001
,235.17
,119.28
,217.355
,254.6
,168.805
,244.4099999
,220.815
